"avdeling";"avdeling-tekst";"inntekt-utgift";"tjomr";"tjenesteomraade-tekst";"tjeneste";"tjeneste-tekst";"endrgr";"endrgr-tekst";"tekst";"2012";"2013";"2014";"2015"
1;Byrådsleders avdeling;Utgift;02;Barnevern;24410;Barneverntjeneste;N00;Vedtatt budsjett inneværende år;Vedtatt budsjett 2011;3 484 248;3 484 248;3 484 248;3 484 248
1;Byrådsleders avdeling;Utgift;02;Barnevern;24410;Barneverntjeneste;N01;Generell lønns- og prisstigning og inntektskrav;Foreløpig beregnet helårsvirkning av lønnsoppgjør 2011;63 808;63 808;63 808;63 808
1;Byrådsleders avdeling;Utgift;02;Barnevern;24410;Barneverntjeneste;N01;Generell lønns- og prisstigning og inntektskrav;Priskompensasjon;9 997;9 997;9 997;9 997
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33810;Forebygging branner og ulykker;N00;Vedtatt budsjett inneværende år;Vedtatt budsjett 2011;18 268 500;18 268 500;18 268 500;18 268 500
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33810;Forebygging branner og ulykker;N01;Generell lønns- og prisstigning og inntektskrav;Foreløpig beregnet helårsvirkning av lønnsoppgjør 2011;320 094;320 094;320 094;320 094
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33810;Forebygging branner og ulykker;N01;Generell lønns- og prisstigning og inntektskrav;Priskompensasjon;59 574;59 574;59 574;59 574
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33820;Feiing og tilsyn;N00;Vedtatt budsjett inneværende år;Vedtatt budsjett 2011;24 190 600;24 190 600;24 190 600;24 190 600
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33820;Feiing og tilsyn;N03;Helårsvirkn. av tiltak og justeringer i årets bud.;Videreføring av budsjettjusteringer fra inneværende år;-92 100;-92 100;-92 100;-92 100
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33820;Feiing og tilsyn;N06;Diverse;Teknisk omfordeling mellom tjenesteområder innenfor Brannvesenet;-956 500;-956 500;-956 500;-956 500
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33910;Beredskap mot branner og ulykker;N00;Vedtatt budsjett inneværende år;Vedtatt budsjett 2011;178 034 720;178 034 720;178 034 720;178 034 720
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33910;Beredskap mot branner og ulykker;N01;Generell lønns- og prisstigning og inntektskrav;Foreløpig beregnet helårsvirkning av lønnsoppgjør 2011;2 946 364;2 946 364;2 946 364;2 946 364
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33910;Beredskap mot branner og ulykker;N01;Generell lønns- og prisstigning og inntektskrav;Priskompensasjon;629 454;629 454;629 454;629 454
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33910;Beredskap mot branner og ulykker;N02;Andre kostnadsendringer;Lønnstillegg gitt etter hovedtariffavtalen for brann- og redningstjeneste (SFS2402);2 407 300;4 568 400;4 568 400;4 568 400
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33910;Beredskap mot branner og ulykker;N03;Helårsvirkn. av tiltak og justeringer i årets bud.;Videreføring av budsjettjusteringer fra inneværende år;47 816;47 816;47 816;47 816
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33910;Beredskap mot branner og ulykker;N04;Organisatoriske endringer;Medlemskontigent i IUA Bergen region flyttes fra BFKE til BLED;690 700;690 700;690 700;690 700
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33910;Beredskap mot branner og ulykker;N05;Tilpasning til aktivitetsnivået;Tilpasning av aktivitetsnivået på Brannvesenet;-655 500;0;0;0
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33910;Beredskap mot branner og ulykker;N06;Diverse;Endringer knyttet til ny rentesats kalk.kostn. (gamle prosjekter);-260 500;-260 500;-260 500;-260 500
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33910;Beredskap mot branner og ulykker;N07;Nye tiltak - driftskonsekvenser av investeringer;Endringer knyttet til ny rentesats kalk.kostn. (nye prosjekter);-66 400;-133 000;-190 700;-190 700
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33910;Beredskap mot branner og ulykker;N07;Nye tiltak - driftskonsekvenser av investeringer;Kapitalkostnader - Bilpark brann;358 700;717 400;1 076 100;1 368 200
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33910;Beredskap mot branner og ulykker;N07;Nye tiltak - driftskonsekvenser av investeringer;Kapitalkostnader - IR-kamera;0;0;-134 100;-317 000
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33910;Beredskap mot branner og ulykker;N11;Effektivisering;Effektiviseringsbehov - Brannvesenet;-251 991;-231 091;-217 691;-217 691
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33910;Beredskap mot branner og ulykker;N15;Nødvendige tiltak i økonomiplanperioden;Foreløpig usaldert i økonomiplanperioden;0;-90 400;-499 000;-437 000
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33920;Alarmtjenester;N00;Vedtatt budsjett inneværende år;Vedtatt budsjett 2011;21 177 000;21 177 000;21 177 000;21 177 000
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33920;Alarmtjenester;N01;Generell lønns- og prisstigning og inntektskrav;Foreløpig beregnet helårsvirkning av lønnsoppgjør 2011;250 360;250 360;250 360;250 360
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33920;Alarmtjenester;N01;Generell lønns- og prisstigning og inntektskrav;Priskompensasjon;119 302;119 302;119 302;119 302
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33920;Alarmtjenester;N06;Diverse;Endringer knyttet til ny rentesats kalk.kostn. (gamle prosjekter);-24 300;-24 300;-24 300;-24 300
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33920;Alarmtjenester;N07;Nye tiltak - driftskonsekvenser av investeringer;Driftskonsekvenser - Modernisering av nødsamband/alarmeringsnett;760 000;0;0;0
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33920;Alarmtjenester;N07;Nye tiltak - driftskonsekvenser av investeringer;Endringer knyttet til ny rentesats kalk.kostn. (nye prosjekter);0;-7 200;-18 400;-18 400
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33920;Alarmtjenester;N07;Nye tiltak - driftskonsekvenser av investeringer;Kapitalkostnader - Formidling av skadestedsdata;0;0;-49 000;-147 000
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33920;Alarmtjenester;N07;Nye tiltak - driftskonsekvenser av investeringer;Kapitalkostnader - Modernisering av nødsamband/alarmeringsnett;400;7 700;-34 700;-62 300
1;Byrådsleders avdeling;Utgift;07;Brannvesen;33920;Alarmtjenester;N15;Nødvendige tiltak i økonomiplanperioden;Foreløpig usaldert i økonomiplanperioden;0;102 500;364 500;318 900
1;Byrådsleders avdeling;Utgift;11B;Arbeidsmarkedstiltak;27310;Sysselsettingstiltak / adm.;N00;Vedtatt budsjett inneværende år;Vedtatt budsjett 2011;504 510;504 510;504 510;504 510
1;Byrådsleders avdeling;Utgift;11B;Arbeidsmarkedstiltak;27310;Sysselsettingstiltak / adm.;N01;Generell lønns- og prisstigning og inntektskrav;Priskompensasjon;6 559;6 559;6 559;6 559
1;Byrådsleders avdeling;Utgift;12E;Museer;28540;Vitensenter;N00;Vedtatt budsjett inneværende år;Vedtatt budsjett 2011 - Vil Vite;5 083 200;5 083 200;5 083 200;5 083 200
1;Byrådsleders avdeling;Utgift;12E;Museer;28540;Vitensenter;N01;Generell lønns- og prisstigning og inntektskrav;Priskompensasjon;66 082;66 082;66 082;66 082
1;Byrådsleders avdeling;Utgift;16;Administrasjon og fellesfunksjoner;12000;Administrasjon;N00;Vedtatt budsjett inneværende år;Vedtatt budsjett 2011;44 723 485;44 723 485;44 723 485;44 723 485
1;Byrådsleders avdeling;Utgift;16;Administrasjon og fellesfunksjoner;12000;Administrasjon;N01;Generell lønns- og prisstigning og inntektskrav;Foreløpig beregnet helårsvirkning av lønnsoppgjør 2011;819 815;819 815;819 815;819 815
1;Byrådsleders avdeling;Utgift;16;Administrasjon og fellesfunksjoner;12000;Administrasjon;N01;Generell lønns- og prisstigning og inntektskrav;Priskompensasjon;126 039;126 039;126 039;126 039
