avdeling;avdeling-tekst;inntekt-utgift;tjomr;tjenesteomraade-tekst;tjeneste;tjeneste-tekst;endrgr;endrgr-tekst;tekst;2013;2014;2015;2016
1;Byrådsleders avdeling;Inntekt;02;Barnevern;24410;Barneverntjeneste;N00;Vedtatt budsjett inneværende år;Vedtatt budsjett 2012; -1 362 250 ; -1 362 250 ; -1 362 250 ; -1 362 250 
1;Byrådsleders avdeling;Inntekt;02;Barnevern;24410;Barneverntjeneste;N01;Generell lønns- og prisstigning og inntektskrav;Generelt inntektskrav; -17 700 ; -17 700 ; -17 700 ; -17 700 
1;Byrådsleders avdeling;Inntekt;07;Brannvesen;33820;Feiing og tilsyn;N00;Vedtatt budsjett inneværende år;Vedtatt budsjett 2012; -25 456 500 ; -25 456 500 ; -25 456 500 ; -25 456 500 
1;Byrådsleders avdeling;Inntekt;07;Brannvesen;33820;Feiing og tilsyn;N03;Helårsvirkn. av tiltak og justeringer i årets bud.;Div. tekniske justeringer; -146 400 ; -146 400 ; -146 400 ; -146 400 
1;Byrådsleders avdeling;Inntekt;07;Brannvesen;33910;Beredskap mot branner og ulykker;N00;Vedtatt budsjett inneværende år;Vedtatt budsjett 2012; -14 726 800 ; -14 726 800 ; -14 726 800 ; -14 726 800 
1;Byrådsleders avdeling;Inntekt;07;Brannvesen;33910;Beredskap mot branner og ulykker;N01;Generell lønns- og prisstigning og inntektskrav;Generelt inntektskrav; -345 200 ; -345 200 ; -345 200 ; -345 200 
1;Byrådsleders avdeling;Inntekt;07;Brannvesen;33920;Alarmtjenester;N00;Vedtatt budsjett inneværende år;Vedtatt budsjett 2012; -18 552 200 ; -18 552 200 ; -18 552 200 ; -18 552 200 
1;Byrådsleders avdeling;Inntekt;07;Brannvesen;33920;Alarmtjenester;N01;Generell lønns- og prisstigning og inntektskrav;Generelt inntektskrav; -474 800 ; -474 800 ; -474 800 ; -474 800 
1;Byrådsleders avdeling;Inntekt;07;Brannvesen;33920;Alarmtjenester;N03;Helårsvirkn. av tiltak og justeringer i årets bud.;Div. tekniske justeringer; 797 283 ; 797 283 ; 797 283 ; 797 283 
1;Byrådsleders avdeling;Inntekt;16;Administrasjon og fellesfunksjoner;12000;Administrasjon;N00;Vedtatt budsjett inneværende år;Vedtatt budsjett 2012; -5 878 966 ; -5 878 966 ; -5 878 966 ; -5 878 966 
1;Byrådsleders avdeling;Inntekt;16;Administrasjon og fellesfunksjoner;12000;Administrasjon;N01;Generell lønns- og prisstigning og inntektskrav;Generelt inntektskrav; -83 200 ; -83 200 ; -83 200 ; -83 200 
1;Byrådsleders avdeling;Inntekt;17A;Fellestjenester;24250;Bevillingsfunksjon/skjenkekontroll;N00;Vedtatt budsjett inneværende år;Vedtatt budsjett 2012; -5 689 058 ; -5 689 058 ; -5 689 058 ; -5 689 058 
1;Byrådsleders avdeling;Inntekt;17A;Fellestjenester;24250;Bevillingsfunksjon/skjenkekontroll;N03;Helårsvirkn. av tiltak og justeringer i årets bud.;Styrking av Kontor for skjenkesaker - jfr. Tertialrapport 1/12; 150 000 ; 150 000 ; 150 000 ; 150 000 
1;Byrådsleders avdeling;Inntekt;20;Interne tjenester / fordelte kostnader;29010;IUA Bergen region;N00;Vedtatt budsjett inneværende år;Vedtatt budsjett 2012 - IUA Bergen region; -1 807 700 ; -1 807 700 ; -1 807 700 ; -1 807 700 
1;Byrådsleders avdeling;Inntekt;20;Interne tjenester / fordelte kostnader;29010;IUA Bergen region;N01;Generell lønns- og prisstigning og inntektskrav;Generelt inntektskrav; -47 100 ; -47 100 ; -47 100 ; -47 100 
1;Byrådsleders avdeling;Inntekt;21;Sentrale budsjettposter;86011;Motpost avskrivninger;N00;Vedtatt budsjett inneværende år;Vedtatt budsjett 2012 - Motpost avskrivninger; -6 844 470 ; -6 844 470 ; -6 844 470 ; -6 844 470 
1;Byrådsleders avdeling;Utgift;02;Barnevern;24410;Barneverntjeneste;N00;Vedtatt budsjett inneværende år;Vedtatt budsjett 2012; 5 007 000 ; 5 007 000 ; 5 007 000 ; 5 007 000 
1;Byrådsleders avdeling;Utgift;02;Barnevern;24410;Barneverntjeneste;N01;Generell lønns- og prisstigning og inntektskrav;Foreløpig beregnet helårsvirkning av lønnsoppgjør 2012; 202 700 ; 202 700 ; 202 700 ; 202 700 
