Versjon;Kost2a;Hovedgruppering art;Art;Art(T);Avdkode;Avdeling;Resenhet;Resenhet(T);Okplinv;Okplinv(T);Ansvar;Ansvar(T);Tjområde;Tjområde(T);Tjenes2;Tjenesteområde;Selvkost;Selvkost(T);Tjeneste;Tjeneste(T);Objekt;Objekt(T);Proplan;Proplan(T);Prosjektkode;Prosjekt;Budendr;Budendr(T);Byravd;2012 (fra vedt. øk.plan);2013;2014;2015;2016
12-15VB;100;Investeringer i anleggsmidler;012000;INV Annen forbr.matr.,råvarer,tj.;2;Byrådsavd. for finans, eiendom og eierskap;0215;Kemneren;EGEN;Bykassen-investeringer egenregi;021610;Avd. for kommunale krav, kemner;16;Administrasjon og fellesfunksjoner;16;Administrasjon og fellesfunksjoner;N;Nei;12000;Administrasjon;IKTINV;IKTHP  - Investeringer;IKTPLFAG;IKT-HP - Fagsystemer;100554;Innfordringssystem kommunale krav;01;Vedtatt budsjett inneværende år;BY;190 000,00;0,00;0,00;0,00;0,00
13-16IN1;100;Investeringer i anleggsmidler;012000;INV Annen forbr.matr.,råvarer,tj.;2;Byrådsavd. for finans, eiendom og eierskap;0215;Kemneren;EGEN;Bykassen-investeringer egenregi;021610;Avd. for kommunale krav, kemner;16;Administrasjon og fellesfunksjoner;16;Administrasjon og fellesfunksjoner;N;Nei;12000;Administrasjon;IKTINV;IKTHP  - Investeringer;IKTPLFAG;IKT-HP - Fagsystemer;100554;Innfordringssystem kommunale krav;01;Vedtatt budsjett inneværende år;BY;0,00;190 000,00;0,00;0,00;0,00
13-16IN1;100;Investeringer i anleggsmidler;012000;INV Annen forbr.matr.,råvarer,tj.;2;Byrådsavd. for finans, eiendom og eierskap;0250;HR-seksjonen;EGEN;Bykassen-investeringer egenregi;062165;IKT-prosjekter HR-seksjonen;16;Administrasjon og fellesfunksjoner;16;Administrasjon og fellesfunksjoner;N;Nei;12000;Administrasjon;IKTINV;IKTHP  - Investeringer;IKTPLFAG;IKT-HP - Fagsystemer;012609;Nytt HR-system;22;INV-Kostnadsendring investering;BY;0,00;3 200 000,00;0,00;0,00;0,00
12-15VB;100;Investeringer i anleggsmidler;012000;INV Annen forbr.matr.,råvarer,tj.;2;Byrådsavd. for finans, eiendom og eierskap;0213;IKT Drift;EGEN;Bykassen-investeringer egenregi;062354;IKT Drift Intern Konserninnkjøp;16;Administrasjon og fellesfunksjoner;16;Administrasjon og fellesfunksjoner;N;Nei;12000;Administrasjon;IKTINV;IKTHP  - Investeringer;IKTPLFIN;IKT-HP - Felles infrastruktur;011616;SAN utvidelse;01;Vedtatt budsjett inneværende år;BY;2 000 000,00;0,00;0,00;0,00;0,00
13-16IN1;100;Investeringer i anleggsmidler;012000;INV Annen forbr.matr.,råvarer,tj.;2;Byrådsavd. for finans, eiendom og eierskap;0213;IKT Drift;EGEN;Bykassen-investeringer egenregi;062354;IKT Drift Intern Konserninnkjøp;16;Administrasjon og fellesfunksjoner;16;Administrasjon og fellesfunksjoner;N;Nei;12000;Administrasjon;IKTINV;IKTHP  - Investeringer;IKTPLFIN;IKT-HP - Felles infrastruktur;011616;SAN utvidelse;01;Vedtatt budsjett inneværende år;BY;0,00;1 400 000,00;1 000 000,00;0,00;0,00
12-15VB;100;Investeringer i anleggsmidler;012000;INV Annen forbr.matr.,råvarer,tj.;2;Byrådsavd. for finans, eiendom og eierskap;0213;IKT Drift;EGEN;Bykassen-investeringer egenregi;062354;IKT Drift Intern Konserninnkjøp;16;Administrasjon og fellesfunksjoner;16;Administrasjon og fellesfunksjoner;N;Nei;12000;Administrasjon;IKTINV;IKTHP  - Investeringer;IKTPLFIN;IKT-HP - Felles infrastruktur;011616;SAN utvidelse;31;Diverse endringer;BY;0,00;0,00;0,00;0,00;0,00
12-15VB;100;Investeringer i anleggsmidler;012000;INV Annen forbr.matr.,råvarer,tj.;2;Byrådsavd. for finans, eiendom og eierskap;0213;IKT Drift;EGEN;Bykassen-investeringer egenregi;062354;IKT Drift Intern Konserninnkjøp;16;Administrasjon og fellesfunksjoner;16;Administrasjon og fellesfunksjoner;N;Nei;12000;Administrasjon;IKTINV;IKTHP  - Investeringer;IKTPLFIN;IKT-HP - Felles infrastruktur;011619;Kontinuitetsløsninger (KBP);01;Vedtatt budsjett inneværende år;BY;1 000 000,00;0,00;0,00;0,00;0,00
13-16IN1;100;Investeringer i anleggsmidler;012000;INV Annen forbr.matr.,råvarer,tj.;2;Byrådsavd. for finans, eiendom og eierskap;0213;IKT Drift;EGEN;Bykassen-investeringer egenregi;062354;IKT Drift Intern Konserninnkjøp;16;Administrasjon og fellesfunksjoner;16;Administrasjon og fellesfunksjoner;N;Nei;12000;Administrasjon;IKTINV;IKTHP  - Investeringer;IKTPLFIN;IKT-HP - Felles infrastruktur;011619;Kontinuitetsløsninger (KBP);01;Vedtatt budsjett inneværende år;BY;0,00;500 000,00;0,00;0,00;0,00
12-15VB;100;Investeringer i anleggsmidler;012000;INV Annen forbr.matr.,råvarer,tj.;2;Byrådsavd. for finans, eiendom og eierskap;0213;IKT Drift;EGEN;Bykassen-investeringer egenregi;062354;IKT Drift Intern Konserninnkjøp;16;Administrasjon og fellesfunksjoner;16;Administrasjon og fellesfunksjoner;N;Nei;12000;Administrasjon;IKTINV;IKTHP  - Investeringer;IKTPLFIN;IKT-HP - Felles infrastruktur;011619;Kontinuitetsløsninger (KBP);31;Diverse endringer;BY;-500 000,00;0,00;0,00;0,00;0,00
12-15VB;100;Investeringer i anleggsmidler;012000;INV Annen forbr.matr.,råvarer,tj.;2;Byrådsavd. for finans, eiendom og eierskap;0213;IKT Drift;EGEN;Bykassen-investeringer egenregi;062354;IKT Drift Intern Konserninnkjøp;16;Administrasjon og fellesfunksjoner;16;Administrasjon og fellesfunksjoner;N;Nei;12000;Administrasjon;IKTINV;IKTHP  - Investeringer;IKTPLFIN;IKT-HP - Felles infrastruktur;011623;Rullering av kjernenett;01;Vedtatt budsjett inneværende år;BY;1 500 000,00;0,00;0,00;0,00;0,00
