kommunenavn;kommunenummer;fylke
BOKN, KARMØY;1145, 1149;Rogaland
EIGERSUND, SOKNDAL, LUND;1101, 1111, 1112;Rogaland
HAUGESUND , UTSIRA;1106, 1151;Rogaland
KVITSØY, RANDABERG;1144, 1127;Rogaland
SULDAL, SAUDA;1134, 1135;Rogaland
VINDAFJORD, ETNE;1160, 4611;Rogaland
BINDAL, SØMNA, BRØNNØY, VEGA, VEVELSTAD;1811, 1812, 1813, 1815, 1816;Nordland
BODØ, RØDØY, GILDESKÅL, STEIGEN, HAMARØY, RØST, VÆRØY;1804, 1836, 1838, 1848, 1849, 1856, 1857;Nordland
FLAKSTAD, VESTVÅGØY, MOSKENES;1859, 1860, 1874;Nordland
HERØY (NORDLAND), ALSTADHAUG, LEIRFJORD, DØNNA;1818, 1820, 1822, 1827;Nordland
LØDINGEN, HADSEL, BØ, ØKSNES, SORTLAND, ANDØY;1851, 1866, 1867, 1868, 1870, 1871;Nordland
NARVIK, EVENES;1806, 1853;Nordland
NESNA, TRÆNA;1828, 1835;Nordland
VEFSN, GRANE;1824, 1825;Nordland
FLESBERG, ROLLAG, NORE OG UVDAL;3334, 3336, 3338;Buskerud
FLÅ, NESBYEN, GOL, HEMSEDAL, ÅL, HOL;3320, 3322, 3324, 3326, 3328, 3330;Buskerud
SIGDAL, KRØDSHERAD, MODUM;3332, 3318, 3316;Buskerud
DOVRE, LESJA;3431, 3432;Innlandet
GJØVIK, SØNDRE LAND, NORDRE LAND;3407, 3447, 3448;Innlandet
GRUE, ÅSNES, VÅLER(INNLANDET);3417, 3418, 3419;Innlandet
NORD-FRON, SØR-FRON, RINGEBU;3436, 3438, 3439;Innlandet
NORD-ODAL, SØR-ODAL;3414, 3415;Innlandet
RENDALEN, TOLGA, TYNSET, ALVDAL, FOLLDAL;3424, 3426, 3427, 3428, 3429;Innlandet
SKJÅK, LOM, VÅGÅ, SEL;3433, 3434, 3435, 3437;Innlandet
SØR-AURDAL, ETNEDAL, NORD-AURDAL, ØYSTRE SLIDRE;3449,3450, 3451, 3453;Innlandet
TRYSIL, ENGERDAL;3421, 3425;Innlandet
VESTRE SLIDRE, VANG;3452, 3454;Innlandet
ØYER, GAUSDAL;3440, 3441;Innlandet
KRAGERØ, DRANGEDAL;4014, 4016;Telemark
NOME, MIDT-TELEMARK;4018, 4020;Telemark
NOTODDEN, HJARTDAL;4005, 4024;Telemark
SELJORD, KVITESEID, NISSEDAL, FYRESDAL, TOKKE, VINJE;4022, 4028, 4030, 4032, 4034, 4036;Telemark
BYGLAND, VALLE, BYKLE;4220, 4221, 4222;Agder
FARSUND, FLEKKEFJORD, LYNGDAL, HÆGEBOSTAD, KVINESDAL, SIRDAL;4206, 4207, 4225, 4226, 4227, 4228;Agder
IVELAND, EVJE OG HORNES, VENNESLA, ÅSERAL;4218, 4219, 4223, 4224;Agder
LILLESAND, BIRKENES, KRISTIANSAND;4215, 4216, 4204;Agder
RISØR, GJERSTAD, VEGÅRSHEI, TVEDESTRAND, ÅMLI;4201, 4211, 4212, 4213, 4217;Agder
ALVER, AUSTRHEIM, FEDJE;4631, 4632, 4633;Vestland
AURLAND, LÆRDAL;4641, 4642;Vestland
BØMLO, STORD, FITJAR;4613, 4614, 4615;Vestland
MASFJORDEN, GULEN;4634, 4635;Vestland
SOGNDAL, LUSTER;4640, 4644;Vestland
SOLUND, HYLLESTAD, ASKVOLL, FJALER;4636, 4637, 4645, 4646;Vestland
ULLENSVANG, EIDFJORD, ULVIK;4618, 4619, 4620;Vestland
VAKSDAL, OSTERØY, MODALEN;4628, 4630, 4629;Vestland
LIERNE, RØYRVIK, NAMSSKOGAN, GRONG, HØYLANDET;5042, 5043, 5044, 5045, 5046;Trøndelag
MELHUS, SKAUN;5028, 5029;Trøndelag
NAMSOS, OVERHALLA, FLATANGER;5007, 5047, 5049;Trøndelag
OPPDAL, RENNEBU;5021, 5022;Trøndelag
OSEN, INDRE FOSEN, ØRLAND, ÅFJORD;5020, 5054, 5057, 5058;Trøndelag
RØROS, HOLTÅLEN, OS;5025, 5026, 3430;Trøndelag
SELBU, TYDAL, MERÅKER, STJØRDAL, FROSTA;5032, 5033, 5034, 5035, 5036;Trøndelag
STEINKJER, SNÅSA, INDERØY;5006, 5041, 5053;Trøndelag
ALTA, KVÆNANGEN, LOPPA;5601, 5546, 5614;Finnmark
BERLEVÅG, BÅTSFJORD;5630, 5632;Finnmark
HAMMERFEST, MÅSØY;5603, 5618;Finnmark
IBESTAD, GRATANGEN, LAVANGEN, SALANGEN, DYRØY;5514, 5516, 5518, 5522, 5528;Troms
LEBESBY, GAMVIK;5624, 5626;Finnmark
TANA, NESSEBY;5628, 5636;Finnmark
KRISTIANSUND, AVERØY, GJEMNES;1505, 1554, 1557;Møre- og Romsdal
MOLDE, VESTNES, AUKRA;1506, 1535, 1547;Møre- og Romsdal
STRANDA, FJORD;1525, 1578;Møre- og Romsdal
VANYLVEN, SANDE, ULSTEIN, HAREID, ØRSTA, VOLDA;1511, 1514, 1516, 1517, 1520, 1577;Møre- og Romsdal
TINGVOLL, SUNNDAL, SURNADAL, RINDAL;1560, 1563, 1566, 5061;Møre- og Romsdal
