enhet;kode;navn;fylke;fylkesmann;orgnr_fylkesmann;fylke_nr
1101 - Eigersund;1101;Eigersund;Rogaland;Fylkesmannen i Rogaland;974763230;11
1103 - Stavanger;1103;Stavanger;Rogaland;Fylkesmannen i Rogaland;974763230;11
1106 - Haugesund;1106;Haugesund;Rogaland;Fylkesmannen i Rogaland;974763230;11
1108 - Sandnes;1108;Sandnes;Rogaland;Fylkesmannen i Rogaland;974763230;11
1111 - Sokndal;1111;Sokndal;Rogaland;Fylkesmannen i Rogaland;974763230;11
1112 - Lund;1112;Lund;Rogaland;Fylkesmannen i Rogaland;974763230;11
1114 - Bjerkreim;1114;Bjerkreim;Rogaland;Fylkesmannen i Rogaland;974763230;11
1119 - Hå;1119;Hå;Rogaland;Fylkesmannen i Rogaland;974763230;11
1120 - Klepp;1120;Klepp;Rogaland;Fylkesmannen i Rogaland;974763230;11
1121 - Time;1121;Time;Rogaland;Fylkesmannen i Rogaland;974763230;11
1122 - Gjesdal;1122;Gjesdal;Rogaland;Fylkesmannen i Rogaland;974763230;11
1124 - Sola;1124;Sola;Rogaland;Fylkesmannen i Rogaland;974763230;11
1127 - Randaberg;1127;Randaberg;Rogaland;Fylkesmannen i Rogaland;974763230;11
1130 - Strand;1130;Strand;Rogaland;Fylkesmannen i Rogaland;974763230;11
1133 - Hjelmeland;1133;Hjelmeland;Rogaland;Fylkesmannen i Rogaland;974763230;11
1134 - Suldal;1134;Suldal;Rogaland;Fylkesmannen i Rogaland;974763230;11
1135 - Sauda;1135;Sauda;Rogaland;Fylkesmannen i Rogaland;974763230;11
1144 - Kvitsøy;1144;Kvitsøy;Rogaland;Fylkesmannen i Rogaland;974763230;11
1145 - Bokn;1145;Bokn;Rogaland;Fylkesmannen i Rogaland;974763230;11
1146 - Tysvær;1146;Tysvær;Rogaland;Fylkesmannen i Rogaland;974763230;11
1149 - Karmøy;1149;Karmøy;Rogaland;Fylkesmannen i Rogaland;974763230;11
1151 - Utsira;1151;Utsira;Rogaland;Fylkesmannen i Rogaland;974763230;11
1160 - Vindafjord;1160;Vindafjord;Rogaland;Fylkesmannen i Rogaland;974763230;11
1505 - Kristiansund;1505;Kristiansund;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1506 - Molde;1506;Molde;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1508 - Ålesund;1508;Ålesund;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1511 - Vanylven;1511;Vanylven;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1514 - Sande;1514;Sande;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1515 - Herøy (Møre og Romsdal);1515;Herøy (Møre og Romsdal);Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1516 - Ulstein;1516;Ulstein;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1517 - Hareid;1517;Hareid;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1520 - Ørsta;1520;Ørsta;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1525 - Stranda;1525;Stranda;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1528 - Sykkylven;1528;Sykkylven;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1531 - Sula;1531;Sula;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1532 - Giske;1532;Giske;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1535 - Vestnes;1535;Vestnes;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1539 - Rauma;1539;Rauma;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1547 - Aukra;1547;Aukra;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1554 - Averøy;1554;Averøy;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1557 - Gjemnes;1557;Gjemnes;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1560 - Tingvoll;1560;Tingvoll;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1563 - Sunndal;1563;Sunndal;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1566 - Surnadal;1566;Surnadal;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1573 - Smøla;1573;Smøla;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1576 - Aure;1576;Aure;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1577 - Volda;1577;Volda;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1578 - Fjord;1578;Fjord;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1579 - Hustadvika;1579;Hustadvika;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1580 - Haram;1580;Haram;Møre og Romsdal;Fylkesmannen i Møre og Romsdal;974764067;15
1804 - Bodø;1804;Bodø;Nordland;Fylkesmannen i Nordland;974764687;18
1806 - Narvik;1806;Narvik;Nordland;Fylkesmannen i Nordland;974764687;18
1811 - Bindal;1811;Bindal;Nordland;Fylkesmannen i Nordland;974764687;18
1812 - Sømna;1812;Sømna;Nordland;Fylkesmannen i Nordland;974764687;18
1813 - Brønnøy;1813;Brønnøy;Nordland;Fylkesmannen i Nordland;974764687;18
1815 - Vega;1815;Vega;Nordland;Fylkesmannen i Nordland;974764687;18
1816 - Vevelstad;1816;Vevelstad;Nordland;Fylkesmannen i Nordland;974764687;18
1818 - Herøy (Nordland);1818;Herøy (Nordland);Nordland;Fylkesmannen i Nordland;974764687;18
1820 - Alstahaug;1820;Alstahaug;Nordland;Fylkesmannen i Nordland;974764687;18
1822 - Leirfjord;1822;Leirfjord;Nordland;Fylkesmannen i Nordland;974764687;18
1824 - Vefsn;1824;Vefsn;Nordland;Fylkesmannen i Nordland;974764687;18
1825 - Grane;1825;Grane;Nordland;Fylkesmannen i Nordland;974764687;18
1826 - Hattfjelldal;1826;Hattfjelldal;Nordland;Fylkesmannen i Nordland;974764687;18
1827 - Dønna;1827;Dønna;Nordland;Fylkesmannen i Nordland;974764687;18
1828 - Nesna;1828;Nesna;Nordland;Fylkesmannen i Nordland;974764687;18
1832 - Hemnes;1832;Hemnes;Nordland;Fylkesmannen i Nordland;974764687;18
1833 - Rana;1833;Rana;Nordland;Fylkesmannen i Nordland;974764687;18
1834 - Lurøy;1834;Lurøy;Nordland;Fylkesmannen i Nordland;974764687;18
1835 - Træna;1835;Træna;Nordland;Fylkesmannen i Nordland;974764687;18
1836 - Rødøy;1836;Rødøy;Nordland;Fylkesmannen i Nordland;974764687;18
1837 - Meløy;1837;Meløy;Nordland;Fylkesmannen i Nordland;974764687;18
1838 - Gildeskål;1838;Gildeskål;Nordland;Fylkesmannen i Nordland;974764687;18
1839 - Beiarn;1839;Beiarn;Nordland;Fylkesmannen i Nordland;974764687;18
1840 - Saltdal;1840;Saltdal;Nordland;Fylkesmannen i Nordland;974764687;18
1841 - Fauske - Fuosko;1841;Fauske - Fuosko;Nordland;Fylkesmannen i Nordland;974764687;18
1845 - Sørfold;1845;Sørfold;Nordland;Fylkesmannen i Nordland;974764687;18
1848 - Steigen;1848;Steigen;Nordland;Fylkesmannen i Nordland;974764687;18
1851 - Lødingen;1851;Lødingen;Nordland;Fylkesmannen i Nordland;974764687;18
1853 - Evenes;1853;Evenes;Nordland;Fylkesmannen i Nordland;974764687;18
1856 - Røst;1856;Røst;Nordland;Fylkesmannen i Nordland;974764687;18
1857 - Værøy;1857;Værøy;Nordland;Fylkesmannen i Nordland;974764687;18
1859 - Flakstad;1859;Flakstad;Nordland;Fylkesmannen i Nordland;974764687;18
1860 - Vestvågøy;1860;Vestvågøy;Nordland;Fylkesmannen i Nordland;974764687;18
1865 - Vågan;1865;Vågan;Nordland;Fylkesmannen i Nordland;974764687;18
1866 - Hadsel;1866;Hadsel;Nordland;Fylkesmannen i Nordland;974764687;18
1867 - Bø;1867;Bø;Nordland;Fylkesmannen i Nordland;974764687;18
1868 - Øksnes;1868;Øksnes;Nordland;Fylkesmannen i Nordland;974764687;18
1870 - Sortland - Suortá;1870;Sortland - Suortá;Nordland;Fylkesmannen i Nordland;974764687;18
1871 - Andøy;1871;Andøy;Nordland;Fylkesmannen i Nordland;974764687;18
1874 - Moskenes;1874;Moskenes;Nordland;Fylkesmannen i Nordland;974764687;18
