tailid,parentid,orgstructid,name_nb,name_nn,name_en,orgid,kommunenummer
41943,42285,39,DPS Søndre Oslo - Holmlia - distriktspsykiatrisk senter,DPS Søndre Oslo - Holmlia - distriktspsykiatrisk senter,DPS Søndre Oslo District Psychiatric Centre - Holmlia,,
23842,26064,37,NAV Voss,NAV Voss,NAV Voss,,
23844,26064,36,NAV Arbeidslivssenter Hordaland,NAV Arbeidslivssenter Hordaland,NAV Employment Support Centre (Hordaland),,
23846,26064,36,NAV Arbeidsrådgivning Hordaland,NAV Arbeidsrådgivning Hordaland,NAV Career Advice Office (Hordaland),,
23847,26064,36,"NAV Tiltak, Intro og Marked Bergen","NAV Tiltak, Intro og Marked Bergen",NAV Intro Bergen,,
25994,,66,Herøy kommune (Nordland),Herøy kommune (Nordland),Herøy Municipality (Nordland),,1818
25995,,66,Hitra kommune,Hitra kommune,Hitra Municipality,938772924,1617
25996,,66,Hjartdal kommune,Hjartdal kommune,Hjartdal Municipality,964963649,0827
25997,,66,Hjelmeland kommune,Hjelmeland kommune,Hjelmeland Municipality,864979092,1133
25998,,66,Hobøl kommune,Hobøl kommune,Hobøl Municipality,964947449,0138
25999,,66,Hof kommune,Hof kommune,Hof Municipality,864951732,0714
26000,,66,Hole kommune,Hole kommune,Hole Municipality,960010833,0612
26001,,66,Hol kommune,Hol kommune,Hol Municipality,944889116,0620
26002,,66,Holmestrand kommune,Holmestrand kommune,Holmestrand Municipality,838500382,0702
26003,,66,Holtålen kommune,Holtålen kommune,Holtålen Municipality,937697767,1644
26004,,59,Hordaland fylkeskommune,Hordaland fylkeskommune,Hordaland County Administration,938626367,1200
43423,32251,39,BUPA poliklinikk Tønsberg,BUPA poliklinikk Tønsberg,Mental health clinic for children and adolescents,,
26006,29872,39,Hordaland politidistrikt,Hordaland politidistrikt,Hordaland Police District,983998461,
26007,,66,Hornindal kommune,Hornindal kommune,Hornindal Municipality,,1444
26008,26888,39,Hovedredningssentralen Nord-Norge,Hovedredningssentralen Nord-Norge,"Joint Rescue Coordination Centre, Northern Norway",971390425,
43424,32254,39,"BUPA poliklinikk Horten, Stokke, Andebu","BUPA poliklinikk Horten, Stokke, Andebu","Mental health clinic for children and adolescents Horten, Stokke, Andebu",,
26010,,66,Hurdal kommune,Hurdal kommune,Hurdal Municipality,939780777,0239
26011,,66,Hurum kommune,Hurum kommune,Hurum Municipality,964963193,0628
26012,25109,39,"Husbanken, Region vest","Husbanken, Region vest",Norwegian State Housing Bank - Regional Office Vest,,
26013,26659,38,Havforskningsinstituttet,Havforskingsinstituttet,Institute of Marine Research,971349077,
