tailid,coordsys,x,y,z
25348,utm33,46374,6954209,
25349,utm33,5455,6626756,
25350,utm33,-47807,6722869,
25352,utm33,44123,6957977,
25353,utm33,182280,6998344,
25355,utm33,-44172,6640148,
25356,utm33,240686,6616616,
21282,utm33,562007,7632260,
21293,utm33,1056104,7842085,
21302,utm33,286703,6746201,
21304,utm33,192583,6576496,
21306,utm33,-31484,6733883,
21307,utm33,653089,7731204,
21308,utm33,99640,6980466,
21310,utm33,562007,7632260,
21323,utm33,316813,7073689,
21326,utm33,332013,7154091,
21327,utm33,472927,7462782,
21341,utm33,561564,7632410,
21344,utm33,328985,7102534,
21348,utm33,516797,7620642,
21351,utm33,1078111,7807370,
21354,utm33,76816,6814280,
21363,utm33,99545,6980454,
21371,utm33,-31324,6666464,
21374,utm33,31536,6752568,
21375,utm33,182280,6998344,
21376,utm33,15630,6847470,
21382,utm33,52893,6956036,
21410,utm33,-31484,6733883,
21418,utm33,-32046,6571874,
21421,utm33,-30642,6732065,
21422,utm33,88093,6466961,
21423,utm33,238984,6579351,
21425,utm33,-31616,6571347,
21433,utm33,909659,7742368,
21435,utm33,1009391,7842171,
21437,utm33,1076520,7807140,
22475,utm33,259468,6650212,
22476,utm33,261037,6650464,
22477,utm33,260954,6649925,
22479,utm33,259965,6649548,
21769,utm33,176946,6729402,
21774,utm33,244079,6641714,
21777,utm33,230313,6632178,
21781,utm33,242263,6631401,
21784,utm33,336280,6723439,
21786,utm33,279725,6756684,
21789,utm33,292134,6737266,
21790,utm33,313330,6754571,
21791,utm33,392802,7324459,
21792,utm33,339254,6851340,
21793,utm33,293879,6868165,
21795,utm33,293291,6926240,
21796,utm33,353459,6801030,
20700,utm33,13598,6847337,
20701,utm33,76633,6814084,
20707,utm33,54753,6955792,
20721,utm33,236866,6679136,
20723,utm33,198420,6627675,
20727,utm33,238049,6579959,
20749,utm33,286258,6745667,
20755,utm33,281137,6911937,
20762,utm33,287466,6673375,
22180,utm33,-24969,6513554,
22182,utm33,-17702,6905778,
22188,utm33,195598,7081609,
38009,utm33,233494,6635203,
22195,utm33,192900,6567594,
22196,utm33,212090,6860895,
22199,utm33,265946,6648620,
22573,utm33,695803,7692773,
22574,utm33,625308,7673845,
22576,utm33,603683,7680114,
22580,utm33,815522,7783331,
22582,utm33,1040064,7902511,
