tailid;address1;address2;address3;address4;postalcode;city;country
25348;"Postboks 280";;;;6039;Langevåg;Norge
25349;"Eidsvegen 7";;;;4230;Sand;Norge
25350;"Postboks 23";;;;5371;Skogsvåg;Norge
25352;"Postboks 1353 Sentrum";;;;6001;Ålesund;Norge
25353;;;;;6650;Surnadal;Norge
25355;"Postboks 40";;;;5559;Sveio;Norge
25356;"Postboks 40";;;;3060;Svelvik;Norge
21282;"Postboks 296";;;;9483;Harstad;Norge
21293;"Damsveien 1";;;;9815;Vadsø;Norge
21302;"Postboks 4267";;;;2307;Hamar;Norge
21304;"Postboks 2845";;;;3702;Skien;Norge
21306;"Postboks 7318";;;;5020;Bergen;Norge
21307;Fylkeshuset;;;;9296;Tromsø;Norge
21308;;;;;6404;Molde;Norge
21310;"Julsundvegen 8";;;;6404;Molde;Norge
21323;"Postboks 333";;;;7601;Levanger;Norge
21326;"Postboks 453";;;;7801;Namsos;Norge
21327;"Moloveien 12";;;;8002;Bodø;Norge
21341;"St. Olavs gate 70";;;;9480;Harstad;Norge
21344;"Postboks 2627";;;;7734;Steinkjer;Norge
21348;"Postboks 93";;;;8401;Sortland;Norge
21351;"Postboks 410";;;;9915;Kirkenes;Norge
21354;"Postboks 445";;;;6853;Sogndal;Norge
21363;Fylkeshuset;;;;6404;Molde;Norge
21371;"Postboks 4000";;;;5409;Stord;Norge
21374;"Sjukehusvegen 16";;;;5700;Voss;Norge
21375;"Bårdshaugvegen 1";;;;6650;Surnadal;Norge
21376;;;;;6807;Førde;Norge
21382;"Åsehaugen 5";;;;6026;Ålesund;Norge
21410;"Postboks 7316";;;;5020;Bergen;Norge
21418;"Postboks 8100";;;;4068;Stavanger;Norge
21421;"Jonas Lies vei 65";;;;5021;Bergen;Norge
21422;"Serviceboks 508";;;;4605;"Kristiansand S";Norge
21423;"Boks 2168";;;;3103;Tønsberg;Norge
21425;"Postboks 2094";;;;4095;Stavanger;Norge
21433;"Postboks 104";;;;9735;"Kárásjohka - Karasjok";Norge
21435;"Postboks 53";;;;9820;Varangerbotn;Norge
21437;;;;;9917;Kirkenes;Norge
22475;"Olav Kyrres plass 1";;;;0244;Oslo;Norge
22476;"Josefines gate 37";;;;0244;Oslo;Norge
22477;"Parkveien 51 A";;;;0244;Oslo;Norge
22479;"Drammensveien 69";;;;0244;Oslo;Norge
21769;"Postboks 114";;;;3540;Nesbyen;Norge
21774;"Postboks 415";;;;1302;Sandvika;Norge
21777;"Postboks 1087";;;;3001;Drammen;Norge
21781;"Postboks 1087";;;;3007;Drammen;Norge
21784;"Negardsvegen 1";;;;2270;Flisa;Norge
21786;"Postboks 24";;;;2381;Brumunddal;Norge
21789;"Storgata 35";;;;2335;Stange;Norge
21790;"Postboks 402";;;;2418;Elverum;Norge
21791;;;;;2560;Alvdal;Norge
21792;;;;;2440;Engerdal;Norge
21793;Bergset;;;;2485;Rendalen;Norge
21795;;;;;2540;Tolga;Norge
21796;"Storvegen 3";;;;2420;Trysil;Norge
20700;"Storehagen 1B";;;;6800;Førde;Norge
20701;"Postboks 192";;;;6851;Sogndal;Norge
20707;"Langelandsvn. 17";;;;6010;Ålesund;Norge
20709;"Strandgata 17";;;;2815;Gjøvik;Norge
20711;"Storgata 21";;;;2670;Otta;Norge
20721;"Postboks 177";;;;3502;Hønefoss;Norge
20723;"Dyrmyrgata 47";;;;3611;Kongsberg;Norge
20727;"Kjelleveien 21";;;;3125;Tønsberg;Norge
20729;"Holmbrua 2";;;;3211;Sandefjord;Norge
44822;"Lovisenberg DPS";;;;0440;Oslo;Norge
20745;"Idrettsveien 7";;;;1400;Ski;Norge
20749;"Brygga 11";;;;2317;Hamar;Norge
20755;"Aumliveien 4C";;;;2500;Tynset;Norge
20762;"Postboks 202";;;;2051;Jessheim;Norge
22180;"Felles postmottak";"Postboks 383";;;2381;Brumunddal;Norge
22182;"Felles postmottak";"Postboks 383";;;2381;Brumunddal;Norge
22188;"Felles postmottak";Postboks383;;;2381;Brumunddal;Norge
38006;"Postboks 126";;;;5401;Stord;Norge
38009;"Ringeriksveien 77";;;;3400;Lier;Norge
22195;"Felles postmottak";"Postboks 383";;;2381;Brumunddal;Norge
22196;"Felles postmottak";"Postboks 383";;;2381;Brumunddal;Norge
22199;"Felles postmottak";"Postboks 383";;;2381;Brumunddal;Norge
22573;;;;;9046;Oteren;Norge
22574;;;;;9310;Sørreisa;Norge
22576;;;;;9392;Stonglandseidet;Norge
22580;"Postboks 1274";;;;9505;Alta;Norge
22582;"Boks 610";;;;9991;Båtsfjord;Norge
22583;"Postboks 293";;;;9770;Mehamn;Norge
22584;"Postboks 309";;;;9515;Hammerfest;Norge
22585;"Postboks 43";;;;9593;Breivikbotn;Norge
22586;"Fitnodatgeaidnu 39";;;;9730;"Kárásjohka - Karasjok";Norge
22587;;;;;9520;"Guovdageainnu - Kautokeino";Norge
22588;;;;;9620;Kvalsund;Norge
22589;"Postboks 203";;;;9790;Kjøllefjord;Norge
22590;;;;;9550;Øksfjord;Norge
22591;;;;;9690;Havøysund;Norge
22592;;;;;9840;Varangerbotn;Norge
22593;"Postboks 64";;;;9751;Honningsvåg;Norge
22594;;;;;9712;Lakselv;Norge
22595;Postuttak;;;;9306;Finnsnes;Norge
22596;;;;;9060;Lyngseidet;Norge
22597;"Postboks 1113";;;;9326;Bardufoss;Norge
22598;"Postboks 23";;;;9915;Kirkenes;Norge
22599;"Rådhusveien 3";;;;9845;Deatnu/Tana;Norge
22600;"Postboks 46";;;;9448;Ramsund;Norge
22601;"Postboks 115";;;;8770;Træna;Norge
22602;"Postboks 74";;;;8591;Kjøpsvik;Norge
24184;;;;;8980;Vega;Norge
24187;"Postboks 3";;;;7651;Verdal;Norge
24188;"Liavegen 1";;;;7790;Malm;Norge
24189;"Postboks 163";;;;1541;Vestby;Norge
24192;"Postboks 8103";;;;4068;Stavanger;Norge
24193;;;;;2966;Slidre;Norge
27701;"Øvre Slottsgt 2B";;;;0157;Oslo;Norge
