vurderingid;created;nettstednavn;url;poeng;maxpoeng;snittprosent;stjerner;tilgang_poeng;tilgang_maxpoeng;brukertilpass_poeng;brukertilpass_maxpoeng;nyttig_poeng;nyttig_maxpoeng
14946;08/16/2011 09:06:03;Agdenes kommune;http://www.agdenes.kommune.no/;57;93;61;4;14;28;19;30;24;35
15215;08/26/2011 08:41:28;Akershus fylkeskommune;http://www.akershus.no/;72;93;77;5;23;28;26;30;23;35
16038;09/26/2011 13:39:22;Akershus universitetssykehus HF;http://www.ahus.no;43;93;46;3;11;28;18;30;14;35
14955;08/17/2011 08:57:18;Alstahaug kommune;http://www.alstahaug.kommune.no/;42;93;45;3;12;28;13;30;17;35
14965;08/17/2011 11:43:08;Alta kommune;http://www.alta.kommune.no;82;93;88;6;25;28;25;30;32;35
14985;08/18/2011 11:17:18;Alvdal kommune;http://www.alvdal.kommune.no;29;93;31;2;9;28;10;30;10;35
15025;08/20/2011 08:22:10;Andebu kommune;http://www.andebu.kommune.no;71;93;76;5;22;28;21;30;28;35
15026;08/20/2011 11:11:27;Andøy kommune;http://www.andoy.net/;64;93;69;4;18;28;24;30;22;35
17168;10/24/2011 09:39:06;Arbeids- og velferdsetaten;http://www.nav.no/;70;93;75;5;24;28;23;30;23;35
16896;10/20/2011 18:26:05;Arbeidsdepartementet;http://www.regjeringen.no/nb/dep/ad.html;68;93;73;5;22;28;24;30;22;35
14975;08/18/2011 09:44:49;Arbeidstilsynet;http://www.arbeidstilsynet.no/;67;93;72;5;19;28;21;30;27;35
15035;08/20/2011 13:15:24;Aremark kommune;http://www.aremark.kommune.no;71;93;76;5;20;28;24;30;27;35
15055;08/21/2011 09:08:45;Arendal kommune;http://www.arendal.kommune.no/;68;93;73;5;22;28;20;30;26;35
15899;09/22/2011 15:24:31;Arkitektur- og designhøgskolen i Oslo;http://www.aho.no/;58;93;62;4;18;28;20;30;20;35
15056;08/21/2011 11:32:37;Asker kommune;http://www.asker.kommune.no/;67;93;72;5;17;28;22;30;28;35
15065;08/22/2011 08:45:50;Askim kommune;http://www.askim.kommune.no;71;93;76;5;18;28;23;30;30;35
15085;08/22/2011 16:23:49;Askvoll kommune;http://www.askvoll.kommune.no/;57;93;61;4;17;28;17;30;23;35
15095;08/22/2011 21:00:49;Askøy kommune;http://www.askoy.kommune.no/;48;93;52;3;9;28;17;30;22;35
15105;08/23/2011 08:10:33;Audnedal kommune;http://www.audnedal.kommune.no/;48;93;52;3;8;28;19;30;21;35
15125;08/23/2011 18:33:27;Aukra kommune;http://www.aukra.kommune.no/;45;93;48;3;12;28;16;30;17;35
16860;10/20/2011 12:10:59;Aure kommune;http://www.aure.kommune.no/;79;93;85;6;23;28;26;30;30;35
15135;08/24/2011 08:13:05;Aurland kommune;http://www.aurland.kommune.no;73;93;78;5;20;28;23;30;30;35
15176;08/25/2011 08:10:09;Aurskog-Høland kommune;http://www.aurskog-holand.kommune.no/;64;93;69;4;24;28;22;30;18;35
15185;08/25/2011 11:42:15;Aust-Agder fylkeskommune;http://www.austagderfk.no/;68;93;73;5;19;28;22;30;27;35
15195;08/25/2011 15:06:11;Austevoll kommune;http://www.austevoll.kommune.no/;26;93;28;1;7;28;12;30;7;35
15205;08/25/2011 20:24:57;Austrheim kommune;http://www.austrheim.kommune.no;48;93;52;3;18;28;16;30;14;35
16861;10/20/2011 12:12:21;Averøy kommune;http://www.averoy.kommune.no/;75;93;81;6;23;28;24;30;28;35
15465;09/06/2011 13:33:07;Avinor;http://www.avinor.no;52;93;56;3;17;28;22;30;13;35
15216;08/26/2011 10:21:24;Balestrand kommune;http://www.balestrand.kommune.no;71;93;76;5;23;28;24;30;24;35
15245;08/27/2011 10:43:41;Ballangen kommune;http://www.ballangen.kommune.no/;50;93;54;3;21;28;16;30;13;35
15246;08/27/2011 12:41:25;Balsfjord kommune;http://www.balsfjord.kommune.no/;68;93;73;5;23;28;22;30;23;35
15255;08/27/2011 17:22:02;Bamble kommune;http://www.bamble.kommune.no/;68;93;73;5;19;28;21;30;28;35
15265;08/29/2011 13:21:55;Bardu kommune;http://www.bardu.kommune.no/;53;93;57;3;16;28;18;30;19;35
16899;10/20/2011 21:15:15;Barne-, likestillings- og inkluderingsdepartementet;http://www.regjeringen.no/nb/dep/bld.html;67;93;72;5;22;28;23;30;22;35
15566;09/12/2011 09:59:07;Barne-, ungdoms- og familiedirektoratet;http://www.bufetat.no;65;93;70;5;21;28;26;30;18;35
15485;09/07/2011 12:20:29;Barneombudet;http://www.barneombudet.no/;45;93;48;3;12;28;18;30;15;35
15266;08/29/2011 15:32:21;Beiarn kommune;http://www.beiarn.kommune.no;36;93;39;2;14;28;14;30;8;35
15155;08/24/2011 15:04:17;Berg kommune;http://www.berg.kommune.no;58;93;62;4;22;28;22;30;14;35
15275;08/29/2011 22:47:56;Bergen kommune;http://www.bergen.kommune.no/;69;93;74;5;20;28;22;30;27;35
15285;08/30/2011 10:31:47;Berlevåg kommune;http://www.berlevag.kommune.no;64;93;69;4;20;28;22;30;22;35
16549;10/11/2011 13:15:34;Bindal kommune;http://www.bindal.kommune.no;46;93;49;3;16;28;19;30;11;35
15826;09/20/2011 10:39:50;Bioforsk;http://www.bioforsk.no;60;93;65;4;15;28;16;30;29;35
15506;09/07/2011 14:04:41;Bioteknologinemnda;http://www.bion.no/;66;93;71;5;20;28;26;30;20;35
15295;08/30/2011 12:21:44;Birkenes kommune;http://www.birkenes.kommune.no/;59;93;63;4;22;28;20;30;17;35
15316;08/30/2011 18:34:20;Bjerkreim kommune;http://www.bjerkreim.kommune.no;46;93;49;3;9;28;19;30;18;35
15165;08/24/2011 15:08:57;Bjugn kommune;http://www.bjugn.kommune.no/;66;93;71;5;16;28;25;30;25;35
15325;08/31/2011 09:06:21;Bodø kommune;http://www.bodo.kommune.no;54;93;58;4;14;28;21;30;19;35
15335;08/31/2011 11:42:30;Bokn kommune;http://www.bokn.kommune.no;40;93;43;3;17;28;17;30;6;35
15345;08/31/2011 14:09:23;Bremanger kommune;http://www.bremanger.kommune.no/;63;93;68;4;19;28;19;30;25;35
15360;08/31/2011 18:12:20;Brønnøy kommune;http://www.bronnoy.kommune.no/;60;93;65;4;17;28;25;30;18;35
17169;10/24/2011 10:14:52;Brønnøysundregistrene;http://www.brreg.no;59;93;63;4;16;28;17;30;26;35
15361;08/31/2011 20:00:30;Buskerud fylkeskommune;http://www.bfk.no;64;93;69;4;22;28;23;30;19;35
15366;09/01/2011 14:20:28;Bygland kommune;http://www.bygland.kommune.no/;38;93;41;2;13;28;13;30;12;35
15352;08/31/2011 15:54:41;Bykle kommune;http://www.bykle.kommune.no;53;93;57;3;16;28;12;30;25;35
15375;09/01/2011 15:58:39;Bærum kommune;http://www.baerum.kommune.no/;76;93;82;6;22;28;23;30;31;35
15349;08/31/2011 15:34:41;Bø kommune (Telemark);http://www.bokommune.no/;54;93;58;4;20;28;16;30;18;35
15385;09/02/2011 08:52:56;Bø kommune (Vesterålen);http://www.boe.kommune.no/;30;93;32;2;11;28;13;30;6;35
15386;09/02/2011 11:01:32;Bømlo kommune;http://www.bomlo.kommune.no;61;93;66;4;24;28;21;30;16;35
15395;09/02/2011 14:27:32;Båtsfjord kommune;http://www.batsfjord.kommune.no/;54;93;58;4;21;28;23;30;10;35
15845;09/20/2011 15:42:40;Datatilsynet;http://www.datatilsynet.no;57;93;61;4;14;28;23;30;20;35
17137;10/23/2011 15:09:57;Direktoratet for byggkvalitet;http://www.dibk.no;37;93;40;2;11;28;9;30;17;35
17065;10/22/2011 14:26:21;Direktoratet for forvaltning og IKT;http://www.difi.no/;77;93;83;6;22;28;25;30;30;35
15066;08/22/2011 09:08:24;Direktoratet for mineralforvaltning (Bergmesteren Svalbard);http://www.dirmin.no;30;93;32;2;9;28;12;30;9;35
15115;08/23/2011 12:48:27;Direktoratet for nødkommunikasjon;http://www.dinkom.no/;52;93;56;3;16;28;23;30;13;35
15117;08/23/2011 14:25:10;Direktoratet for samfunnssikkerhet og beredskap;http://www.dsb.no/;70;93;75;5;17;28;24;30;29;35
15116;08/23/2011 13:44:49;Direktoratet for utviklingssamarbeid - Norad;http://www.norad.no/;57;93;61;4;20;28;19;30;18;35
15475;09/07/2011 09:05:20;Domstolene i Norge;http://www.domstol.no/;42;93;45;3;7;28;23;30;12;35
15405;09/03/2011 07:19:05;Dovre kommune;http://www.dovre.kommune.no;59;93;63;4;15;28;20;30;24;35
15406;09/03/2011 09:56:42;Drammen kommune;http://www.drammen.kommune.no/;69;93;74;5;17;28;21;30;31;35
15256;08/27/2011 17:22:53;Drangedal kommune;http://www.drangedal.kommune.no/;65;93;70;5;16;28;23;30;26;35
15415;09/03/2011 11:51:03;Dyrøy kommune;http://www.dyroy.kommune.no;77;93;83;6;24;28;24;30;29;35
15425;09/04/2011 09:07:25;Dønna kommune;http://www.donna.kommune.no/;29;93;31;2;7;28;15;30;7;35
15435;09/04/2011 11:48:49;Eid kommune;http://www.eid.kommune.no/;57;93;61;4;17;28;16;30;24;35
16862;10/20/2011 12:12:27;Eide kommune;http://www.eide.kommune.no/;56;93;60;4;19;28;19;30;18;35
16885;10/20/2011 14:58:13;Eidfjord kommune;http://www.eidfjord.kommune.no;64;93;69;4;22;28;17;30;25;35
15445;09/04/2011 14:54:24;Eidsberg kommune;http://www.eidsberg.kommune.no;61;93;66;4;16;28;21;30;24;35
15455;09/06/2011 10:27:55;Eidskog kommune;http://www.eidskog.kommune.no/;60;93;65;4;21;28;12;30;27;35
15456;09/06/2011 13:00:31;Eidsvoll kommune;http://www.eidsvoll.kommune.no/;59;93;63;4;13;28;20;30;26;35
15545;09/11/2011 13:24:52;Eigersund kommune;http://www.eigersund.kommune.no/;76;93;82;6;19;28;26;30;31;35
15549;09/11/2011 16:09:30;Elverum kommune;http://www.elverum.kommune.no/;65;93;70;5;22;28;19;30;24;35
15555;09/11/2011 20:30:20;Enebakk kommune;http://www.enebakk.kommune.no/;59;93;63;4;16;28;20;30;23;35
15005;08/18/2011 14:35:32;Engerdal kommune;http://www.engerdal.kommune.no/;63;93;68;4;18;28;21;30;24;35
15225;08/26/2011 12:30:21;Enøk-sentrene i Norge;http://www.enok.no/;17;93;18;1;5;28;7;30;5;35
15565;09/12/2011 09:55:04;Etne kommune;http://www.etne.kommune.no/;78;93;84;6;25;28;21;30;32;35
15036;08/20/2011 13:47:52;Etnedal kommune;http://www.etnedal.kommune.no/;56;93;60;4;23;28;19;30;14;35
15346;08/31/2011 15:24:14;Evenes kommune;http://www.evenes.kommune.no;49;93;53;3;13;28;15;30;21;35
15581;09/12/2011 13:04:25;Evje og Hornnes kommune;http://www.e-h.kommune.no;58;93;62;4;20;28;21;30;17;35
15503;09/07/2011 13:59:11;Farsund kommune;http://www.farsund.kommune.no/;54;93;58;4;10;28;18;30;26;35
15595;09/12/2011 19:45:33;Fauske kommune;http://www.fauske.kommune.no/;49;93;53;3;17;28;21;30;11;35
15605;09/13/2011 08:56:29;Fedje kommune;http://www.fedje.kommune.no/;46;93;49;3;19;28;13;30;14;35
15606;09/13/2011 10:22:13;Fet kommune;http://www.fet.kommune.no/;58;93;62;4;15;28;20;30;23;35
16900;10/20/2011 22:01:31;Finansdepartementet;http://www.regjeringen.no/nb/dep/fin.html;73;93;78;5;23;28;23;30;27;35
15235;08/26/2011 14:15:46;Finanstilsynet;http://www.finanstilsynet.no/;66;93;71;5;19;28;24;30;23;35
15615;09/13/2011 12:55:50;Finnmark fylkeskommune / Finnmárkku fylkkagielda;http://www.ffk.no/;63;93;68;4;14;28;22;30;27;35
15616;09/13/2011 14:23:05;Finnøy kommune;http://www.finnoy.kommune.no;41;93;44;3;17;28;9;30;15;35
16902;10/20/2011 22:54:31;Fiskeri- og kystdepartementet;http://www.regjeringen.no/nb/dep/fkd;65;93;70;5;23;28;23;30;19;35
14967;08/17/2011 12:37:31;Fiskeridirektoratet;http://www.fiskeridir.no/;63;93;68;4;18;28;28;30;17;35
15625;09/13/2011 18:25:54;Fitjar kommune;http://www.fitjar.kommune.no;45;93;48;3;12;28;13;30;20;35
15635;09/14/2011 09:20:21;Fjaler kommune;http://www.fjaler.kommune.no/;68;93;73;5;20;28;22;30;26;35
16887;10/20/2011 15:02:23;Fjell kommune;http://www.fjell.kommune.no;76;93;82;6;22;28;28;30;26;35
15636;09/14/2011 10:34:47;Flakstad kommune;http://www.flakstad.kommune.no/;32;93;34;2;7;28;12;30;13;35
15645;09/14/2011 12:21:46;Flatanger kommune;http://www.flatanger.kommune.no;55;93;59;4;17;28;16;30;22;35
15504;09/07/2011 13:59:13;Flekkefjord kommune;http://www.flekkefjord.kommune.no;44;93;47;3;9;28;19;30;16;35
15046;08/20/2011 14:05:36;Flesberg kommune;http://www.flesberg.kommune.no/;54;93;58;4;17;28;13;30;24;35
15656;09/14/2011 15:14:04;Flora kommune;http://www.flora.kommune.no;61;93;66;4;23;28;22;30;16;35
15495;09/07/2011 13:52:03;Flå kommune;http://www.flaa.kommune.no/;59;93;63;4;18;28;18;30;23;35
14999;08/18/2011 14:10:13;Folldal kommune;http://www.folldal.kommune.no/;28;93;30;1;6;28;13;30;9;35
15585;09/12/2011 14:24:32;Forbrukerombudet;http://www.forbrukerombudet.no/;66;93;71;5;17;28;23;30;26;35
15995;09/24/2011 14:30:40;Forbrukerrådet;http://www.forbrukerradet.no;55;93;59;4;18;28;22;30;15;35
15646;09/14/2011 12:57:06;Forbrukertvistutvalget;http://www.forbrukertvistutvalget.no/;47;93;51;3;14;28;15;30;18;35
15655;09/14/2011 14:12:17;Forliksrådet;http://www.forliksradet.no/;15;93;16;1;4;28;8;30;3;35
16903;10/20/2011 23:29:26;Fornyings-, administrasjons- og kirkedepartementet;http://www.regjeringen.no/nb/dep/fad;67;93;72;5;22;28;24;30;21;35
16886;10/20/2011 14:59:49;Forsand kommune;http://www.forsand.kommune.no;76;93;82;6;19;28;27;30;30;35
15657;09/14/2011 15:17:16;Forskning.no;http://www.forskning.no;59;93;63;4;12;28;18;30;29;35
15696;09/16/2011 08:50:33;Forskningsetiske komiteer;http://www.etikkom.no;70;93;75;5;21;28;29;30;20;35
15866;09/21/2011 14:51:00;Forsvaret;http://www.forsvaret.no;58;93;62;4;16;28;22;30;20;35
15916;09/23/2011 09:57:10;Forsvarets forskningsinstitutt;http://www.ffi.no;44;93;47;3;9;28;23;30;12;35
16905;10/21/2011 09:16:53;Forsvarsdepartementet;http://www.regjeringen.no/nb/dep/fd;68;93;73;5;26;28;24;30;18;35
15648;09/14/2011 13:52:08;Fosnes kommune;http://www.fosnes.kommune.no/;59;93;63;4;22;28;17;30;20;35
15658;09/14/2011 18:31:26;Fredrikstad kommune;http://www.fredrikstad.kommune.no/;59;93;63;4;17;28;15;30;27;35
15786;09/19/2011 09:45:56;Fridtjof Nansens Institutt;http://www.fni.no/;32;93;34;2;13;28;13;30;6;35
15789;09/19/2011 13:35:56;Fritt sykehusvalg;http://www.frittsykehusvalg.no/;69;93;74;5;20;28;21;30;28;35
15666;09/15/2011 08:55:54;Frogn kommune;http://www.frogn.kommune.no/;76;93;82;6;19;28;24;30;33;35
15675;09/15/2011 11:21:24;Froland kommune;http://www.froland.kommune.no/;57;93;61;4;17;28;19;30;21;35
15167;08/24/2011 15:21:31;Frosta kommune;http://www.frosta.kommune.no/;48;93;52;3;5;28;18;30;25;35
