"vurderingid";"created";"nettstednavn";"url";"poeng";"maxpoeng";"snittprosent";"stjerner";"tilgang_poeng";"tilgang_maxpoeng";"brukertilpass_poeng";"brukertilpass_maxpoeng";"nyttig_poeng";"nyttig_maxpoeng"
"17555";"03/07/2013 11:32:57";"Agdenes kommune";"http://www.agdenes.kommune.no/";"54";"100";"54";"3";"19";"36";"19";"29";"16";"35"
"17575";"03/08/2013 11:39:40";"Akershus fylkeskommune";"http://www.akershus.no/";"73";"100";"73";"5";"28";"36";"29";"29";"16";"35"
"17585";"03/09/2013 08:25:23";"Akershus universitetssykehus HF";"http://www.ahus.no";"43";"100";"43";"3";"10";"36";"18";"29";"15";"35"
"17595";"03/09/2013 11:47:35";"Alstahaug kommune";"http://www.alstahaug.kommune.no/";"71";"100";"71";"5";"25";"36";"28";"29";"18";"35"
"17605";"03/11/2013 07:08:02";"Alta kommune";"http://www.alta.kommune.no";"73";"100";"73";"5";"26";"36";"19";"29";"28";"35"
"17635";"03/12/2013 08:45:08";"Alvdal kommune";"http://www.alvdal.kommune.no";"43";"100";"43";"3";"18";"36";"16";"29";"9";"35"
"17695";"03/15/2013 09:55:44";"Andebu kommune";"http://www.andebu.kommune.no";"74";"100";"74";"5";"27";"36";"22";"29";"25";"35"
"17705";"03/15/2013 18:45:46";"Andøy kommune";"http://www.andoy.net/";"51";"100";"51";"3";"22";"36";"22";"29";"7";"35"
"18177";"04/20/2013 17:52:14";"Arbeids- og velferdsetaten";"http://www.nav.no/";"77";"100";"77";"5";"34";"36";"21";"29";"22";"35"
"17675";"03/14/2013 15:10:28";"Arbeidsdepartementet";"http://www.regjeringen.no/nb/dep/ad.html";"73";"100";"73";"5";"27";"36";"27";"29";"19";"35"
"18728";"05/26/2013 13:23:17";"Arbeidstilsynet";"http://www.arbeidstilsynet.no/";"57";"100";"57";"3";"21";"36";"14";"29";"22";"35"
"17725";"03/16/2013 13:59:24";"Aremark kommune";"http://www.aremark.kommune.no";"68";"100";"68";"4";"21";"36";"25";"29";"22";"35"
"17736";"03/16/2013 16:35:08";"Arendal kommune";"http://www.arendal.kommune.no/";"69";"100";"69";"4";"20";"36";"23";"29";"26";"35"
"19012";"06/20/2013 15:27:46";"Arkitektur- og designhøgskolen i Oslo";"http://www.aho.no/";"58";"100";"58";"4";"18";"36";"20";"29";"20";"35"
"18729";"05/26/2013 15:12:33";"Asker kommune";"http://www.asker.kommune.no/";"74";"100";"74";"5";"20";"36";"23";"29";"31";"35"
"17726";"03/16/2013 14:00:34";"Askim kommune";"http://www.askim.kommune.no";"81";"100";"81";"6";"25";"36";"25";"29";"31";"35"
"18071";"04/11/2013 12:28:26";"Askvoll kommune";"http://www.askvoll.kommune.no/";"64";"100";"64";"4";"25";"36";"16";"29";"23";"35"
"18730";"05/26/2013 16:47:57";"Askøy kommune";"http://www.askoy.kommune.no/";"52";"100";"52";"3";"11";"36";"15";"29";"26";"35"
"17745";"03/17/2013 09:39:06";"Audnedal kommune";"http://www.audnedal.kommune.no/";"42";"100";"42";"2";"12";"36";"15";"29";"15";"35"
"17755";"03/18/2013 10:32:32";"Aukra kommune";"http://www.aukra.kommune.no/";"33";"100";"33";"2";"11";"36";"12";"29";"10";"35"
"17765";"03/18/2013 14:04:50";"Aure kommune";"http://www.aure.kommune.no/";"88";"100";"88";"6";"34";"36";"21";"29";"33";"35"
"18045";"04/10/2013 10:37:03";"Aurland kommune";"http://www.aurland.kommune.no";"85";"100";"85";"6";"31";"36";"26";"29";"28";"35"
