"vurderingid";"created";"nettstednavn";"url";"poeng";"maxpoeng";"snittprosent";"stjerner";"hjelp_poeng";"hjelp_maxpoeng";"bruk_poeng";"bruk_maxpoeng";"virker_poeng";"virker_maxpoeng";"trygg_poeng";"trygg_maxpoeng";"troverdig_poeng";"troverdig_maxpoeng";"finnbarhet_poeng";"finnbarhet_maxpoeng"
"19104";"16.10.2014";"Ambulerende skjenkeløyve - Os kommune";"https://oskommune.no/Selvbetjening/skjema.aspx?skjemaid=177&MId1=200";"68";"105";"65";"4";"6";"8";"38";"48";"5";"17";"6";"7";"8";"14";"5";"11"
"19052";"26.09.2014";"Ambulerende skjenkeløyve - Siljan kommune";"http://www.siljan.kommune.no/Selvbetjeningsportalen1/Tjenester/Naring/Soknad-om-skjenkebevilling-for-en-bestemt-anledning-ambulerende/?eDocumentTemplateId=8c8643a2-54cf-4ee4-a4f8-769bcf35cc64";"50";"105";"48";"2";"3";"8";"28";"48";"3";"17";"1";"7";"8";"14";"7";"11"
"19106";"16.10.2014";"Ambulerende skjenkeløyve - Tromsø kommune";"https://skjema.kf.no/more/wizard/wizard.jsp?wizardid=810&ouref=1902";"56";"105";"53";"3";"3";"8";"31";"48";"5";"17";"6";"7";"6";"14";"5";"11"
"19062";"01.10.2014";"Anmeldelse - Politiet";"https://www.politi.no/anmeldelse/tyveri-fra-person";"52";"105";"50";"2";"1";"8";"29";"48";"7";"17";"5";"7";"3";"14";"7";"11"
"19079";"08.10.2014";"Barnehageplass - Øystre slidre kommune";"https://www.oystre-slidre.kommune.no/Selvbetjening/skjema.aspx?skjemaid=174&MId1=1109";"61";"105";"58";"3";"6";"8";"28";"48";"5";"17";"5";"7";"8";"14";"9";"11"
"19045";"26.09.2014";"Barnehageplass - Bergen kommune";"https://www.bergen.kommune.no/tjenestetilbud/barn-og-familie/barnehage/barnehageplass/barnehageplass-barnehageopptak";"61";"105";"58";"3";"3";"8";"24";"48";"11";"17";"5";"7";"9";"14";"9";"11"
"19054";"26.09.2014";"Barnehageplass - Eidskog kommune ";"https://www.eidskog.kommune.no/Selvbetjening/Skjema.aspx?skjemaid=242&MId1=1792";"70";"105";"67";"4";"4";"8";"37";"48";"10";"17";"7";"7";"4";"14";"8";"11"
"19057";"26.09.2014";"Barnehageplass - Frogn kommune";"https://www.frogn.kommune.no/minside/innhold/skjema/oppvekst-familie/esok-barnehage1/?eDocumentTemplateID=01f59ec3-0536-42fb-aa60-258338b80bfa";"59";"105";"56";"3";"4";"8";"27";"48";"7";"17";"4";"7";"8";"14";"9";"11"
"19058";"26.09.2014";"Barnehageplass - Fusa kommune";"https://www.fusa.kommune.no/tenester/barn-og-familie/barnehage/";"70";"105";"67";"4";"6";"8";"35";"48";"5";"17";"7";"7";"9";"14";"8";"11"
"19053";"26.09.2014";"Barnehageplass - Grong kommune";"https://skjema.kf.no/more/wizard/wizard.jsp?wizardid=101&ouref=1742";"55";"105";"52";"2";"5";"8";"34";"48";"2";"17";"5";"7";"5";"14";"4";"11"
"19047";"26.09.2014";"Barnehageplass - Sør-Varanger kommune";"http://www.svk.no/barnehageplass.5318590-17878.html";"29";"105";"28";"1";"1";"8";"12";"48";"5";"17";"1";"7";"4";"14";"6";"11"
"19049";"26.09.2014";"Barnehageplass - Siljan kommune";"http://www.siljan.kommune.no/Selvbetjeningsportalen1/Tjenester/Barn-og-familie/Soknad-om-plass-i-barnehage/?eDocumentTemplateId=06d7f5f2-edd1-439e-bc06-00e2b620ff3d";"62";"105";"59";"3";"5";"8";"37";"48";"5";"17";"1";"7";"7";"14";"7";"11"
"19046";"26.09.2014";"Barnehageplass - Sola kommune";"https://kommune24-7.no/1124/bruker?retur=%2f1124%2f1124_701660o&shortname=1124_701660o";"61";"105";"58";"3";"5";"8";"34";"48";"6";"17";"3";"7";"5";"14";"8";"11"
"19116";"20.10.2014";"Bestill frikort - Skatteetaten";"http://www.skatteetaten.no/no/Person/Skattekort-og-forskuddsskatt/Frikort/Bestill-frikort/";"81";"105";"77";"5";"6";"8";"40";"48";"7";"17";"7";"7";"10";"14";"11";"11"
"19131";"27.10.2014";"Bestille time for oppkjøring - Statens vegvesen";"http://www.vegvesen.no/dinside?krevSSL=ja&startform=AppointmentMenu";"96";"105";"91";"6";"8";"8";"44";"48";"17";"17";"6";"7";"10";"14";"11";"11"
"19134";"29.10.2014";"Bestilling av utskrifter, attester og kopier - Brønnøysundsregistrene";"https://w2.brreg.no/login/index.jsp?application=ecomsys";"67";"105";"64";"4";"7";"8";"30";"48";"4";"17";"6";"7";"11";"14";"9";"11"
"19048";"26.09.2014";"Betale Fiskeravgift – Dir for naturforvaltning";"http://fiskeravgift.miljodirektoratet.no/";"77";"105";"73";"5";"6";"8";"33";"48";"14";"17";"6";"7";"8";"14";"10";"11"
"19119";"21.10.2014";"Betalingsutsettelse - Lånekassen";"http://www.lanekassen.no/nb-NO/Tilbakebetaling/Betalingsutsettelse/";"87";"105";"83";"6";"4";"8";"44";"48";"12";"17";"7";"7";"12";"14";"8";"11"
"19165";"02.11.2014";"Byggsøk - Direktoratet for Byggkvalitet";"http://www.dibk.no/byggsok/";"69";"105";"66";"4";"7";"8";"38";"48";"5";"17";"6";"7";"6";"14";"7";"11"
"19186";"05.11.2014";"Doffin - Difi";"https://www.doffin.no/";"47";"105";"45";"2";"6";"8";"23";"48";"5";"17";"5";"7";"2";"14";"6";"11"
"19184";"05.11.2014";"Elektronisk meldekort - NAV";"http://";"79";"105";"75";"5";"7";"8";"41";"48";"7";"17";"6";"7";"10";"14";"8";"11"
"19179";"05.11.2014";"Endre skattekort/forskuddsskatt - Skatteetaten";"http://www.skatteetaten.no/no/Skjemaer/Soknad-om-endring-av-eller-krav-om-skattekortforskuddsskatt/";"61";"105";"58";"3";"7";"8";"19";"48";"7";"17";"7";"7";"13";"14";"8";"11"
"19107";"17.10.2014";"Energimerking av bolig - NVE";"https://ems2.energimerking.no/FELLES/INNLEDNING.ASPX";"57";"105";"54";"3";"6";"8";"28";"48";"6";"17";"3";"7";"6";"14";"8";"11"
"19188";"06.11.2014";"Flyttemelding - Skatteetaten";"http://www.skatteetaten.no/no/Skjemaer/Flyttemelding-til-folkeregisteret/";"69";"105";"66";"4";"6";"8";"36";"48";"5";"17";"6";"7";"8";"14";"8";"11"
"19083";"11.10.2014";"Klage på p-avgift - Bergen kommune";"https://www.bergen.kommune.no/tjenestetilbud/trafikk-reiser-og-samferdsel/veg-og-vegtrafikk/parkering/klage-pa-parkeringsgebyr";"63";"105";"60";"3";"3";"8";"34";"48";"6";"17";"3";"7";"11";"14";"6";"11"
"19085";"13.10.2014";"Klage på p-avgift - Drammen kommune";"https://skjema.kf.no/more/wizard/wizard.jsp?wizardid=664&ouref=0602";"64";"105";"61";"3";"3";"8";"30";"48";"7";"17";"6";"7";"10";"14";"8";"11"
"19086";"13.10.2014";"Klage på p-avgift - Molde kommune";"https://skjema.kf.no/more/wizard/wizard.jsp?wizardid=874&ouref=1502. ";"67";"105";"64";"4";"6";"8";"31";"48";"5";"17";"6";"7";"9";"14";"10";"11"
"19087";"14.10.2014";"Klage på p-avgift - Os kommune";"https://oskommune.no/sd/skjema/OS0094/";"66";"105";"63";"4";"6";"8";"34";"48";"4";"17";"6";"7";"8";"14";"8";"11"
"19147";"30.10.2014";"Meld inn opplysninger for beregning av likningsverdi på boligeiendommer - Skatteetaten";"http://www.skatteetaten.no/no/Skjemaer/Opplysninger-for-beregning-av-likningsverdi-pa-boligeiendommer/";"76";"105";"72";"5";"6";"8";"41";"48";"6";"17";"6";"7";"7";"14";"10";"11"
"19092";"15.10.2014";"Opptak og utmelding Musikk- og kulturskole - Ålesund kommune";"https://noaalesund.speedadmin.dk/Public/ElevOprettelse.aspx";"52";"105";"50";"2";"6";"8";"23";"48";"4";"17";"4";"7";"8";"14";"7";"11"
"19090";"14.10.2014";"Opptak og utmelding Musikk- og kulturskole - Drangedal kommune";"https://skjema.kf.no/more/wizard/wizard.jsp?wizardid=495&ouref=0817";"67";"105";"64";"4";"8";"8";"36";"48";"3";"17";"5";"7";"9";"14";"6";"11"
"19125";"25.10.2014";"Opptak og utmelding Musikk- og kulturskole - Oslo kommune";"https://kommune24-7.no/03011/$PendingForm";"61";"105";"58";"3";"4";"8";"33";"48";"8";"17";"2";"7";"5";"14";"9";"11"
"19051";"26.09.2014";"Opptak og utmelding Musikk- og kulturskole - Siljan kommune";"http://www.siljan.kommune.no/Selvbetjeningsportalen1/Tjenester/Kultur-og-fritid/Soknad-om-inntak-ved-kulturskole/?eDocumentTemplateId=633d64a2-0699-404b-9d52-998415af1a89";"62";"105";"59";"3";"5";"8";"38";"48";"5";"17";"1";"7";"5";"14";"8";"11"
"19178";"05.11.2014";"Registrere selskap – Samordnet registermelding - Altinn";"https://www.altinn.no/Skjema-og-tenester/Etater/Bronnoysundregistrene/Samordna-registermelding/";"45";"105";"43";"2";"2";"8";"18";"48";"4";"17";"6";"7";"6";"14";"9";"11"
"19175";"04.11.2014";"Registrering som arbeidssøker - NAV";"http://";"62";"105";"59";"3";"7";"8";"28";"48";"3";"17";"6";"7";"9";"14";"9";"11"
"19133";"28.10.2014";"Registreringsordningen for EU/EØS-borgere - UDI";"https://selfservice.preprod.udi.no/";"73";"105";"70";"5";"5";"8";"36";"48";"6";"17";"5";"7";"11";"14";"10";"11"
"19127";"26.10.2014";"Søke bostøtte - Husbanken";"http://www.husbanken.no/bostotte/slik-soker-du/";"80";"105";"76";"5";"4";"8";"41";"48";"13";"17";"4";"7";"9";"14";"9";"11"
"19070";"01.10.2014";"Søke omsorgstjeneste - Alstahaug kommune";"https://skjema.kf.no/more/wizard/wizard.jsp?wizardid=2988&ouref=1820";"69";"105";"66";"4";"4";"8";"34";"48";"4";"17";"6";"7";"11";"14";"10";"11"
"19077";"07.10.2014";"Søke omsorgstjeneste - Askim kommune";"https://kommune24-7.no/0124/701195";"66";"105";"63";"4";"7";"8";"31";"48";"7";"17";"3";"7";"9";"14";"9";"11"
"19084";"12.10.2014";"Søke omsorgstjeneste - Bergen kommune";"https://www.bergen.kommune.no/tjenestetilbud/omsorg-trygd-og-sosiale-tjenester/omsorgstjenester/egenbetaling/soknad-om-pleieog-omsorgstjenester";"70";"105";"67";"4";"5";"8";"36";"48";"6";"17";"3";"7";"12";"14";"8";"11"
"19093";"15.10.2014";"Søke omsorgstjeneste - Vardø kommune";"https://skjema.kf.no/more/wizard/wizard.jsp?wizardid=238&ouref=2002";"59";"105";"56";"3";"4";"8";"28";"48";"5";"17";"6";"7";"8";"14";"8";"11"
"19124";"23.10.2014";"Søke stilling - Øystre Slidre kommune";"https://www.oystre-slidre.kommune.no/Selvbetjening/InnloggetMedForLavtSikkerhetsnivaa.aspx?skjemaid=216&MId1=1109&returnurl=%252fSelvbetjening%252fskjema.aspx%253fskjemaid%253d216%2526MId1%253d1109";"56";"105";"53";"3";"6";"8";"35";"48";"2";"17";"3";"7";"4";"14";"6";"11"
"19097";"15.10.2014";"Søke stilling - Alta kommune";"http://www.alta.kommune.no/ledige-stillinger.72048.no.html";"64";"105";"61";"3";"4";"8";"28";"48";"7";"17";"6";"7";"8";"14";"11";"11"
"19115";"19.10.2014";"Søke stilling - Bjugn kommune";"https://skjema.fosen.net/more/wizard/wizard.jsp?wizardid=485";"49";"105";"47";"2";"3";"8";"27";"48";"6";"17";"2";"7";"6";"14";"5";"11"
"19120";"22.10.2014";"Søke stilling - Bodø kommune";"http://bodo.kommune.no/ledige-stillinger/";"42";"105";"40";"1";"4";"8";"21";"48";"5";"17";"4";"7";"1";"14";"7";"11"
"19121";"22.10.2014";"Søke stilling - Hasvik kommune";"https://kommune24-7.no/2015/703101";"73";"105";"70";"5";"5";"8";"40";"48";"8";"17";"3";"7";"8";"14";"9";"11"
"19123";"23.10.2014";"Søke stilling - Trondheim kommune";"http://www.trondheim.kommune.no/stillingledig/";"70";"105";"67";"4";"8";"8";"33";"48";"10";"17";"3";"7";"7";"14";"9";"11"
"19129";"27.10.2014";"Søknad om førerkort - Statens Vegvesen";"http://www.vegvesen.no/Forerkort/Tjenester/Soknad";"84";"105";"80";"6";"7";"8";"40";"48";"15";"17";"6";"7";"7";"14";"9";"11"
"19144";"30.10.2014";"Søknad om politiattest - Politiet";"https://www.politi.no/tjenester/politiattest/";"71";"105";"68";"4";"2";"8";"43";"48";"4";"17";"6";"7";"6";"14";"10";"11"
"19088";"14.10.2014";"Søknad om visum - UDI";"https://selfservice.preprod.udi.no/";"67";"105";"64";"4";"5";"8";"32";"48";"9";"17";"2";"7";"9";"14";"10";"11"
"19126";"26.10.2014";"Søknad til videregående skole - Vigo";"https://www.vigo.no/vigo/servlet/vigo?cmd=VgsFnrLogin";"41";"105";"39";"1";"3";"8";"21";"48";"4";"17";"2";"7";"6";"14";"5";"11"
"19154";"31.10.2014";"Studiestøtte - Lånekassen";"http://www.lanekassen.no/Stipend-og-lan/soknader/stipend-og-lan/hoyere-utdanning-i-norge-norden-og-utlandet-andre-utdanning-soknad-om-stipend-og-lan/";"83";"105";"79";"5";"5";"8";"46";"48";"8";"17";"6";"7";"10";"14";"8";"11"
