vurderingid,navn,url,omraade,nr,krav,poeng,maxscore,kommentar
14946,Agdenes kommune,http://www.agdenes.kommune.no/,1. Tilgjengelegheit,1.1,Nettstaden brukar alternativ bilettekst (maks 2p),2,2,"Testsider: Startsiden &amp; http://www.agdenes.kommune.no/ordfoereren.138141.no.html.<br/>Resultat: Tilfredsstillende. Enkelte bilder mangler riktignok beskrivende alt-tekst, men dette er alle hovedsak rene pynt-bilder. "
14946,Agdenes kommune,http://www.agdenes.kommune.no/,1. Tilgjengelegheit,1.2,Lenkjer skil seg ut frå vanleg tekst (maks 3p),0,3,Testside: http://www.agdenes.kommune.no/kultur-fritid-bibliotek.138149.no.html.<br/>Resultat: I den løpende teksten brukes farge som viktigste form for lenkemarkering. Ikke godkjent
14946,Agdenes kommune,http://www.agdenes.kommune.no/,1. Tilgjengelegheit,1.3,Skriftstorleiken kan endrast (maks 2p),1,2,"Testsider: http://www.agdenes.kommune.no/barnehage-skole-sfo.138150.no.html + http://www.agdenes.kommune.no/barne-og-familievern.143998.no.html.<br/><br/>Resultat: Har skaleringsfunksjon, men ved bruk lagres ikke den valgte skriftstørrelsen og brukeren må dermed sette størrelsen på nytt ved besøk på ny side."
14946,Agdenes kommune,http://www.agdenes.kommune.no/,1. Tilgjengelegheit,1.4,Datatabellar er tilgjengelege (maks 3p),0,3,Testtabell: Betalingssatser SFO -  http://www.agdenes.kommune.no/skolefritidsordning-sfo.4612670-138147.html.<br/>Resultat: Tabellkodingen tilfredsstiller ingen av kravene. Ikke godkjent. 
14946,Agdenes kommune,http://www.agdenes.kommune.no/,1. Tilgjengelegheit,1.5,Rammer blir brukte på ein måte som reduserar ulempene (maks 2p),2,2,Fant ingen bruk av rammer eller Iframe på testede sider. 
14946,Agdenes kommune,http://www.agdenes.kommune.no/,1. Tilgjengelegheit,1.6,Meny og søk fungerer utan ekstra utvidingar (maks 2p),2,2,Både meny og søkefunksjon fungerer tilfredsstillende uten javascript/Flash.
14946,Agdenes kommune,http://www.agdenes.kommune.no/,1. Tilgjengelegheit,1.7,Kontrasten på nettstaden er tilstrekkeleg (maks 2p),2,2,"Nettstedet har svært god kontrast, samt høykontrastvisning som mulig brukervalg. "
14946,Agdenes kommune,http://www.agdenes.kommune.no/,1. Tilgjengelegheit,1.8,Statisk innhald kan hoppast over (maks 2p),0,2,"Nettstaden har hopp-til-lenkje, men denne er skjult på ein måte som ikkje er godkjent. Sjå kriteriesettet for meir informasjon rundt skjuling av slike lenkjer. Lenkja skal også kome til syne når ho får fokus (dersom ho er skjult i utgangspunktet)."
14946,Agdenes kommune,http://www.agdenes.kommune.no/,1. Tilgjengelegheit,1.9,Nettstaden skil mellom form og innhald (maks 3p),3,3,--
14946,Agdenes kommune,http://www.agdenes.kommune.no/,1. Tilgjengelegheit,1.10,Nettstaden sitt språk er oppgjeve (maks 3p),2,3,Hovedspråk OK. Fant kun innhold på norsk. 
14946,Agdenes kommune,http://www.agdenes.kommune.no/,1. Tilgjengelegheit,1.11,HTML er korrekt koda på nettstaden (maks 4p),0,4,"Html-validering: Ujevn. Flere sider har få/null feil, mens andre har flere enn 5 feil. Siden &quot;Kommunikasjon&quot; - http://www.agdenes.kommune.no/kommunikasjon.148148.no.html - har 8 feil.    <br/>Semantisk html: Testside = http://www.agdenes.kommune.no/barne-og-familievern.143998.no.html. Resultat: H-struktur ikke benyttet. Mellomoverskrifter er feil kodet. Se f.eks. &lt;p&gt;&lt;span style=&quot;font-size: larger&quot;&gt;&lt;b&gt;&lt;font size=&quot;4&quot;&gt;Hjelpetiltak&lt;/font&gt;&lt;/b&gt;&lt;/span&gt;&lt;/p&gt;.  Ikke godkjent."
14946,Agdenes kommune,http://www.agdenes.kommune.no/,2. Brukertilpasning,2.1,Nettstaden er lett å laste (maks 3p),2,3,Test: Startsiden = 277.2Kb.<br/>Mobilversjon: Fant ingen. <br/>Mobil: test i W3C mobileOK Checker viste 60%. Godkjent. 
14946,Agdenes kommune,http://www.agdenes.kommune.no/,2. Brukertilpasning,2.2,Innhaldet er merkt med dato (maks 3p),3,3,Godkjent. 
14946,Agdenes kommune,http://www.agdenes.kommune.no/,2. Brukertilpasning,2.3,Nettstaden har søkjefunksjon (maks 3p),2,3,Søkefeltets størrelse tilfredsstiller ikke kravet om plass til 20 tegn. OBS: En side mangler søkefelt - org.kartsiden. Bør rettes opp. 
14946,Agdenes kommune,http://www.agdenes.kommune.no/,2. Brukertilpasning,2.4,Søkjeresultat blir presentert på ein god måte (maks 4p),3,4,Testsøk: Barnehage. 
14946,Agdenes kommune,http://www.agdenes.kommune.no/,2. Brukertilpasning,2.5,Innhaldet er presentert på andre språk enn norsk (maks 3p),0,3,Fant verken kontaktinformasjon eller annen informasjon på andre språk. 
14946,Agdenes kommune,http://www.agdenes.kommune.no/,2. Brukertilpasning,2.6,Hovudmenyen er konsistent på heile nettstaden (maks 2p),0,2,Kun menypunktet &quot;Tjenester&quot; er globalt anvendt. 
14946,Agdenes kommune,http://www.agdenes.kommune.no/,2. Brukertilpasning,2.7,Nettstaden har markert kvar ein er i nettstadsstrukturen (maks 2p),2,2,Godkjent. 
14946,Agdenes kommune,http://www.agdenes.kommune.no/,2. Brukertilpasning,2.8,Nettstaden har lagt til rette for utskrift av innhaldet (maks 2p),2,2,Godkjent. 
14946,Agdenes kommune,http://www.agdenes.kommune.no/,2. Brukertilpasning,2.9,Nettstaden har ein oversikt over innhaldet (maks 1p),0,1,Fant verken nettstedskart eller annen likende navigasjonsstøtte.
14946,Agdenes kommune,http://www.agdenes.kommune.no/,2. Brukertilpasning,2.10,Nettstaden har lagt inn relevante metadata (maks 2p),2,2,Testsider: Startsiden + http://www.agdenes.kommune.no/barnehage-skole-sfo.138150.no.html. <br/>Resultat: Godkjent. 
14946,Agdenes kommune,http://www.agdenes.kommune.no/,2. Brukertilpasning,2.11,Nettstaden har beskrivande sidetitlar og adresser (maks 3p),3,3,Godkjent.
14946,Agdenes kommune,http://www.agdenes.kommune.no/,2. Brukertilpasning,2.12,Nedlastbare dokument er publisert som PDF eller ODF (maks 2p),0,2,Testskjema: SØKNAD OM LEDSAGERBEVIS FOR FUNKSJONSHEMMEDE.<br/>Resultat: Skjemaet er ikke publisert i godkjent format dvs skrivbar/aktiv PDF eller i ODF/ODT.   
14946,Agdenes kommune,http://www.agdenes.kommune.no/,3. Nyttig Innhald,3.1,Nettstaden legg til rette for forenkla informasjonsflyt (maks 4p),2,4,Har RSS. 
14946,Agdenes kommune,http://www.agdenes.kommune.no/,3. Nyttig Innhald,3.2,Nettstaden har strukturert informasjon om kjerneoppgåver (maks 5p),4,5,Testside: Bostøtte - http://www.agdenes.kommune.no/index.php?id=4644488. 
14946,Agdenes kommune,http://www.agdenes.kommune.no/,3. Nyttig Innhald,3.3,Nettstaden har sentral kontaktinformasjon (maks 2p),2,2,Testside: http://www.agdenes.kommune.no/kontakt-oss.143314.no.html 
14946,Agdenes kommune,http://www.agdenes.kommune.no/,3. Nyttig Innhald,3.4,Nettstaden har sentral eigeninformasjon (maks 3p),2,3,Testside: http://www.agdenes.kommune.no/organisering.138159.no.html. 
14946,Agdenes kommune,http://www.agdenes.kommune.no/,3. Nyttig Innhald,3.5,Nettstaden legg til rette for innsyn i postjournal (maks 3p),2,3,Testside: http://www.agdenes.kommune.no/postliste-for-15-08-2011.4948409-138164.html 
14946,Agdenes kommune,http://www.agdenes.kommune.no/,3. Nyttig Innhald,3.6,Nettstaden legg til rette for innsyn i saker og møte (maks 3p),2,3,Testside: http://www.agdenes.kommune.no/offentlig-mote-formannskapet-28-06-2011.138169.12463oe5a792.eom.html .<br/>Resultat: Godkjent. 
14946,Agdenes kommune,http://www.agdenes.kommune.no/,3. Nyttig Innhald,3.7,Nettstaden legg til rette for elektroniske høyringar (maks 3p),0,3,Fant ingen høringer på testtidspunket. (16/8)
