vurderingid,created,navn,url,omraade,nr,krav,poeng,maxscore,kommentar
19342,30.03.2016,Alderspensjon - NAV,https://www.nav.no/no/Person/Pensjon/Hva+kan+jeg+f%C3%A5+i+pensjon,1. Tjenesten er enkel å finne,1.1,Nettsted og tjeneste er enkle å finne gjennom søk,60,60,"Ekstern søk: Søk på NAV og &quot;pensjon fra NAV&quot; ga relevante treff både med Google og Bing.  <br/>Internsøk - forekomst: Har søkefelt plassert etter horisontal meny, ok. <br/>Internsøk etter tjeneste: På testtidspunktet gav søkeord &quot;pensjon&quot; ikke en optimal treffliste med de to første treffene som sendte oss rett til innlogging. Lenke til kjernesiden kom først som nr. 3. Godkjent, men de to første treffene svekker inntrykket av brukertilpassing av treffene. <br/>"
19342,30.03.2016,Alderspensjon - NAV,https://www.nav.no/no/Person/Pensjon/Hva+kan+jeg+f%C3%A5+i+pensjon,1. Tjenesten er enkel å finne,1.2,Innhold er enkelt å identifisere,40,40,"Overskrifter: Ja, både nettsted og tjeneste har beskrivende og korrekt kodede overskrifter. <br/>Adresser/URL: Nettstedets URLer tilfredsstiller kravene - se f.eks. https://www.nav.no/no/Person/Arbeid/Arbeidsledig+og+jobbsoker og https://www.nav.no/no/Person/Pensjon/Alderspensjon.  <br/><br/>Titletagger: Testede sider på nettstedet har godkjent title - se f.eks.<br/>https://www.nav.no/no/Person/Pensjon/Alderspensjon/alderspensjon-for-deg-f%C3%B8dt-f%C3%B8r-1954: Alderspensjon - www.nav.no<br/>https://www.nav.no/no/Person/Pensjon/Alderspensjon/alderspensjon-for-deg-f%C3%B8dt-mellom-1954-og-1962: Alderspensjon for deg født mellom 1954 og 1962 - www.nav.no <br/><br/>Inne i tjenesten inngår ikke avsenders navn i titttel-benevnelsen - &quot;Din pensjon&quot;. <br/>Vurdering: Etter innlogging har NAV annen avsenderinfo som vi vurderer som tilstrekkelig, men &quot;NAV&quot; kan med fordel legges inn som en del av title-taggen også her.  "
19342,30.03.2016,Alderspensjon - NAV,https://www.nav.no/no/Person/Pensjon/Hva+kan+jeg+f%C3%A5+i+pensjon,2. Nettsted og tjeneste er troverdig,2.1,"Identitet, formål og oppgaver kommer klart fram",35,35,"Identifisere nettstedseier og tjenesteeier: Dette er enkelt på nettsted gjennom logo, og info i footer. Det sammen brukergrensesnittet følger med etter innlogging. Godkjent. <br/>Info om formål/oppgaver: Menypunktet &quot;Nav og samfunn&quot; presenterer formål og oppgaver. Godkjent. "
19342,30.03.2016,Alderspensjon - NAV,https://www.nav.no/no/Person/Pensjon/Hva+kan+jeg+f%C3%A5+i+pensjon,2. Nettsted og tjeneste er troverdig,2.2,Tilpasset plikt- og rettighetsinformasjon er tilgjengelig for brukerne av tjenesten,28,28,"Lenker til lover/forskrifter: Finnes på nettsted - se f.eks. https://www.nav.no/no/Person/Pensjon/Alderspensjon/alderspensjon-for-deg-f%C3%B8dt-f%C3%B8r-1954. Inne i tjenesten(Pensjon) må en returnere til nettsted (eks gjennom footer) for å få tilgang til lov og forskrift. Vi godkjenner dette.  <br/> <br/>Tilpassset plikt/rettighetsinfo: ja, eks i innledning. "
19342,30.03.2016,Alderspensjon - NAV,https://www.nav.no/no/Person/Pensjon/Hva+kan+jeg+f%C3%A5+i+pensjon,2. Nettsted og tjeneste er troverdig,2.3,Brukerne av tjenesten finner informasjon om saksgang og krav til dokumentasjon,25,35,"Alternative løsninger: Ja, har info om bruk av papirblankett. Se f.eks. https://www.nav.no/no/Person/Pensjon/Alderspensjon/alderspensjon-for-deg-f%C3%B8dt-f%C3%B8r-1954#chapter-6. <br/><br/>Info om saksgang: Her noe info om dette f.eks. om saksbehandlingstider og får mer info i forbindelse med innsending. Godkjent, men kunne vært noe mer utfyllende før innsending. <br/><br/>Info om opplysninger som søker bør ha tilgjengelig: Det framstår som uklart hva bruker/søker bør ha funnet fram på forhånd. Ikke godkjent. <br/><br/>Klage: Det finnes info(og skjema) om dette, men vi måtte lete litt for å finne fram."
19342,30.03.2016,Alderspensjon - NAV,https://www.nav.no/no/Person/Pensjon/Hva+kan+jeg+f%C3%A5+i+pensjon,2. Nettsted og tjeneste er troverdig,2.4,Brukerne av tjenesten får bekreftelse på innsending av opplysninger,15,30,Bekreftelse med relativt utfyllende info og tilgang til innsendte data kommer umiddelbart. <br/><br/>Får tilgang til innsendte skjema etter innsending samt info om saksgang. Ikke info om innsynsrett.  
19342,30.03.2016,Alderspensjon - NAV,https://www.nav.no/no/Person/Pensjon/Hva+kan+jeg+f%C3%A5+i+pensjon,2. Nettsted og tjeneste er troverdig,2.5,Brukerne har mulighet til å gi tilbakemelding,25,25,"Tilbakemeldingfunksjonalitet: Ja, se &quot;Feil og mangler hos NAV&quot;. <br/>Sosiale medier: Ja, har egen twitterkonto knyttet til pensjon - se https://twitter.com/Alderspensjon. "
19342,30.03.2016,Alderspensjon - NAV,https://www.nav.no/no/Person/Pensjon/Hva+kan+jeg+f%C3%A5+i+pensjon,2. Nettsted og tjeneste er troverdig,2.6,Nettstedet legger til rette for innsyn i postjournal,0,25,Vi fant ingen enkel inngang til Postjournal  - se f.eks &quot;Nav og samfunn&quot; https://www.nav.no/no/NAV+og+samfunn. Vi kan heller ikke se at NAV er med i OEP.   Ikke godkjent. 
19342,30.03.2016,Alderspensjon - NAV,https://www.nav.no/no/Person/Pensjon/Hva+kan+jeg+f%C3%A5+i+pensjon,2. Nettsted og tjeneste er troverdig,2.7,Nettstedet legger til rette for innsyn i saker og møter,30,30,Nav er ikke berørt av kravet om møteinnsyn. Vurderes som ikke relevant. 
19342,30.03.2016,Alderspensjon - NAV,https://www.nav.no/no/Person/Pensjon/Hva+kan+jeg+f%C3%A5+i+pensjon,2. Nettsted og tjeneste er troverdig,2.8,Nettstedet legger til rette for elektroniske høringer,25,25,Vurderes som ikke relevant. Det er Arbeids- og sosialdepatementet som er ansvarlig for høringer innenfor NAVs virkeområde. 
19342,30.03.2016,Alderspensjon - NAV,https://www.nav.no/no/Person/Pensjon/Hva+kan+jeg+f%C3%A5+i+pensjon,3. Nettsted og tjeneste er trygg å bruke,3.1,Hensynet til personvern er ivaretatt,25,25,Cookies og personvern: Tilfredsstillende info er tilgjengelig både før og etter innlogging. <br/>
19342,30.03.2016,Alderspensjon - NAV,https://www.nav.no/no/Person/Pensjon/Hva+kan+jeg+f%C3%A5+i+pensjon,3. Nettsted og tjeneste er trygg å bruke,3.2,Tjenester med sensitiv informasjon er kryptert,24,32,"Testresultat i Qualys SSL Server Test: Godkjent - karkater(grade) A, men mangler EV- utvidet validering. "
19342,30.03.2016,Alderspensjon - NAV,https://www.nav.no/no/Person/Pensjon/Hva+kan+jeg+f%C3%A5+i+pensjon,4. Nettsted og tjeneste virker (fungerer godt),4.1,Nettsted og tjeneste er tilgjengelig over både IPv4 og IPv6,0,20,Nettsted - nav.no: Se https://ip6.nl/#!nav.no - ikke godkjent.<br/>Tjeneste - tjenester.nav.no: Se https://ip6.nl/#!tjenester.nav.no - ikke tilstrekkelig klargjort. 
19342,30.03.2016,Alderspensjon - NAV,https://www.nav.no/no/Person/Pensjon/Hva+kan+jeg+f%C3%A5+i+pensjon,4. Nettsted og tjeneste virker (fungerer godt),4.2,Nettsted og tjeneste er optimalisert for god ytelse og rask nedlasting,10,30,"Nettsted - størrelse: Startside = 549Kb, Alderspensjon = 502Kb, Din pensjon = 503Kb. Ikke godkjent. <br/>Nettsted - ytelse:  Startside karakter (grade) = B, Alderspensjon = karakter(grade) B, Din pensjon karakter(garde B) = B. Godkjent. <br/>Tjenesten: Sjekket i testmiljø og fikk karakter(grade) D. Ikke godkjent. <br/><br/>"
