id,tittel,Mediatekst,tjenesteeier_id,emneord_id
82954,Permisjon fra undervisning (KF-255-FK),,,
82903,Bytte av skule,,,
82825,Søknad om følgjekort,,,
82824,Søknad om parkeringskort,,,
82823,Stas og fjas,,,
82822,Innmelding Solund treningssenter,,,
82682,Rådgjevande folkerøysting: Bestilling av heimerøysting,,,
82681,Underskuddsgaranti,,,
82680,Festivalstøtte,,,
82679,Jubileumstilskudd,,,
82678,Innmelding av jubileumsarrangement,,,
82677,samling av script og eksempler,,,
82676,"Nøkkelbrikke til hallar, gymsalar og sykkelhotell",,,
82600,Søknad om leige av idrettshall og samfunnhusdel/aula i skulane,,,
82599,Tilskot-Utval kultur og folkehelse,,,
82598,Påmelding til TIT foreldreveiledningsgruppe (10-18 år),,,
82597,Påmelding til TIK foreldreveiledningsgruppe (0-12 år),,,
82562,Meldeskjema - For nyansatt (KF-813),,3608,
82549,Planstatus (Infoland NN),,,
82548,Tilknytning til vann og avløp (Infoland),,,
82547,Ubetalte gebyrer og eiendomskatt (Infoland),,,
82546,Kommunale avgifter (Infoland),,,
82545,Ferdigattest/midlertidig brukstillatelse (Infoland),,,
82498,Innsyn i byggesaksdokumentasjon (KF-293-FK),,4169,
82497,Innsynsbegjæring (KF-390-FK),,4169,
82496,Renovasjon - Søknad om dispensasjon for fritak/endring av abonnement (KF-502-FK),,4169,
82495,Kulturstipend (KF-519-FK),,4169,
82494,Krav om erstatning for tap av inntekt for utøvelse av politiske verv (KF-385-FK),,4169,
82493,Redusert foreldrebetaling i SFO - søknad (KF-630-3021),,73,
82492,Samtykke til utveksling av elevopplysninger i ressursteam (KF-812-FK),,3650,
82491,Piper/ildsted - Søknad om gebyrfritak etter fjerning (KF-811-FK),,3449,
82490,Dispensasjon fra utdanningskravet i stilling som styrer og pedagogisk leder - søknad (KF-805),,3323,
82489,Leie av kommunale idrettsanlegg (1560),,4058,
82488,Redusert foreldrebetaling i barnehage - søknad (KF-630B-3021),,73,
82487,Parkeringstillatelse for forflytningshemmede (KF-663),,3785,
82486,Søknad om kulturmidler,,250,
82485,Høring - send inn ditt innspill til arealplanen,,3764,
82484,Høring - send inn ditt innspill til planprogrammet,,3764,
82483,Søknad om deltakelse i jobbsjansen for innvandrerkvinner,,3764,
82482,Søknad refusjon av matabonnement – 2022,,3317,
82481,Skadeskjema - andre brukarar,,3317,
82480,Erklæring om helsetilstand,,,
82479,Tumleplassen - spørreskjema berørte naboer,,3806,
82478,Tumleplassen - spørreskjema interessegrupper,,3806,
82477,Påmelding oppvekstkonferanse,,3416,
82476,Innspel til kommuneplanens arealdel - 1.gongshøyring,,4022,
82475,Innspel til kommuneplanens samfunnsdel - 1.gongshøyring,,4022,
82391,Forespørsel om familieveiledning,,247,
82390,Søknad om avdragsfritak - Startlån,,3290,
82389,For ansatte: Eldre og alkohol,,4067,
82388,For ansatte: Lindrende behandling,,4067,
82387,For ansatte: Tidlig oppdagelse av forverret tilstand,,4067,
82386,For ansatte: Ernæringskartlegging,,4067,
82385,For ansatte: Kvalitetssystemet/avvik,,4067,
82384,For ansatte: IPLOS,,4067,
82383,For ansatte: Tidlig oppdagelse av forverret tilstand,,4067,
82382,For ansatte: Brannvern,,4067,
82381,For ansatte: Generell førstehjelp,,4067,
82380,For ansatte: Pasient og brukerrettighetsloven kapittel 4 A,,4067,
82379,Val av telefonløysing for tilsette,,4217,
82378,Høringsuttalelse,,3416,
82377,Registrering av Ukrainske borgere i Jevnaker kommune,,3416,
82375,Henvendelsesskjema til saksbehandler Arealbruk,,136,
82270,Utstyr,,3317,
82269,Melding om overnatting / mellombels bruksendring,,3641,
82268,Avrop for eigedomsavdelinga,,4019,
82267,Søknad om leige av Dronning Sonjas plass,,349,
82266,Interessemelding - LEAN-opplæring i Suldal,,4022,
82156,"Påmelding - kurs for redaktørar i skule som skriv på nettsida, haust 2022",,3317,
82155,Eigenkontrollskjema for særskilde brannobjekt (brannvernlova § 13),,3317,
82154,Utleige av Leirvik fyrstasjon,,214,
82153,Stillingsannonse - bestilling,,4031,
82152,Innstilling i samband med tilsetting,,4031,
82129,Salgsbevilling for alkohol (KF-124-1576),,127,
82104,Foreldresamtykke til overføring av elevmappe (KF-810),,73,
82103,Landbruksformål - Søknad om kommunalt tilskudd (3825),,4169,
82080,Søknad om skoleskyss - særlig farlig eller vanskelig skolevei,,325,
82079,Bruk av slam i jordbruket - Meldeskjema (KF-809-FK),,73,
82043,Kulturmidlar: Tilskot til lokale kulturbygg,,4016,
82042,Kulturmidlar: Tilskot til aktivitet for ungdom,,4016,
82041,Kulturmidlar: Ordinære kulturmidlar/driftstilskot,,4016,
82040,Påmelding til ansattarrangement,,3806,
82039,Evaluering kompetanseteam,,3806,
82038,Søknader om tilskudd til velforeninger utbedring av lekeplasser,,295,
82037,Home-Start Familiekontakten - Familieleir til Solstrand Bruk/Feriebabrikken Tantebo,,181,
82036,Melding om eierskifte barnehage,,3770,
82035,Søknad om grunnskule/spesialundervisning for vaksne,,4031,
82034,Tilskot til grusing av privat veg,,3404,
82032,Henvendelse til byggesak (TEST),,3248,
82031,Søknad om leie av uteareal,,3248,
82016,Rekvisisjon av oppmålingsforretning (KF-144),,187,
82015,Rekvisisjon av oppmålingsforretning / deling av grunneiendom (KF-234),,187,
82002,Flagging - søknad (KF-808),,208,
82001,Søknad om felling av skadedyr - grågås (KF- 807),,3725,
82000,Søknad om felling av skadedyr - hjort (KF- 806),,3725,
81999,Foreldresamtykke tilmelding til PPT (KF-583),,3650,
81998,Innmelding skole (KF-130G),,3686,
81997,Motorferdsel i utmark og vassdrag (NH-1),,3725,
81928,Serverings- og skjenkebevilling,,259,
81927,Be om tilgang til KS Folkeregister,,3698,
81925,Innspel til revisjon av kommuneplanen arealdel 2022 - forslag til endra arealbruk,,3401,
81923,Bestilling av bok-kasse,,4106,
81921,Framtidig organisering av sykepleiere,,181,
81920,Søknad om deling etter jordlova,,4031,
81919,Søknad om dispensasjon om bruksklasse-køyretøylengde,,349,
81918,Kommuneplanens arealdel,,3977,
81917,Kommuneplanens samfunnsdel,,3977,
81804,Påmelding Frivilligbørs,,4067,
81802,Evaluering av Sisterhood,,4106,
81800,Søknad om gjeldsrågiving,,4019,
81799,Innspel til frivilligplanen,,349,
81798,Ny - Test - Søknad om helse- og omsorgstenester,,349,
81797,Kontakt- og samtykkeskjema ungdomsteam,,142,
81782,Tilskudd til lekeplasser - søknad,,304,
81710,Tilsette i streik - oversikt,,3317,
