"nummer";"departement";"organisasjon";"innleggsdato";"tittel";"problemtype-kategori_regelverk";"problemtype-kategori_prosedyre";"problemtype-kategori_rapporteringskrav";"problemtype-kategori_aktivitetskrav";"problemtype-kategori_it-løsning";"problemtype-kategori_annet";"problemtype_beskrivelse";"opplevelse-internt-kategori_effektivitet";"opplevelse-internt-kategori_unødvendig";"opplevelse-internt-kategori_dobbeltarbeid";"opplevelse-internt-kategori_tid";"opplevelse-internt_beskrivelse";"opplevelse-brukere-kategori_kvalitet";"opplevelse-brukere-kategori_tid";"opplevelse-brukere-kategori_manuell";"opplevelse-brukere-kategori_missforståelser";"opplevelse-brukere_beskrivelse";"omfang";"omfang_beskrivelse";"tiltak-kategori_regelverk";"tiltak-kategori_prosedyre-arbeidsprosess";"tiltak-kategori_rapporteringskrav";"tiltak-kategori_aktivitetskrav";"tiltak-kategori_ansvarsfordeling";"tiltak-kategori_ikt-løsninger";"tiltak-kategori_annet";"tiltak_beskrivelse"
"43";"Kunnskapsdepartementet";"Meteorologisk institutt";"12.06.2014";"Dobbeltarbeid, reiseregningen.no";"false";"true";"true";"false";"false";"false";"reiseregningen.no ber om at det skal krysses av (smart kalenderløsning!) for hvilke måltider man er blitt påspandert hvilke dag i forbindelse med en reise. Jeg krysser av for en lunch og en middag på dag 1, for frokost, lunch og middag på dag 2, og frokost på dag 3 (for eksempel). Vi skriver deretter ut skjemaet og leverer det til Regsnkap. Regnskap er satt til å kontrollere at vi har trukket rett sum for riktige måltider. Men på skjemaet som dannes på bakgrunn av reiseregningen.no kan ikke Regnskap se hvilke måltider jeg har trukket for - skjemaet har bare slått sammen alle summene som maten er verdt. For at Regnskap skal vite hvilke måltider jeg har trukket for, må disse føres opp EN GANG TIL, i merknadsfeltet. Den fine kalender-kryss-av-løsningen er mao laget for skjemaet selv, og ikke for dem som er satt til å kontrollere skjemaet i etterkant. ";"false";"false";"true";"false";"";"false";"false";"false";"false";"";"";"";"false";"false";"false";"false";"false";"true";"false";"Det bør framgå av skjemaet hvilke måltider det er trukket for, slik at man slipper å omtale dette på to ulike steder i skjemaet."
"60";"Kunnskapsdepartementet";"VOX-NASJONALT FAGORGAN FOR KOMPETANSEPOLITIKK";"18.06.2014";"Felles rapporteringsmal for tall på personalområdet i årsrapportene";"false";"false";"true";"false";"true";"false";"Vi rapporterer på ansettelser, rekruttering, avslutning av arbeidsforhold, lønnsfordeling, fravær osv i årsrapportene. Det er så vidt vi kjenner til ingen felles rapporteringsmal for dette, men at tabellene er noe vi skal utforme selv En del av disse tallene rapporteres også inn til andre registre. Vi ";"false";"false";"true";"true";"";"false";"false";"false";"false";"";"";"";"false";"false";"false";"false";"false";"true";"false";"Her ønsker vi oss et ferdig rapporteringsverktøy, som både blir enklere å bruke og som hjelper oss til å rapportere på det vi skal. Det bør også undersøkes om ikke noen av tallene kan hentes inn fra andre registre statlige etater legger inn personaldata i."
"61";"Kunnskapsdepartementet";"VOX-NASJONALT FAGORGAN FOR KOMPETANSEPOLITIKK";"18.06.2014";"Endring av praksis i forvaltning av målloven";"true";"false";"false";"false";"false";"false";"Målloven stiller krav om min 25% nynorsk i virksomhetens publikasjoner på nett og i trykksaker. Vi har flere eksempler på at de nynorske versjonene i trykket utgave ikke blir etterspurt overhodet, før det er blitt tomt for bokmålsversjoner. Målgruppe for noen av våre rapporter og andre produkter der Målloven gjelder er minoritetsspråklig. ";"false";"true";"false";"false";"";"false";"false";"false";"false";"";"";".";"true";"false";"false";"false";"false";"false";"false";"Vi foreslår å endre kravene i målloven, når det gjelder trykksaker/publikasjoner der minoritetsspråklige er viktigste målgruppe"
"71";"Arbeids- og sosialdepartementet";"Statens Pensjonskasse";"20.06.2014";"Lettere å sende flere påfølgende skjema i Altinn";"false";"false";"false";"false";"true";"false";"Saksbehandlere i Statens pensjonskasse benytter Altinn for å sende skjemaet \"Krav om refusjon til andre ordninger\" til andre offentlige tjenestepensjonsordninger. Skjemaet er nokså enkelt og gir mulighet for å melde om én beregnet pensjon. Når en pensjon endres flere ganger og vi skal sende melding til andre ordninger om endringene, må vi opprette og sende ett skjema for hver endring. Tidstyven kommer når første skjema er sendt, da finnes det ingen knapp eller link som gir mulighet for å opprette et nytt skjema av samme type med en gang. Med mulig forbehold om at jeg har fått dårlig opplæring, har jeg ikke funnet noen annen måte å løse problemet på enn å gå til \"Min meldingsboks\", \"Skjema og tjenester\", søke opp Statens pensjonskasse og velge riktig skjema fra listen som tilbys - for hvert nye skjema, hver gang jeg trenger å sende mer enn ett skjema. Det tar tid, er veldig irriterende og bidrar til å svekke inntrykket av Altinn som brukervennlig system. Så en mulighet for enkelt å opprette nytt skjema med en gang et er sendt, hadde kunnet spare oss for en del tid.";"true";"false";"false";"true";"";"false";"false";"false";"false";"";"1";"Rundt 100 saksbehandlere hos oss bruker tjenesten. Hvis de i snitt bruker 30 sekunder ekstra ved opprettelsen av ett nytt skjema i uken, blir det en ekstra tidsbruk på en drøy arbeidsuke i året.";"false";"false";"false";"false";"false";"true";"false";"Forenkle prosedyren for å opprette nytt skjema, for eksempel ved å lage en link til nytt skjema fra kvitteringsbildet for at skjema er sendt."
"84";"Arbeids- og sosialdepartementet";"Statens Pensjonskasse";"24.06.2014";"Vigselsdato i folkeregisteret";"false";"false";"false";"false";"true";"false";"Når et medlem i SPK dør, og vi skal vurdere rett til etterlattepensjon, trenger vi ikke bare å vite hvem ektefelle var, men også hvor lenge de var gift. Har vi ikke vigselsdato får vi ikke behandlet saken om etterlattepensjon.\r\n\r\nVi henter vigselsdato i DSF. Den skal egentlig komme automatisk, men det skjer ikke alltid og vi opplever at det ofte er dårlig datakvalitet på det vi får. Da må vi ringe DSF og det tar veldig lang tid med telefonkontakt der.";"false";"false";"false";"true";"";"false";"true";"false";"false";"i verste fall kan det bli forsinkelser i saken for mennesker som akkurat har mistet sin ejtefelle.";"";"";"false";"false";"false";"false";"false";"true";"false";"bedre datakvaliteten i dsf, det skal være masterdata så synd at vi må bruke tid på å lete etter data."
"95";"Kommunal- og moderniseringsdepartementet";"FYLKESMANNEN I BUSKERUD";"26.06.2014";"FMBU - Vederlagsforskriften for opphold i kommunal institusjon";"true";"false";"false";"false";"false";"false";"Regelverket er svært komplisert og både 1. og 2. instansen bruker uforholdsmessig mye tid på dette regelverket. Vi får mange henvendelser og regelverket er så komplisert at det kun er et fåtall som far full oversikt (de som har skrevet bøkene om Betaling for beboere i institusjon?)";"false";"false";"false";"true";"Mange ulike problemstillinger knyttet til inntektsgrunnlaget og fradragsmuligheter. Forskriften gir ikke god nok veiledning, så rettskildene er i beste fall usikre. ";"true";"false";"false";"false";"De som klager på tjenestene skjønner lite av beregningene. For mange kommer det dessuten som et sjokk at de kan få en etterberegning 1-2 år etter at deres nærmeste er død, med et krav på 12000 kr. i etterberegning. Boet er ofte tatt i privat skifte, gjort opp for lenge siden og det blir tilfeldig hvem av arvingene som blir sittende igjen med kravet. Enda verre er det for den minstepensjonisten som i god tro har hatt penger til disposisjon og som får et krav på 3-4000 de ikke ante skulle komme. ";"";"Jeg er ikke sikker på omfagnet, men det kommer inn en god del klager i forbindelse med omregningene som skjer i kommunen. i tillegg er det henvendelser fra kommunene som trenger hjelp til å tolke regelverket. ";"true";"false";"false";"false";"false";"false";"false";"Reglene må gjennomgås, forenkles og gi bedre oversikt ikke minst for dem det gjelder. "
"96";"Kunnskapsdepartementet";"Meteorologisk institutt";"26.06.2014";"Rapportering av ansatte med mindre enn 14 t/u";"false";"false";"true";"false";"false";"false";"I dag må vi foreta manuell rapportering av alle pensjonsdata, på mail og hver måned, til Statens Pensjonskasse, av alle ansatte som er timebetalte (mindre arbeidstid enn 14 t/u). Alle dataene som skal rapporteres ligger på rapporteringstidspunktet, klare for rapportering, i vårt lønns- og personalsystem.";"true";"false";"true";"true";"";"false";"false";"false";"false";"";"";"Månedlig rapportering, men er avhengig av hvor mange timebetalte som har jobbet foregående måned.";"false";"true";"false";"false";"false";"true";"false";" Det er ønskelig å kunne rapportere elektronisk, slik vi gjør med alle som jobber mer enn 14 t/u og får fast lønn. Elektronisk rapportering via Altinn er en mye enklere prosedyre som tar forholdsmessig mye kortere tid, og er enklere å admininstrere. "
"97";"Kunnskapsdepartementet";"Meteorologisk institutt";"26.06.2014";"Rapportering til NAV";"false";"true";"false";"false";"true";"false";"Klargjøring og innsending av inntektsopplysningsskjema ved krav om refusjon av lønnsutgifter under sykdom og foreldrepermisjon må gjøres manuelt. Tidstyven er at skjemaet etter utfylling på PC'en, må skrives ut og sendes NAV med manuell post. I tillegg må vi fylle ut en forside, skrive ut denne, og sende sammen med inntektsopplysningsskjemaet. Forsiden brukes for scanning på NAV. Dvs. vi behandler saken manuelt, for at NAV skal kunne scanne saken og behandle elektronisk.";"true";"true";"true";"true";"";"false";"false";"false";"false";"";"";"Den manuelle behandlingen fordrer mellom 10 og 20 minutter ekstra for hver sak som sendes inn. Det er høyst variablet hvor mange saker vi har, og om vi behandler dem fortløpende eller samlet ved månedsslutt.";"false";"true";"false";"false";"false";"true";"false";"Inntekstopplysningsskjemaet bør ligge klart til utfylling og innsending via Altinn (slik vi gjør f.eks. ved pensjonering til SPK og rapportering av sykmeldte til NAV)."
"98";"Kunnskapsdepartementet";"Meteorologisk institutt";"26.06.2014";"Kommunikasjon mellom arbeidsgiver og NAV";"false";"true";"false";"false";"false";"false";"NAV ber om å få oppgitt e-postadresse og telefonnummer til saksbehandler på HR-avdelingen på skjemaene vi sender inn i enkeltsaker (f.eks. refusjon av sykepenger), og vi oppgir alltid disse opplysningene til NAV. Prosedyren til NAV hvis det er feil i innsendte skjema, er (selvom de har e-postadresse og telefonnummer) enten å sende oss et brev med manuell post der de ber om nye opplysninger, eller de sender hele saken (alle papirene vi har sendt) i retur med manuell post og et følgebrev der de ber om at feil rettes opp og saken i sin helhet (alle papirene) sendes NAV i retur med ordinær post.";"true";"true";"true";"true";"";"false";"false";"false";"false";"";"";"Dette tar mye tid for NAV og for MET, og medfører store tidsforsinkelser/uforholdsmessig lang saksbehandlingstid.";"false";"true";"false";"false";"false";"false";"false";"NAV bør bruke e-post eller telefon for å kommunisere med arbeidsgiver; ikke ordinær post. Vi opplever i ca. 1 av 10 tilfeller at saksbehandler på NAV ringer eller sender mail og ber om nye opplysninger, og saken er da løst i løpet av få minutter. "
"99";"Kunnskapsdepartementet";"Meteorologisk institutt";"26.06.2014";"Tid for postgang for brev fra NAV";"false";"false";"false";"false";"false";"true";"Brev fra NAV tar opptil 3 uker fra dateringsdato til vi mottar det. Jeg bruker tid på å ringe og høre om status i saken. I tillegg får vi tilsvarende kortere frist for å svare på henvendelsene som har en angitt svarfrist.";"true";"true";"true";"true";"";"false";"false";"false";"false";"";"";"";"false";"false";"false";"false";"false";"true";"true";"Brev fra NAV bør gå ut av huset umiddelbart etter at de er skrevet. Hverken at brevene sendes med B-post eller at posten er treg, kan forklare at brevene tar så lang tid, og jeg antar derfor at forsinkelsen ligger hos NAV. Best er det om brev kan sendes via Altinn, med melding på e-post om at vi har mottatt dette. Dette vil både effektivisere hele prosessen, samt at MET er sikker på ikke å oversitte svarfrister."
