"trinn";"brutto-aar-med-ou";"brutto-aar";"brutto-mnd";"brutto-dag";"pensjonsinnskudd-aar";"pensjonsinnskudd-mnd";"netto-aar";"netto-mnd";"netto-dag";"trinnduplikat";"overtid-50";"overtid-100";"natt-45"
"1";"214900";"214700";"17891,70";"596,40";"4298";"358,10";"210402";"17533,60";"584,50";"1";"174,20";"232,30";"52,30"
"2";"217400";"217200";"18100,00";"603,40";"4348";"362,30";"212852";"17737,70";"591,30";"2";"176,30";"235,00";"52,90"
"3";"219900";"219700";"18308,40";"610,30";"4398";"366,50";"215302";"17941,90";"598,10";"3";"178,30";"237,70";"53,50"
"4";"222400";"222200";"18516,70";"617,30";"4448";"370,60";"217752";"18146,10";"604,90";"4";"180,30";"240,40";"54,10"
"5";"224900";"224700";"18725,00";"624,20";"4498";"374,80";"220202";"18350,20";"611,70";"5";"182,40";"243,10";"54,70"
"6";"227400";"227200";"18933,40";"631,20";"4548";"379,00";"222652";"18554,40";"618,50";"6";"184,40";"245,80";"55,30"
"7";"229900";"229700";"19141,70";"638,10";"4598";"383,10";"225102";"18758,60";"625,30";"7";"186,40";"248,50";"55,90"
"8";"232400";"232200";"19350,00";"645,00";"4648";"387,30";"227552";"18962,70";"632,10";"8";"188,40";"251,20";"56,50"
"9";"234900";"234700";"19558,40";"652,00";"4698";"391,50";"230002";"19166,90";"638,90";"9";"190,50";"253,90";"57,10"
"10";"237400";"237200";"19766,70";"658,90";"4748";"395,60";"232452";"19371,10";"645,80";"10";"192,50";"256,60";"57,70"
"11";"239900";"239700";"19975,00";"665,90";"4798";"399,80";"234902";"19575,20";"652,60";"11";"194,50";"259,40";"58,40"
"12";"242400";"242200";"20183,40";"672,80";"4848";"404,00";"237352";"19779,40";"659,40";"12";"196,50";"262,10";"59,00"
"13";"244900";"244700";"20391,70";"679,80";"4898";"408,10";"239802";"19983,60";"666,20";"13";"198,60";"264,80";"59,60"
"14";"247400";"247200";"20600,00";"686,70";"4948";"412,30";"242252";"20187,70";"673,00";"14";"200,60";"267,50";"60,20"
"15";"250100";"249900";"20825,00";"694,20";"5002";"416,80";"244898";"20408,20";"680,30";"15";"202,80";"270,40";"60,80"
"16";"253200";"253000";"21083,40";"702,80";"5064";"422,00";"247936";"20661,40";"688,80";"16";"205,30";"273,70";"61,60"
"17";"256600";"256400";"21366,70";"712,30";"5132";"427,60";"251268";"20939,10";"698,00";"17";"208,10";"277,40";"62,40"
"18";"260000";"259800";"21650,00";"721,70";"5200";"433,30";"254600";"21216,70";"707,30";"18";"210,80";"281,10";"63,20"
"19";"263500";"263300";"21941,70";"731,40";"5270";"439,10";"258030";"21502,60";"716,80";"19";"213,60";"284,90";"64,10"
"20";"267000";"266800";"22233,40";"741,20";"5340";"445,00";"261460";"21788,40";"726,30";"20";"216,50";"288,60";"64,90"
"21";"270600";"270400";"22533,40";"751,20";"5412";"451,00";"264988";"22082,40";"736,10";"21";"219,40";"292,50";"65,80"
"22";"274200";"274000";"22833,40";"761,20";"5484";"457,00";"268516";"22376,40";"745,90";"22";"222,30";"296,40";"66,70"
"23";"277900";"277700";"23141,70";"771,40";"5558";"463,10";"272142";"22678,60";"756,00";"23";"225,30";"300,40";"67,60"
"24";"281700";"281500";"23458,40";"782,00";"5634";"469,50";"275866";"22988,90";"766,30";"24";"228,40";"304,50";"68,50"
"25";"285700";"285500";"23791,70";"793,10";"5714";"476,10";"279786";"23315,60";"777,20";"25";"231,60";"308,90";"69,50"
"26";"289700";"289500";"24125,00";"804,20";"5794";"482,80";"283706";"23642,20";"788,10";"26";"234,90";"313,20";"70,50"
"27";"293400";"293200";"24433,40";"814,50";"5868";"489,00";"287332";"23944,40";"798,20";"27";"237,90";"317,20";"71,40"
"28";"297100";"296900";"24741,70";"824,80";"5942";"495,10";"290958";"24246,60";"808,30";"28";"240,90";"321,20";"72,30"
"29";"300800";"300600";"25050,00";"835,00";"6016";"501,30";"294584";"24548,70";"818,30";"29";"243,90";"325,20";"73,20"
"30";"304500";"304300";"25358,40";"845,30";"6090";"507,50";"298210";"24850,90";"828,40";"30";"246,90";"329,20";"74,10"
"31";"308100";"307900";"25658,40";"855,30";"6162";"513,50";"301738";"25144,90";"838,20";"31";"249,80";"333,10";"74,90"
"32";"311900";"311700";"25975,00";"865,90";"6238";"519,80";"305462";"25455,20";"848,60";"32";"252,90";"337,20";"75,90"
"33";"315700";"315500";"26291,70";"876,40";"6314";"526,10";"309186";"25765,60";"858,90";"33";"256,00";"341,30";"76,80"
"34";"319500";"319300";"26608,40";"887,00";"6390";"532,50";"312910";"26075,90";"869,20";"34";"259,10";"345,40";"77,70"
"35";"323500";"323300";"26941,70";"898,10";"6470";"539,10";"316830";"26402,60";"880,10";"35";"262,30";"349,70";"78,70"
"36";"327600";"327400";"27283,40";"909,50";"6552";"546,00";"320848";"26737,40";"891,30";"36";"265,60";"354,20";"79,70"
"37";"332000";"331800";"27650,00";"921,70";"6640";"553,30";"325160";"27096,70";"903,30";"37";"269,20";"358,90";"80,80"
"38";"336500";"336300";"28025,00";"934,20";"6730";"560,80";"329570";"27464,20";"915,50";"38";"272,80";"363,80";"81,90"
"39";"341000";"340800";"28400,00";"946,70";"6820";"568,30";"333980";"27831,70";"927,80";"39";"276,50";"368,60";"82,90"
"40";"345800";"345600";"28800,00";"960,00";"6916";"576,30";"338684";"28223,70";"940,80";"40";"280,40";"373,80";"84,10"
"41";"350500";"350300";"29191,70";"973,10";"7010";"584,10";"343290";"28607,60";"953,60";"41";"284,20";"378,90";"85,30"
"42";"356000";"355800";"29650,00";"988,40";"7120";"593,30";"348680";"29056,70";"968,60";"42";"288,60";"384,90";"86,60"
"43";"361300";"361100";"30091,70";"1003,10";"7226";"602,10";"353874";"29489,60";"983,00";"43";"292,90";"390,60";"87,90"
"44";"367100";"366900";"30575,00";"1019,20";"7342";"611,80";"359558";"29963,20";"998,80";"44";"297,60";"396,90";"89,30"
"45";"372700";"372500";"31041,70";"1034,80";"7454";"621,10";"365046";"30420,60";"1014,10";"45";"302,20";"402,90";"90,70"
"46";"378600";"378400";"31533,40";"1051,20";"7572";"631,00";"370828";"30902,40";"1030,10";"46";"307,00";"409,30";"92,10"
"47";"384900";"384700";"32058,40";"1068,70";"7698";"641,50";"377002";"31416,90";"1047,30";"47";"312,10";"416,10";"93,60"
"48";"391300";"391100";"32591,70";"1086,40";"7826";"652,10";"383274";"31939,60";"1064,70";"48";"317,30";"423,00";"95,20"
"49";"398000";"397800";"33150,00";"1105,00";"7960";"663,30";"389840";"32486,70";"1082,90";"49";"322,70";"430,30";"96,80"
"50";"404600";"404400";"33700,00";"1123,40";"8092";"674,30";"396308";"33025,70";"1100,90";"50";"328,10";"437,40";"98,40"
"51";"411400";"411200";"34266,70";"1142,30";"8228";"685,60";"402972";"33581,10";"1119,40";"51";"333,60";"444,80";"100,10"
"52";"418500";"418300";"34858,40";"1162,00";"8370";"697,50";"409930";"34160,90";"1138,70";"52";"339,30";"452,40";"101,80"
"53";"426000";"425800";"35483,40";"1182,80";"8520";"710,00";"417280";"34773,40";"1159,20";"53";"345,40";"460,50";"103,60"
"54";"433100";"432900";"36075,00";"1202,50";"8662";"721,80";"424238";"35353,20";"1178,50";"54";"351,20";"468,20";"105,30"
"55";"440900";"440700";"36725,00";"1224,20";"8818";"734,80";"431882";"35990,20";"1199,70";"55";"357,50";"476,60";"107,20"
