shortname,name,content
trinn,Lønnstrinn,Lønnstrinn 1-98
brutto-aar-med-ou,Bruttolønn pr. år. (med OU),"Bruttolønn inklusiv avgift på kr 200,- pr år til OU-midler"
brutto-aar,Bruttolønn pr. år,"Bruttolønn eksklusiv avgift på kr 200,- pr år til OU-midler"
brutto-mnd,Bruttolønn pr. mnd.,"Bruttolønn eksklusiv avgift på kr 200,- pr år til OU-midler"
brutto-dag,Bruttolønn pr. dag,"Bruttolønn eksklusiv avgift på kr 200,- pr år til OU-midler"
pensjonsinnskudd-aar,Pensjonsinnskudd pr. år,"Pensjonsinnskudd per år. Folketrygdens grunnbeløp utgjør pr 1. mai 2011 kr 79 216,-"
pensjonsinnskudd-mnd,Pensjonsinnskudd pr. mnd.,Pensjonsinnskudd per måned.
netto-aar,Nettolønn pr. år.,Nettolønn per år
netto-mnd,Nettolønn pr. mnd.,Nettolønn per måned
netto-dag,Nettolønn pr. dag,Nettolønn per dag
trinnduplikat,Lønnstrinn,Duplikat av lønnstrinnfeltet.
overtid-50,Overtidsgodtgjørelse 50%,Jf. fellesbestemmelsens § 2 nr 3
overtid-100,Overtidsgodtgjørelse 100%,Overtidsgodtgjørelse 100%
natt-45,45% natt-tidskompensasjon,45% natt-tidskompensasjon
