trinn,brutto-35,brutto-37,netto-35,netto-37
1,"116,30","110,10","114,00","107,90"
2,"117,70","111,40","115,30","109,20"
3,"119,00","112,70","116,60","110,40"
4,"120,40","113,90","118,00","111,70"
5,"121,70","115,20","119,30","112,90"
6,"123,10","116,50","120,60","114,20"
7,"124,40","117,80","121,90","115,40"
8,"125,80","119,10","123,30","116,70"
9,"127,10","120,40","124,60","117,90"
10,"128,50","121,60","125,90","119,20"
11,"129,80","122,90","127,20","120,50"
12,"131,20","124,20","128,60","121,70"
13,"132,60","125,50","129,90","123,00"
14,"133,90","126,80","131,20","124,20"
15,"135,40","128,20","132,70","125,60"
16,"137,10","129,70","134,30","127,10"
17,"138,90","131,50","136,10","128,90"
18,"140,70","133,20","137,90","130,60"
19,"142,60","135,00","139,80","132,30"
20,"144,50","136,80","141,60","134,10"
21,"146,50","138,70","143,50","135,90"
22,"148,40","140,50","145,50","137,70"
23,"150,40","142,40","147,40","139,60"
24,"152,50","144,40","149,40","141,50"
25,"154,70","146,40","151,60","143,50"
26,"156,80","148,50","153,70","145,50"
27,"158,80","150,40","155,70","147,30"
28,"160,80","152,30","157,60","149,20"
29,"162,80","154,20","159,60","151,10"
30,"164,80","156,10","161,50","152,90"
31,"166,80","157,90","163,50","154,70"
32,"168,90","159,80","165,50","156,60"
33,"170,90","161,80","167,50","158,60"
34,"173,00","163,70","169,50","160,50"
35,"175,10","165,80","171,60","162,50"
36,"177,40","167,90","173,80","164,50"
37,"179,70","170,20","176,10","166,70"
38,"182,20","172,50","178,50","169,00"
39,"184,60","174,80","180,90","171,30"
40,"187,20","177,20","183,50","173,70"
41,"189,80","179,60","186,00","176,00"
42,"192,70","182,50","188,90","178,80"
43,"195,60","185,20","191,70","181,50"
44,"198,80","188,20","194,80","184,40"
45,"201,80","191,00","197,70","187,20"
46,"205,00","194,10","200,90","190,20"
47,"208,40","197,30","204,20","193,30"
48,"211,90","200,60","207,60","196,60"
49,"215,50","204,00","211,20","199,90"
50,"219,10","207,40","214,70","203,20"
51,"222,80","210,90","218,30","206,70"
52,"226,60","214,50","222,10","210,20"
53,"230,70","218,40","226,00","214,00"
54,"234,50","222,00","229,80","217,60"
55,"238,70","226,00","234,00","221,50"
56,"242,70","229,80","237,90","225,20"
57,"247,00","233,80","242,00","229,10"
58,"251,40","238,00","246,40","233,20"
59,"255,90","242,30","250,80","237,40"
60,"260,40","246,50","255,20","241,60"
61,"265,40","251,20","260,10","246,20"
62,"270,50","256,10","265,10","250,90"
63,"275,80","261,10","270,30","255,90"
64,"281,00","266,10","275,40","260,70"
65,"286,20","271,00","280,50","265,60"
66,"291,40","275,90","285,60","270,40"
67,"296,90","281,00","290,90","275,40"
68,"302,00","285,80","295,90","280,10"
69,"307,90","291,40","301,70","285,60"
70,"313,90","297,10","307,60","291,20"
71,"321,40","304,30","315,00","298,20"
72,"327,20","309,70","320,60","303,50"
73,"332,90","315,20","326,30","308,90"
74,"339,00","320,90","332,20","314,50"
75,"345,60","327,20","338,70","320,60"
76,"354,60","335,70","347,50","329,00"
77,"363,40","344,10","356,20","337,20"
78,"375,20","355,20","367,70","348,10"
79,"387,00","366,40","379,30","359,00"
80,"398,90","377,60","390,90","370,00"
81,"410,50","388,60","402,30","380,80"
82,"421,80","399,30","413,30","391,30"
83,"433,00","409,90","424,30","401,70"
84,"444,30","420,60","435,40","412,20"
85,"458,30","433,90","449,20","425,20"
86,"472,40","447,20","462,90","438,20"
87,"486,50","460,50","476,70","451,30"
88,"497,70","471,10","487,70","461,70"
89,"508,90","481,80","498,80","472,20"
90,"520,20","492,50","509,90","482,70"
91,"531,50","503,10","521,20","493,40"
92,"542,70","513,70","532,40","504,00"
93,"554,00","524,40","543,70","514,70"
94,"565,20","535,00","554,90","525,30"
95,"576,50","545,70","566,20","536,00"
96,"587,50","556,20","577,20","546,40"
97,"598,50","566,60","588,20","556,90"
98,"609,50","577,00","599,20","567,30"
