trinn;brutto-aar;brutto-dag-260;brutto-dag-312;pensjonsinnskudd;netto-aar;netto-dag-260;netto-dag-312
1;214700;825,70;688,10;4298;210402;809,20;674,30
2;217200;835,30;696,10;4348;212852;818,60;682,20
3;219700;845,00;704,10;4398;215302;828,00;690,00
4;222200;854,60;712,10;4448;217752;837,50;697,90
5;224700;864,20;720,10;4498;220202;846,90;705,70
6;227200;873,80;728,20;4548;222652;856,30;713,60
7;229700;883,40;736,20;4598;225102;865,70;721,40
8;232200;893,00;744,20;4648;227552;875,20;729,30
9;234700;902,60;752,20;4698;230002;884,60;737,10
10;237200;912,30;760,20;4748;232452;894,00;745,00
11;239700;921,90;768,20;4798;234902;903,40;752,80
12;242200;931,50;776,20;4848;237352;912,80;760,70
13;244700;941,10;784,20;4898;239802;922,30;768,50
14;247200;950,70;792,30;4948;242252;931,70;776,40
15;249900;961,10;800,90;5002;244898;941,90;784,90
16;253000;973,00;810,80;5064;247936;953,60;794,60
17;256400;986,10;821,70;5132;251268;966,40;805,30
18;259800;999,20;832,60;5200;254600;979,20;816,00
19;263300;1012,60;843,90;5270;258030;992,40;827,00
20;266800;1026,10;855,10;5340;261460;1005,60;838,00
21;270400;1040,00;866,60;5412;264988;1019,10;849,30
22;274000;1053,80;878,20;5484;268516;1032,70;860,60
23;277700;1068,00;890,00;5558;272142;1046,70;872,20
24;281500;1082,60;902,20;5634;275866;1061,00;884,10
25;285500;1098,00;915,00;5714;279786;1076,10;896,70
26;289500;1113,40;927,80;5794;283706;1091,10;909,30
27;293200;1127,60;939,70;5868;287332;1105,10;920,90
28;296900;1141,90;951,60;5942;290958;1119,00;932,50
29;300600;1156,10;963,40;6016;294584;1133,00;944,10
30;304300;1170,30;975,30;6090;298210;1146,90;955,80
31;307900;1184,20;986,80;6162;301738;1160,50;967,10
32;311700;1198,80;999,00;6238;305462;1174,80;979,00
33;315500;1213,40;1011,20;6314;309186;1189,10;990,90
34;319300;1228,00;1023,30;6390;312910;1203,50;1002,90
35;323300;1243,40;1036,20;6470;316830;1218,50;1015,40
36;327400;1259,20;1049,30;6552;320848;1234,00;1028,30
37;331800;1276,10;1063,40;6640;325160;1250,60;1042,10
38;336300;1293,40;1077,80;6730;329570;1267,50;1056,30
39;340800;1310,70;1092,30;6820;333980;1284,50;1070,40
40;345600;1329,20;1107,60;6916;338684;1302,60;1085,50
41;350300;1347,30;1122,70;7010;343290;1320,30;1100,20
42;355800;1368,40;1140,30;7120;348680;1341,00;1117,50
43;361100;1388,80;1157,30;7226;353874;1361,00;1134,20
44;366900;1411,10;1175,90;7342;359558;1382,90;1152,40
45;372500;1432,60;1193,90;7454;365046;1404,00;1170,00
46;378400;1455,30;1212,80;7572;370828;1426,20;1188,50
47;384700;1479,60;1233,00;7698;377002;1450,00;1208,30
48;391100;1504,20;1253,50;7826;383274;1474,10;1228,40
49;397800;1530,00;1275,00;7960;389840;1499,30;1249,40
50;404400;1555,30;1296,10;8092;396308;1524,20;1270,20
51;411200;1581,50;1317,90;8228;402972;1549,80;1291,50
52;418300;1608,80;1340,70;8370;409930;1576,60;1313,80
53;425800;1637,60;1364,70;8520;417280;1604,90;1337,40
54;432900;1665,00;1387,50;8662;424238;1631,60;1359,70
55;440700;1695,00;1412,50;8818;431882;1661,00;1384,20
56;448100;1723,40;1436,20;8966;439134;1688,90;1407,40
57;455900;1753,40;1461,20;9122;446778;1718,30;1431,90
58;464100;1785,00;1487,50;9286;454814;1749,20;1457,70
59;472400;1816,90;1514,10;9452;462948;1780,50;1483,80
60;480700;1848,80;1540,70;9618;471082;1811,80;1509,80
61;489900;1884,20;1570,10;9802;480098;1846,50;1538,70
62;499300;1920,30;1600,30;9990;489310;1881,90;1568,30
63;509100;1958,00;1631,70;10186;498914;1918,90;1599,00
64;518800;1995,30;1662,80;10380;508420;1955,40;1629,50
65;528400;2032,30;1693,50;10572;517828;1991,60;1659,70
66;538000;2069,20;1724,30;10764;527236;2027,80;1689,80
67;548000;2107,60;1756,40;10964;537036;2065,50;1721,20
68;557400;2143,80;1786,50;11152;546248;2100,90;1750,70
69;568300;2185,70;1821,40;11370;556930;2142,00;1785,00
70;579400;2228,40;1857,00;11592;567808;2183,80;1819,80
71;593300;2281,90;1901,60;11870;581430;2236,20;1863,50
72;604000;2323,00;1935,80;12084;591916;2276,60;1897,10
73;614600;2363,80;1969,80;12296;602304;2316,50;1930,40
74;625800;2406,90;2005,70;12520;613280;2358,70;1965,60
75;638000;2453,80;2044,80;12764;625236;2404,70;2003,90
76;654600;2517,60;2098,00;13096;641504;2467,30;2056,10
77;670900;2580,30;2150,30;13422;657478;2528,70;2107,30
78;692600;2663,80;2219,80;13856;678744;2610,50;2175,40
79;714400;2747,60;2289,70;14292;700108;2692,70;2243,90
80;736300;2831,90;2359,90;14730;721570;2775,20;2312,70
81;757800;2914,60;2428,80;15160;742640;2856,30;2380,20
