verdensdel,land,by,makssatser natt,kost
Afrika,Øvrige områder,,1290,560
Afrika,Algerie,,1750,720
Afrika,Angola,,2850,1000
Afrika,Benin,,1100,440
Afrika,Botswana,,1250,400
Afrika,Burundi,,900,300
Afrika,Egypt,,1750,480
Afrika,Elfenbenskysten,,1900,960
Afrika,Etiopia,,2200,500
Afrika,Gabon,,1770,760
Afrika,Gambia,,1000,300
Afrika,Ghana,,1880,520
Afrika,Guinea,,1150,440
Afrika,Kamerun,,1500,490
Afrika,Kenya,,2100,580
Afrika,Lesotho,,1350,300
Afrika,Liberia,,1160,450
Afrika,Libya,,3500,420
Afrika,Madagaskar,,1300,350
Afrika,Malawi,,1000,740
Afrika,Mali,,1200,470
Afrika,Marokko,,2100,700
Afrika,Mauritius,,1500,510
Afrika,Mozambique,,1650,420
Afrika,Namibia,,2100,500
Afrika,Nigeria,,2500,700
Afrika,Senegal,,1900,680
Afrika,Seychellene,,1200,600
Afrika,Sudan Pund SDP,,1700,400
Afrika,Swasiland,,1700,300
Afrika,Sør-Afrika,,2400,500
Afrika,Sør-Afrika,Cape Town,3300,520
Afrika,Sør-Afrika,Johannesburg,2400,620
Afrika,Tanzania,,2000,340
Afrika,Togo,,1000,430
Afrika,Tunisia,,2100,650
Afrika,Uganda,,1900,550
Afrika,Zambia,,2100,500
Afrika,Zimbabwe,,1500,380
Amerika,Øvrige områder,,1650,600
Amerika,Antigua & Barbuda,,1900,850
Amerika,Argentina,,3200,840
Amerika,Bahamas,,2500,740
Amerika,Barbados,,1600,720
Amerika,Bermuda (Br),,2800,600
Amerika,Bolivia,,700,250
Amerika,Brasil,,2000,700
Amerika,Brasil,Rio,3000,1000
Amerika,Canada,,2500,790
Amerika,Chile,,1600,780
Amerika,Colombia,,2200,600
Amerika,Costa Rica,,1000,550
Amerika,Cuba,,1000,500
Amerika,Den dominikanske rep.,,1200,450
Amerika,Dominica,,1050,450
Amerika,Equador,,1200,450
Amerika,Grenada,,2300,600
Amerika,Guatemala,,1200,550
Amerika,Guyana,,1100,250
Amerika,Haiti,,1000,500
Amerika,Jamaica,,1500,450
Amerika,Mexico,,1600,650
Amerika,Nederlandske Antiller,,1200,460
Amerika,Nicaragua,,1100,420
Amerika,Panama,,1100,350
Amerika,Paraguay,,1000,250
Amerika,Peru,,1600,600
Amerika,Puerto Rico,,1500,410
Amerika,St Kitts & Nevis,,2000,810
Amerika,St Lucia,,1700,750
Amerika,St Vincent,,1700,770
Amerika,Surinam,,1100,350
Amerika,Trinidad & Tobago,,2000,740
Amerika,Uruguay,,1300,520
Amerika,USA,,2000,730
Amerika,USA,New York by,3500,950
