kandidatnummer,parti,kandidatnavn,foedselsaar,stemmetillegg,personstemmer,slengere,totalt,status
01 x,Det norske Arbeiderparti,"Bremnes, Marianne K",  1964,847.50,990,86,"  1,923.50",  VALGT
02 x,Det norske Arbeiderparti,"Hansen, Halvar Johan",  1947,847.50,272,7,"  1,126.50",  VALGT
04 x,Det norske Arbeiderparti,"Bjørkelund, Kjetil",  1950,847.50,163,12,"  1,022.50",  VALGT
03 x,Det norske Arbeiderparti,"Søndergaard, Synnøve J",  1957,847.50,107,8,  962.50,  VALGT
07 ,Det norske Arbeiderparti,"Hætta, Barbro Lill",  1972,0.00,382,30,  412.00,  VALGT
12 ,Det norske Arbeiderparti,"Henningsen, Trond",  1973,0.00,145,12,  157.00,  VALGT
09 ,Det norske Arbeiderparti,"Halseth, Lisa Reppen",  1982,0.00,133,14,  147.00,  VALGT
05 ,Det norske Arbeiderparti,"Floer, Elsa Pauline",  1942,0.00,107,7,  114.00,  VALGT
22 ,Det norske Arbeiderparti,"Benjaminsen, Bjørnar Leif",  1942,0.00,66,44,  110.00,  VALGT
06 ,Det norske Arbeiderparti,"Gudmundsen, Stig Rune",  1962,0.00,90,8,  98.00,  VALGT
18 ,Det norske Arbeiderparti,"Elvheim, Jan Henrik",  1949,0.00,56,2,  58.00,  VARA
17 ,Det norske Arbeiderparti,"Pedersen, Randi J Steinli",  1952,0.00,50,3,  53.00,  VARA
10 ,Det norske Arbeiderparti,"Henriksen, Knut Steen",  1947,0.00,50,1,  51.00,  VARA
08 ,Det norske Arbeiderparti,"Eilertsen, Frank",  1959,0.00,49,1,  50.00,  VARA
11 ,Det norske Arbeiderparti,"Tangen, Eva S Storbakk",  1962,0.00,41,0,  41.00,  VARA
13 ,Det norske Arbeiderparti,"Hansen, Rita I Isaksen",  1962,0.00,40,1,  41.00,  VARA
16 ,Det norske Arbeiderparti,"Slettbakk, Stein Helge",  1960,0.00,38,1,  39.00,  VARA
21 ,Det norske Arbeiderparti,"Berg, Sigrid Irene Furu",  1940,0.00,37,2,  39.00,  VARA
15 ,Det norske Arbeiderparti,"Ovesen, Unni",  1945,0.00,35,1,  36.00,  VARA
23 ,Det norske Arbeiderparti,"Selseth, Gerd Anne",  1969,0.00,35,1,  36.00,  VARA
25 ,Det norske Arbeiderparti,"Jakobsen, Unni Dalsnes",  1947,0.00,35,1,  36.00,  VARA
14 ,Det norske Arbeiderparti,"Hovland, Per Ove",  1957,0.00,33,0,  33.00,  VARA
20 ,Det norske Arbeiderparti,"Holand, Ove",  1971,0.00,25,3,  28.00,  VARA
24 ,Det norske Arbeiderparti,"Jacobsen, Øistein",  1944,0.00,26,2,  28.00, 
19 ,Det norske Arbeiderparti,"Lindbøl, Rita Johanna",  1942,0.00,24,0,  24.00, 
28 ,Det norske Arbeiderparti,"Vargeid, Sverre Kristian",  1940,0.00,24,0,  24.00, 
26 ,Det norske Arbeiderparti,"Simonsen, Gøran",  1962,0.00,19,1,  20.00, 
29 ,Det norske Arbeiderparti,"Stenhaug, Magnar Andreas",  1937,0.00,20,0,  20.00, 
27 ,Det norske Arbeiderparti,"Hansen, Rolf Viggo",  1948,0.00,18,1,  19.00, 
02 x,Sosialistisk Venstreparti,"Jørgensen, Synnøve",  1957,75.00,43,50,  168.00,  VALGT
01 x,Sosialistisk Venstreparti,"Kristiansen, Johnny",  1957,75.00,58,22,  155.00,  VARA
03 x,Sosialistisk Venstreparti,"Falch-Olsen, Jan Inge",  1957,75.00,35,7,  117.00,  VARA
05 ,Sosialistisk Venstreparti,"Hoel, Vegar",  1980,0.00,37,20,  57.00,  VARA
06 ,Sosialistisk Venstreparti,"Hågensen, Marthe",  1991,0.00,19,6,  25.00,  VARA
33 ,Sosialistisk Venstreparti,"Eriksen, Edvin Mathias",  1949,0.00,14,10,  24.00, 
31 ,Sosialistisk Venstreparti,"Ytterstad, Børge",  1943,0.00,10,7,  17.00, 
10 ,Sosialistisk Venstreparti,"Pourabedin, Soheila",  1957,0.00,13,3,  16.00, 
04 ,Sosialistisk Venstreparti,"Myrvang, Britt Olga",  1959,0.00,11,2,  13.00, 
17 ,Sosialistisk Venstreparti,"Berg, Martin",  1967,0.00,10,2,  12.00, 
35 ,Sosialistisk Venstreparti,"Kristensen, Kai Joar",  1985,0.00,8,3,  11.00, 
13 ,Sosialistisk Venstreparti,"Olafsen, Svein",  1951,0.00,8,2,  10.00, 
16 ,Sosialistisk Venstreparti,"Gabrielsen, Eirin Cecilie",  1971,0.00,7,2,  9.00, 
11 ,Sosialistisk Venstreparti,"Berg, Mikal Ingvald",  1938,0.00,6,2,  8.00, 
19 ,Sosialistisk Venstreparti,"Rennemo, Morten",  1973,0.00,6,2,  8.00, 
09 ,Sosialistisk Venstreparti,"Torrissen, Thomas",  1974,0.00,6,1,  7.00, 
18 ,Sosialistisk Venstreparti,"Rustad, Marit Ruth",  1953,0.00,6,1,  7.00, 
20 ,Sosialistisk Venstreparti,"Bartholsen, Elisabeth B",  1977,0.00,7,0,  7.00, 
07 ,Sosialistisk Venstreparti,"Lind-Johansen, Rolf A",  1955,0.00,6,0,  6.00, 
08 ,Sosialistisk Venstreparti,"Myrvang, Ingvild Kristiane",  1992,0.00,5,1,  6.00, 
12 ,Sosialistisk Venstreparti,"Larssen, Ann-Heidi",  1977,0.00,4,2,  6.00, 
15 ,Sosialistisk Venstreparti,"Lind-Johansen, Andreas",  1991,0.00,6,0,  6.00, 
14 ,Sosialistisk Venstreparti,"Johansen, Suzana M Costa",  1993,0.00,3,2,  5.00, 
22 ,Sosialistisk Venstreparti,"Ågesen, Anita Merethe",  1989,0.00,5,0,  5.00, 
26 ,Sosialistisk Venstreparti,"Flermoen, Stine Andersen",  1969,0.00,4,1,  5.00, 
30 ,Sosialistisk Venstreparti,"Stavrum, Ingrid Bergvoll",  1992,0.00,5,0,  5.00, 
32 ,Sosialistisk Venstreparti,"Rustad, Berit",  1950,0.00,4,1,  5.00, 
25 ,Sosialistisk Venstreparti,"Mathisen, Nils Roger Ryeng",  1970,0.00,4,0,  4.00, 
