partinamn;fylkesnr;kommunenr;partitype;valar;stemmer;relativdel;mandat;utbetalingsar;grunnstonad;stemmestotte;totalt
Kystpartiet i Østfold;1;100;Fylke;2007;166;0,15;0;2011;0;4815,66;4815,66
Kystpartiets ungdom i Østfold;1;100;FylkesUngdom;2007;0;0;0;2011;0;1520,56;1520,56
Miljøpartiet De Grønne;1;100;Fylke;2007;736;0,66;0;2011;0;21351,36;21351,36
Østfold Arbeiderparti;1;100;Fylke;2007;38760;34,99;13;2011;44708;1124427,6;1169135,6
Østfold AUF;1;100;FylkesUngdom;2007;0;0;0;2011;0;355041,6;355041,6
Østfold Fremskrittpartis Ungdom;1;100;FylkesUngdom;2007;0;0;0;2011;0;231015,2;231015,2
Østfold Fremskrittsparti;1;100;Fylke;2007;25220;22,77;8;2011;44708;731632,2;776340,2
Østfold Høyre;1;100;Fylke;2007;17480;15,78;6;2011;44708;507094,8;551802,8
Østfold Kristelig Folkeparti;1;100;Fylke;2007;7692;6,94;2;2011;44708;223144,92;267852,92
Østfold Kristelig Folkepartis Ungdom;1;100;FylkesUngdom;2007;0;0;0;2011;0;70458,72;70458,72
Østfold Kristent Samlingsparti;1;100;Fylke;2007;328;0,3;0;2011;0;9515,28;9515,28
Østfold Pensjonistparti;1;100;Fylke;2007;2264;2,04;1;2011;44708;65678,64;110386,64
Østfold Rød Ungdom;1;100;FylkesUngdom;2007;0;0;0;2011;0;13135,44;13135,44
Østfold Rød Valgallianse;1;100;Fylke;2007;1434;1,29;0;2011;0;41600,34;41600,34
Østfold Senterparti;1;100;Fylke;2007;7081;6,39;2;2011;44708;205419,81;250127,81
Østfold Senterungdom;1;100;FylkesUngdom;2007;0;0;0;2011;0;64861,96;64861,96
Østfold SU;1;100;FylkesUngdom;2007;0;0;0;2011;0;50205,96;50205,96
Østfold SV;1;100;Fylke;2007;5481;4,95;2;2011;44708;159003,81;203711,81
Østfold Unge Høyre;1;100;FylkesUngdom;2007;0;0;0;2011;0;160116,8;160116,8
ØSTFOLD UNGE VENSTRE;1;100;FylkesUngdom;2007;0;0;0;2011;0;35751,48;35751,48
ØSTFOLD VENSTRE;1;100;Fylke;2007;3903;3,52;1;2011;44708;113226,03;157934,03
Demokratene;1;101;Kommune;2007;27;0,21;0;2011;0;345,87;345,87
Halden Arbeiderparti;1;101;Kommune;2007;5638;43,62;21;2011;1223;72222,78;73445,78
Halden Fremskrittsparti;1;101;Kommune;2007;2057;15,92;8;2011;1223;26350,17;27573,17
Halden Høyre;1;101;Kommune;2007;1343;10,39;5;2011;1223;17203,83;18426,83
Halden KrF;1;101;Kommune;2007;948;7,34;4;2011;1223;12143,88;13366,88
Halden Rød Valgallianse;1;101;Kommune;2007;296;2,29;1;2011;1223;3791,76;5014,76
Halden Senterparti;1;101;Kommune;2007;639;4,94;2;2011;1223;8185,59;9408,59
Halden Sv;1;101;Kommune;2007;949;7,34;4;2011;1223;12156,69;13379,69
HALDEN VENSTRE;1;101;Kommune;2007;460;3,56;2;2011;1223;5892,6;7115,6
Miljøpartiet De Grønne Halden;1;101;Kommune;2007;376;2,91;1;2011;1223;4816,56;6039,56
Pensjonistpartiet;1;101;Kommune;2007;191;1,48;1;2011;1223;2446,71;3669,71
Moss  Sv;1;104;Kommune;2007;784;5,78;2;2011;1223;10043,04;11266,04
Moss Arbeiderparti;1;104;Kommune;2007;5420;39,99;16;2011;1223;69430,2;70653,2
Moss Fremskrittsparti;1;104;Kommune;2007;2607;19,23;8;2011;1223;33395,67;34618,67
Moss Høyre;1;104;Kommune;2007;2915;21,51;8;2011;1223;37341,15;38564,15
Moss KrF;1;104;Kommune;2007;406;3;1;2011;1223;5200,86;6423,86
Moss Rødt (Moss Rød Valgallianse);1;104;Kommune;2007;492;3,63;1;2011;1223;6302,52;7525,52
MOSS VENSTRE;1;104;Kommune;2007;608;4,49;2;2011;1223;7788,48;9011,48
Pensjonistpartiet;1;104;Kommune;2007;322;2,38;1;2011;1223;4124,82;5347,82
Pensjonistpartiet;1;105;Kommune;2007;764;3,52;2;2011;1223;9786,84;11009,84
Rød Valgallianse;1;105;Kommune;2007;135;0,62;0;2011;0;1729,35;1729,35
Sarpsborg Arbeiderparti;1;105;Kommune;2007;10584;48,71;24;2011;1223;135581,04;136804,04
Sarpsborg Fremskrittsparti;1;105;Kommune;2007;4241;19,52;9;2011;1223;54327,21;55550,21
Sarpsborg Høyre;1;105;Kommune;2007;2456;11,3;6;2011;1223;31461,36;32684,36
Sarpsborg KrF;1;105;Kommune;2007;1448;6,66;3;2011;1223;18548,88;19771,88
Sarpsborg Senterparti;1;105;Kommune;2007;812;3,74;2;2011;1223;10401,72;11624,72
Sarpsborg Sv;1;105;Kommune;2007;699;3,22;2;2011;1223;8954,19;10177,19
SARPSBORG VENSTRE;1;105;Kommune;2007;543;2,5;1;2011;1223;6955,83;8178,83
Fredrikstad  Arb.Parti;1;106;Kommune;2007;11070;32,8;18;2011;1223;141806,7;143029,7
Fredrikstad Fremskrittsparti;1;106;Kommune;2007;10511;31,15;17;2011;1223;134645,91;135868,91
Fredrikstad Høyre;1;106;Kommune;2007;4463;13,22;7;2011;1223;57171,03;58394,03
Fredrikstad KrF;1;106;Kommune;2007;1618;4,79;3;2011;1223;20726,58;21949,58
Fredrikstad Pensjonistparti;1;106;Kommune;2007;893;2,65;1;2011;1223;11439,33;12662,33
