partinamn,fylkesnr,kommunenr,partitype,valar,stemmer,relativdel,mandat,utbetalingsar,grunnstonad,stemmestonad,totalt
Østfold Arbeiderparti,1,100,Fylke,2011,47298,"40,1",15,2013,"48 107,00","1 329 073,80","1 377 180,80"
Østfold AUF,1,100,FylkesUngdom,2011,0,0,0,2013,"0,00","420 006,24","420 006,24"
Demokratene,1,100,Fylke,2011,244,"0,2",0,2013,"0,00","6 856,40","6 856,40"
Østfold Fremskrittpartis Ungdom,1,100,FylkesUngdom,2011,0,0,0,2013,"0,00","135 384,48","135 384,48"
Østfold Fremskrittsparti,1,100,Fylke,2011,15246,"12,9",5,2013,"48 107,00","428 412,60","476 519,60"
Østfold Unge Høyre,1,100,FylkesUngdom,2011,0,0,0,2013,"0,00","262 768,08","262 768,08"
Østfold Høyre,1,100,Fylke,2011,29591,"25,1",9,2013,"48 107,00","831 507,10","879 614,10"
Kystpartiets ungdom i Østfold,1,100,FylkesUngdom,2011,0,0,0,2013,"0,00","1 722,72","1 722,72"
Østfold Kristelig Folkepartis Ungdom,1,100,FylkesUngdom,2011,0,0,0,2013,"0,00","61 094,40","61 094,40"
Østfold Kristelig Folkeparti,1,100,Fylke,2011,6880,"5,8",2,2013,"48 107,00","193 328,00","241 435,00"
Østfold Kristent Samlingsparti,1,100,Fylke,2011,331,0,0,2013,"0,00","9 301,10","9 301,10"
Kystpartiet i Østfold,1,100,Fylke,2011,194,"0,2",0,2013,"0,00","5 451,40","5 451,40"
Miljøpartiet De Grønne,1,100,Fylke,2011,932,"0,8",0,2013,"0,00","26 189,20","26 189,20"
Østfold Pensjonistparti,1,100,Fylke,2011,1632,"1,4",0,2013,"0,00","45 859,20","45 859,20"
Østfold Rød Ungdom,1,100,FylkesUngdom,2011,0,0,0,2013,"0,00","11 943,60","11 943,60"
Østfold Senterungdom,1,100,FylkesUngdom,2011,0,0,0,2013,"0,00","56 530,08","56 530,08"
Østfold Senterparti,1,100,Fylke,2011,6366,"5,4",2,2013,"48 107,00","178 884,60","226 991,60"
Østfold SU,1,100,FylkesUngdom,2011,0,0,0,2013,"0,00","31 044,48","31 044,48"
Østfold SV,1,100,Fylke,2011,3496,3,1,2013,"48 107,00","98 237,60","146 344,60"
ØSTFOLD VENSTRE,1,100,Fylke,2011,4348,"3,7",1,2013,"48 107,00","122 178,80","170 285,80"
ØSTFOLD UNGE VENSTRE,1,100,FylkesUngdom,2011,0,0,0,2013,"0,00","38 610,24","38 610,24"
Halden Arbeiderparti,1,101,Kommune,2011,4479,"31,7",16,2013,"1 320,00","54 195,90","55 515,90"
Halden Fremskrittsparti,1,101,Kommune,2011,1185,"8,4",4,2013,"1 320,00","14 338,50","15 658,50"
Halden Høyre,1,101,Kommune,2011,4859,"34,4",18,2013,"1 320,00","58 793,90","60 113,90"
Halden KrF,1,101,Kommune,2011,660,"4,7",2,2013,"1 320,00","7 986,00","9 306,00"
Miljøpartiet De Grønne Halden,1,101,Kommune,2011,393,"2,8",1,2013,"1 320,00","4 755,30","6 075,30"
Pensjonistpartiet,1,101,Kommune,2011,191,"1,4",1,2013,"1 320,00","2 311,10","3 631,10"
Halden Rødt,1,101,Kommune,2011,175,"1,2",0,2013,"0,00","2 117,50","2 117,50"
Halden Senterparti,1,101,Kommune,2011,634,"4,5",2,2013,"1 320,00","7 671,40","8 991,40"
Halden Sv,1,101,Kommune,2011,535,"3,8",2,2013,"1 320,00","6 473,50","7 793,50"
HALDEN VENSTRE,1,101,Kommune,2011,805,"5,7",3,2013,"1 320,00","9 740,50","11 060,50"
Moss Arbeiderparti,1,104,Kommune,2011,5191,"34,9",14,2013,"1 320,00","62 811,10","64 131,10"
Moss Fremskrittsparti,1,104,Kommune,2011,1784,12,5,2013,"1 320,00","21 586,40","22 906,40"
