partinamn;fylkesnr;kummunenr;partitype;stemmer;relativdel;mandat;utbetalingsar;grunnstonad;stemmestonad;totalt
ØSTFOLD ARBEIDERPARTI;1;100;Fylkesparti;47298;40,1;15;2014;47 639,00;1 316 303,34;1 363 942,34
AUF i Østfold;1;100;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;415 749,42;415 749,42
DEMOKRATENE I NORGE ØSTFOLD FYLKES;1;100;Fylkesparti;244;0,2;0;2014;0,00;6 790,52;6 790,52
ØSTFOLD FRP;1;100;Fylkesparti;15246;12,9;5;2014;47 639,00;424 296,18;471 935,18
ØSTFOLD FREMSKRITTSPARTIS UNGDOM;1;100;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;134 012,34;134 012,34
Østfold Høyre;1;100;Fylkesparti;29591;25,1;9;2014;47 639,00;823 517,53;871 156,53
ØSTFOLD UNGE HØYRE;1;100;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;260 104,89;260 104,89
ØSTFOLD KRISTELIG FOLKEPARTI;1;100;Fylkesparti;6880;5,8;2;2014;47 639,00;191 470,40;239 109,40
Østfold Kristelig Folkepartis Ungdom;1;100;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;60 475,20;60 475,20
Østfold Kristent Samlingsparti;1;100;Fylkesparti;331;0;0;2014;0,00;9 211,73;9 211,73
KYSTPARTIET I ØSTFOLD;1;100;Fylkesparti;194;0,2;0;2014;0,00;5 399,02;5 399,02
MILJØPARTIET DE GRØNNE ØSTFOLD;1;100;Fylkesparti;932;0,8;0;2014;0,00;25 937,56;25 937,56
Grønn Ungdom Østfold;1;100;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;8 192,28;8 192,28
Rødt Østfold;1;100;Fylkesparti;1345;1,1;0;2014;0,00;37 431,35;37 431,35
Østfold Rød Ungdom;1;100;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;11 822,55;11 822,55
Østfold Senterparti;1;100;Fylkesparti;6366;5,4;2;2014;47 639,00;177 165,78;224 804,78
Østfold Senterungdom;1;100;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;55 957,14;55 957,14
ØSTFOLD SOSIALISTISK VENSTREPARTI;1;100;Fylkesparti;3496;3;1;2014;47 639,00;97 293,68;144 932,68
Østfold SU;1;100;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;30 729,84;30 729,84
Østfold Venstre;1;100;Fylkesparti;4348;3,7;1;2014;47 639,00;121 004,84;168 643,84
ØSTFOLD UNGE VENSTRE;1;100;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;38 218,92;38 218,92
HALDEN ARBEIDERPARTI;1;101;Kommuneparti;4479;31,7;16;2014;1 306,00;53 658,42;54 964,42
Halden FrP;1;101;Kommuneparti;1185;8,4;4;2014;1 306,00;14 196,30;15 502,30
Halden Høyre;1;101;Kommuneparti;4859;34,4;18;2014;1 306,00;58 210,82;59 516,82
Halden KrF;1;101;Kommuneparti;660;4,7;2;2014;1 306,00;7 906,80;9 212,80
Miljøpartiet De Grønne Halden;1;101;Kommuneparti;393;2,8;1;2014;1 306,00;4 708,14;6 014,14
Halden Pensjonistparti;1;101;Kommuneparti;191;1,4;1;2014;1 306,00;2 288,18;3 594,18
Rødt Halden;1;101;Kommuneparti;175;1,2;0;2014;0,00;2 096,50;2 096,50
Halden Senterparti;1;101;Kommuneparti;634;4,5;2;2014;1 306,00;7 595,32;8 901,32
Halden Venstre;1;101;Kommuneparti;805;5,7;3;2014;1 306,00;9 643,90;10 949,90
Moss Arbeiderparti;1;104;Kommuneparti;5191;34,9;14;2014;1 306,00;62 188,18;63 494,18
MOSS FRP;1;104;Kommuneparti;1784;12;5;2014;1 306,00;21 372,32;22 678,32
Moss Høyre;1;104;Kommuneparti;5535;37,3;15;2014;1 306,00;66 309,30;67 615,30
Moss KrF;1;104;Kommuneparti;384;2,6;1;2014;1 306,00;4 600,32;5 906,32
Rødt Moss;1;104;Kommuneparti;496;3,3;1;2014;1 306,00;5 942,08;7 248,08
Moss Venstre;1;104;Kommuneparti;645;4,3;2;2014;1 306,00;7 727,10;9 033,10
Sarpsborg Arbeiderparti;1;105;Kommuneparti;11121;48,1;21;2014;1 306,00;133 229,58;134 535,58
SARPSBORG FRP;1;105;Kommuneparti;3230;14;6;2014;1 306,00;38 695,40;40 001,40
Sarpsborg Høyre;1;105;Kommuneparti;4769;20,6;9;2014;1 306,00;57 132,62;58 438,62
Sarpsborg KrF;1;105;Kommuneparti;1346;5,8;3;2014;1 306,00;16 125,08;17 431,08
Kristent Samlingsparti Sarpsborg;1;105;Kommuneparti;49;0,2;0;2014;0,00;587,02;587,02
SARPSBORG PENSJONISTPARTI;1;105;Kommuneparti;574;2,5;1;2014;1 306,00;6 876,52;8 182,52
Rødt Sarpsborg;1;105;Kommuneparti;107;0,5;0;2014;0,00;1 281,86;1 281,86
Sarpsborg Senterparti;1;105;Kommuneparti;748;3,2;1;2014;1 306,00;8 961,04;10 267,04
Sarpsborg Venstre;1;105;Kommuneparti;625;2,7;1;2014;1 306,00;7 487,50;8 793,50
FREDRIKSTAD ARBEIDERPARTI;1;106;Kommuneparti;17644;49,2;26;2014;1 306,00;211 375,12;212 681,12
FREDRIKSTAD FRP;1;106;Kommuneparti;4972;13,9;7;2014;1 306,00;59 564,56;60 870,56
FREDRIKSTAD HØYRE;1;106;Kommuneparti;7168;20;11;2014;1 306,00;85 872,64;87 178,64
Fredrikstad KrF;1;106;Kommuneparti;1526;4,3;2;2014;1 306,00;18 281,48;19 587,48
Kristent Samlingsparti Fredrikstad;1;106;Kommuneparti;56;0,2;0;2014;0,00;670,88;670,88
PENSJONISTPARTIET FREDRIKSTAD;1;106;Kommuneparti;664;1,9;1;2014;1 306,00;7 954,72;9 260,72
Rødt Fredrikstad;1;106;Kommuneparti;236;0,7;0;2014;0,00;2 827,28;2 827,28
Fredrikstad Senterparti;1;106;Kommuneparti;667;1,9;1;2014;1 306,00;7 990,66;9 296,66
Hvaler Arbeiderparti;1;111;Kommuneparti;676;28,2;6;2014;1 306,00;8 098,48;9 404,48
HVALER FRP;1;111;Kommuneparti;770;32,1;7;2014;1 306,00;9 224,60;10 530,60
Hvaler Høyre;1;111;Kommuneparti;592;24,7;5;2014;1 306,00;7 092,16;8 398,16
Hvaler Senterparti;1;111;Kommuneparti;80;3,3;1;2014;1 306,00;958,40;2 264,40
Aremark Høyre;1;118;Kommuneparti;109;13,9;2;2014;1 306,00;1 305,82;2 611,82
Aremark KrF;1;118;Kommuneparti;119;15,2;3;2014;1 306,00;1 425,62;2 731,62
Aremark Senterparti;1;118;Kommuneparti;272;34,7;6;2014;1 306,00;3 258,56;4 564,56
Aremark Venstre;1;118;Kommuneparti;80;10,2;2;2014;1 306,00;958,40;2 264,40
Marker Fremskrittsparti;1;119;Kommuneparti;79;4,2;1;2014;1 306,00;946,42;2 252,42
Marker Høyre;1;119;Kommuneparti;254;13,5;3;2014;1 306,00;3 042,92;4 348,92
Marker KrF;1;119;Kommuneparti;243;12,9;3;2014;1 306,00;2 911,14;4 217,14
Marker Senterparti;1;119;Kommuneparti;422;22,4;6;2014;1 306,00;5 055,56;6 361,56
Rømskog Arbeiderparti;1;121;Kommuneparti;120;27,8;4;2014;1 306,00;1 437,60;2 743,60
RØMSKOG FRP;1;121;Kommuneparti;38;8,8;1;2014;1 306,00;455,24;1 761,24
Rømskog KrF;1;121;Kommuneparti;136;31,5;4;2014;1 306,00;1 629,28;2 935,28
Rømskog Senterparti;1;121;Kommuneparti;138;31,9;4;2014;1 306,00;1 653,24;2 959,24
Trøgstad Arbeiderparti;1;122;Kommuneparti;637;25,9;6;2014;1 306,00;7 631,26;8 937,26
TRØGSTAD FRP;1;122;Kommuneparti;354;14,4;3;2014;1 306,00;4 240,92;5 546,92
Trøgstad Høyre;1;122;Kommuneparti;384;15,6;3;2014;1 306,00;4 600,32;5 906,32
Trøgstad KrF;1;122;Kommuneparti;142;5,8;1;2014;1 306,00;1 701,16;3 007,16
Trøgstad Senterparti;1;122;Kommuneparti;875;35,5;8;2014;1 306,00;10 482,50;11 788,50
Trøgstad Venstre;1;122;Kommuneparti;70;2,8;0;2014;0,00;838,60;838,60
Spydeberg Arbeiderparti;1;123;Kommuneparti;628;24,4;5;2014;1 306,00;7 523,44;8 829,44
Spydeberg Fremskrittsparti;1;123;Kommuneparti;358;13,9;3;2014;1 306,00;4 288,84;5 594,84
Spydeberg Høyre;1;123;Kommuneparti;581;22,5;5;2014;1 306,00;6 960,38;8 266,38
Spydeberg KrF;1;123;Kommuneparti;289;11,2;3;2014;1 306,00;3 462,22;4 768,22
Spydeberg Senterparti;1;123;Kommuneparti;487;18,9;4;2014;1 306,00;5 834,26;7 140,26
Spydeberg Venstre;1;123;Kommuneparti;162;6,3;1;2014;1 306,00;1 940,76;3 246,76
Askim Arbeiderparti;1;124;Kommuneparti;2400;36,2;13;2014;1 306,00;28 752,00;30 058,00
ASKIM FRP;1;124;Kommuneparti;756;11,4;4;2014;1 306,00;9 056,88;10 362,88
Askim Høyre;1;124;Kommuneparti;2081;31,4;11;2014;1 306,00;24 930,38;26 236,38
Askim KrF;1;124;Kommuneparti;402;6,1;2;2014;1 306,00;4 815,96;6 121,96
Askim Senterparti;1;124;Kommuneparti;276;4,2;1;2014;1 306,00;3 306,48;4 612,48
Askim Venstre;1;124;Kommuneparti;222;3,3;1;2014;1 306,00;2 659,56;3 965,56
EIDSBERG FRP;1;125;Kommuneparti;383;7,6;3;2014;1 306,00;4 588,34;5 894,34
EIDSBERG HØYRE;1;125;Kommuneparti;2168;43,1;15;2014;1 306,00;25 972,64;27 278,64
Eidsberg KrF;1;125;Kommuneparti;296;5,9;2;2014;1 306,00;3 546,08;4 852,08
Eidsberg Senterparti;1;125;Kommuneparti;723;14,4;5;2014;1 306,00;8 661,54;9 967,54
Eidsberg Venstre;1;125;Kommuneparti;313;6,2;2;2014;1 306,00;3 749,74;5 055,74
Skiptvet Arbeiderparti;1;127;Kommuneparti;754;46,1;9;2014;1 306,00;9 032,92;10 338,92
SKIPTVET FRP;1;127;Kommuneparti;134;8,2;2;2014;1 306,00;1 605,32;2 911,32
Skiptvet Høyre;1;127;Kommuneparti;280;17,1;4;2014;1 306,00;3 354,40;4 660,40
Skiptvet KrF;1;127;Kommuneparti;142;8,7;2;2014;1 306,00;1 701,16;3 007,16
Skiptvet Senterparti;1;127;Kommuneparti;327;20;4;2014;1 306,00;3 917,46;5 223,46
Rakkestad Arbeiderparti;1;128;Kommuneparti;847;24,5;6;2014;1 306,00;10 147,06;11 453,06
RAKKESTAD FRP;1;128;Kommuneparti;325;9,4;2;2014;1 306,00;3 893,50;5 199,50
Rakkestad Høyre;1;128;Kommuneparti;299;8,7;2;2014;1 306,00;3 582,02;4 888,02
Rakkestad KrF;1;128;Kommuneparti;481;13,9;4;2014;1 306,00;5 762,38;7 068,38
Rakkestad Senterparti;1;128;Kommuneparti;896;26;7;2014;1 306,00;10 734,08;12 040,08
Rakkestad Venstre;1;128;Kommuneparti;550;15,9;4;2014;1 306,00;6 589,00;7 895,00
Råde Arbeiderparti;1;135;Kommuneparti;985;26,7;7;2014;1 306,00;11 800,30;13 106,30
RÅDE FRP;1;135;Kommuneparti;769;20,9;6;2014;1 306,00;9 212,62;10 518,62
Råde Høyre;1;135;Kommuneparti;821;22,3;6;2014;1 306,00;9 835,58;11 141,58
Råde KrF;1;135;Kommuneparti;308;8,4;2;2014;1 306,00;3 689,84;4 995,84
Råde Senterparti;1;135;Kommuneparti;432;11,7;3;2014;1 306,00;5 175,36;6 481,36
Råde Venstre;1;135;Kommuneparti;373;10,1;3;2014;1 306,00;4 468,54;5 774,54
RYGGE ARBEIDERPARTI;1;136;Kommuneparti;2194;31,2;8;2014;1 306,00;26 284,12;27 590,12
RYGGE FRP;1;136;Kommuneparti;1010;14,4;4;2014;1 306,00;12 099,80;13 405,80
RYGGE HØYREFORENING;1;136;Kommuneparti;1945;27,7;8;2014;1 306,00;23 301,10;24 607,10
Rygge KrF;1;136;Kommuneparti;368;5,2;1;2014;1 306,00;4 408,64;5 714,64
Rygge Pensjonistparti;1;136;Kommuneparti;236;3,4;1;2014;1 306,00;2 827,28;4 133,28
Rygge Senterparti;1;136;Kommuneparti;200;2,8;1;2014;1 306,00;2 396,00;3 702,00
Rygge Sv;1;136;Kommuneparti;323;4,6;1;2014;1 306,00;3 869,54;5 175,54
Rygge Venstre;1;136;Kommuneparti;719;10,2;3;2014;1 306,00;8 613,62;9 919,62
Våler FrP;1;137;Kommuneparti;406;19,2;4;2014;1 306,00;4 863,88;6 169,88
Våler Høyre i Østfold;1;137;Kommuneparti;532;25,1;5;2014;1 306,00;6 373,36;7 679,36
Våler KrF;1;137;Kommuneparti;150;7,1;2;2014;1 306,00;1 797,00;3 103,00
Våler Senterparti;1;137;Kommuneparti;564;26,6;6;2014;1 306,00;6 756,72;8 062,72
Hobøl Arbeiderparti;1;138;Kommuneparti;701;30,3;6;2014;1 306,00;8 397,98;9 703,98
HOBØL FRP;1;138;Kommuneparti;525;22,7;5;2014;1 306,00;6 289,50;7 595,50
Hobøl Høyre;1;138;Kommuneparti;429;18,5;4;2014;1 306,00;5 139,42;6 445,42
Hobøl KrF;1;138;Kommuneparti;140;6;1;2014;1 306,00;1 677,20;2 983,20
Hobøl Senterparti;1;138;Kommuneparti;214;9,2;2;2014;1 306,00;2 563,72;3 869,72
Hobøl Venstre;1;138;Kommuneparti;308;13,3;3;2014;1 306,00;3 689,84;4 995,84
AKERSHUS ARBEIDERPARTI;2;200;Fylkesparti;78489;31;14;2014;47 639,00;2 184 348,87;2 231 987,87
AUF i Akershus;2;200;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;689 918,31;689 918,31
DEMOKRATENE I NORGE AKERSHUS FYLKES;2;200;Fylkesparti;465;0,2;0;2014;0,00;12 940,95;12 940,95
AKERSHUS FRP;2;200;Fylkesparti;29922;11,8;5;2014;47 639,00;832 729,26;880 368,26
AKERSHUS FREMSKRITTSPARTIETS UNGDOM;2;200;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;263 014,38;263 014,38
AKERSHUS HØYRE;2;200;Fylkesparti;92055;36,4;17;2014;47 639,00;2 561 890,65;2 609 529,65
AKERSHUS UNGE HØYRE;2;200;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;809 163,45;809 163,45
AKERSHUS KRISTELIG FOLKEPARTI;2;200;Fylkesparti;8250;3,3;1;2014;47 639,00;229 597,50;277 236,50
Akershus Kristelig Folkepartis Ungdom;2;200;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;72 517,50;72 517,50
Akershus Kristent Samlingsparti;2;200;Fylkesparti;383;0;0;2014;0,00;10 658,89;10 658,89
KYSTPARTIET I AKERSHUS;2;200;Fylkesparti;214;0,1;0;2014;0,00;5 955,62;5 955,62
AKERSHUS MILJØPARTIET DE GRØNNE;2;200;Fylkesparti;3429;1,4;0;2014;0,00;95 429,07;95 429,07
GRØNN UNGDOM AKERSHUS;2;200;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;30 140,91;30 140,91
Rødt Akershus;2;200;Fylkesparti;2779;1,1;0;2014;0,00;77 339,57;77 339,57
Akershus Rød Ungdom;2;200;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;24 427,41;24 427,41
Akershus Senterparti;2;200;Fylkesparti;7629;3;1;2014;47 639,00;212 315,07;259 954,07
Akershus Senterungdom;2;200;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;67 058,91;67 058,91
AKERSHUS SV;2;200;Fylkesparti;10557;4,2;2;2014;47 639,00;293 801,31;341 440,31
AKERSHUS SOSIALISTISK UNGDOM;2;200;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;92 796,03;92 796,03
AKERSHUS VENSTRE;2;200;Fylkesparti;15790;6,2;3;2014;47 639,00;439 435,70;487 074,70
AKERSHUS UNGE VENSTRE;2;200;Fylkesungdomsorganisasjon;0;0;0;2014;0,00;138 794,10;138 794,10
