id;navn;fylke;kommune;addresse;aapningstider;lat;lon;url;sistEndret
66297;Rådhuset;Østfold;Aremark;1798 Aremark;08.00 - 15.00;59.222181;11.695783;http://valglokaler.no/valglokale-forhands/radhuset/;2015-06-30
66298;Løkentunet;Østfold;Askim;Løkenveien 16, 1813 Askim;;59.578806;11.171415;http://valglokaler.no/valglokale-forhands/lokentunet/;2015-06-30
66300;Servicetorget;Østfold;Askim;Askim rådhus,Skolegata 12, 1830 Askim;Åpningstid:  10.08.-11.09.2015: kl. 08.00-15.30    Utvidet åpningstid mandager og torsdager:  10.08.-11.09.2015: kl. 15.30-19.00;59.584476;11.1609456;http://valglokaler.no/valglokale-forhands/servicetorget/;2015-06-30
66301;Eidsberg bibliotek;Østfold;Eidsberg;Storgata 15, 1850 Mysen;Åpningstider :  mandag Stengt   tirs-tor 10.00 - 19.00   fredag 10.00 - 15.00   lørdag 10.00 - 14.00  Siste frist fredag 11.sept kl. 15.00;59.553323;11.330694;http://valglokaler.no/valglokale-forhands/eidsberg-bibliotek/;2015-06-30
66311;Servicetorget;Østfold;Fredrikstad;Nygaardsgate 16, Rådhuset, 1606 Fredrikstad;Åpningstider:  Uke 36 (31.08 -05.09):  kl. 08:00 – 18:00 mandag, tirsdag, onsdag  kl. 08:00 – 20:00 torsdag  kl. 08:00 – 15:30 fredag  kl. 12:00 – 15:00 lørdag     Uke 37 (07.09 – 11.09):  kl. 08:00 – 18:00 mandag, tirsdag, onsdag  kl. 08:00 – 20:00 torsdag  kl. 08:00 – 15:30 fredag;59.210325;10.940291;http://valglokaler.no/valglokale-forhands/servicetorget-2/;2015-09-01
66323;Halden Rådhus;Østfold;Halden;Storgt 8,Halden rådhus,NAV/Servicesenter, 1771 Halden;Hverdager man-fre 09.00-14.30 i tiden 10. august til og med fredag 11. september 2015.;59.122507;11.386748;http://valglokaler.no/valglokale-forhands/halden-radhus/;2015-06-30
66324;Tistasenteret;Østfold;Halden;Walkers gt 4, 1771 Halden;Valgdebatt og forhåndsstemmegivning lørdag 29. august 2015 kl. 10.00 -16.00 i Tistasenteret.;59.121393;11.381;http://valglokaler.no/valglokale-forhands/tistasenteret/;2015-06-30
66333;Servicetorget;Østfold;Hobøl;Elvestadveien 1000, 1827 Hobøl;Mandag - fredag kl 08.00-15.00    Langåpent:  7. september kl 08.00-18.30  9. september kl 08.00-18.30;59.622610;10.949717;http://valglokaler.no/valglokale-forhands/servicetorget-3/;2015-06-30
66335;Biblioteket;Østfold;Hobøl;Engen 2, 1825 Tomter;Bibliotekets ordinære åpningstider    (Sommertid 10. aug. - 31. aug.);59.659019;11.002192;http://valglokaler.no/valglokale-forhands/biblioteket/;2015-06-30
66336;Rådhuset;Østfold;Hvaler;Storveien 32, 1680 Skjærhalden;10.08. - 11.09.15:  mandag - fredag: kl. 08:00 - 15:30    Utvidet åpningstid:  Onsdag 02.09.15: kl. 08:00 - 20:00  Tirsdag 08.09.15: kl. 08:00 - 20:00;59.028148;11.031203;http://valglokaler.no/valglokale-forhands/radhuset-2/;2015-06-30
66339;Bibliotek;Østfold;Marker;Storgata 60, 1870 Ørje;10. august til 11. september mandag til fredag fra 08.00-15.00. 1.3.8.10. september fra 08.00-19.00 Lørdag 5. september: 10.00-13.00;59.479833;11.659087;http://valglokaler.no/valglokale-forhands/bibliotek/;2015-06-30
