id;navn;fylke;kommune;addresse;aapningstider;lat;lon;url;sistEndret
66296;Furulund;Østfold;Aremark;1798 Aremark;13.09.2015: kl 14:00-19:00, 14.09.2015: kl 09:00-19:00;59.246208;11.682766;http://valglokaler.no/valglokale/furulund/;2015-06-30
66299;Askim rådhus;Østfold;Askim;Skolegata 12, 1830 Askim;14.09.2015: kl 09:00-21:00;59.584476;11.1609456;http://valglokaler.no/valglokale/askim-radhus/;2015-06-30
66302;Eidsberghallen;Østfold;Eidsberg;Smedgata 19, 1850 Mysen;13.09.2015: kl 14:00-18:00, 14.09.2015: kl 10:00-21:00;59.554243;11.333685;http://valglokaler.no/valglokale/eidsberghallen/;2015-06-30
66303;Cicignon skole;Østfold;Fredrikstad;Skolegt. 2, 1606 Fredrikstad;13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-20:00;59.207175;10.951024;http://valglokaler.no/valglokale/cicignon-skole/;2015-06-30
66304;Trosvik skole;Østfold;Fredrikstad;Unnebergveien 19, 1613 Fredrikstad;13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-20:00;59.226084;10.926395;http://valglokaler.no/valglokale/trosvik-skole/;2015-06-30
66305;Tidl.rådhuset i Rolvsøy;Østfold;Fredrikstad;Råkollveien 103, 1664 Rolvsøy;13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-20:00;59.266623;11.004585;http://valglokaler.no/valglokale/tidl-radhuset-i-rolvsoy/;2015-06-30
66306;Torsnes skole;Østfold;Fredrikstad;Toresvei 2, 1634 Gamle Fredrikstad;13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-20:00;59.186261;11.049573;http://valglokaler.no/valglokale/torsnes-skole/;2015-06-30
66307;Vestbygda skole;Østfold;Fredrikstad;Lervikveien 9, 1626 Manstad;13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-20:00;59.266271;10.773128;http://valglokaler.no/valglokale/vestbygda-skole/;2015-06-30
66308;Rød skole;Østfold;Fredrikstad;Aaserudveien 17, 1621 Gressvik;13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-20:00;59.207286;10.884302;http://valglokaler.no/valglokale/rod-skole/;2015-06-30
66309;Borge skole;Østfold;Fredrikstad;Grimstadveien 3, 1655 Sellebakk;13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-20:00;59.225072;11.046642;http://valglokaler.no/valglokale/borge-skole/;2015-06-30
66310;Årum skole;Østfold;Fredrikstad;Kilevoldveien 22B, 1659 Torp;13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-20:00;59.261680;11.092718;http://valglokaler.no/valglokale/arum-skole/;2015-06-30
66312;Sagabakken skole;Østfold;Fredrikstad;Lundheim Alle 1, 1636 Gamle Fredrikstad;13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-20:00;59.218214;10.984319;http://valglokaler.no/valglokale/sagabakken-skole/;2015-06-30
66313;Trara skole;Østfold;Fredrikstad;Glemmengt. 70, 1605 Fredrikstad;13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-20:00;59.219454;10.938978;http://valglokaler.no/valglokale/trara-skole/;2015-06-30
66314;Rød skole;Østfold;Fredrikstad;Dueveien 2, 1679 Kråkerøy;13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-20:00;59.195190;10.910460;http://valglokaler.no/valglokale/rod-skole-2/;2015-06-30
66315;Begby skole;Østfold;Fredrikstad;Smaragdveien 4, 1639 Gamle Fredrikstad;13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-20:00;59.215655;11.010151;http://valglokaler.no/valglokale/begby-skole/;2015-06-30
66316;Nylende skole;Østfold;Fredrikstad;Ringstadbakken 15, 1667 Rolvsøy;13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-20:00;59.303570;10.974974;http://valglokaler.no/valglokale/nylende-skole/;2015-06-30
66317;Borgehallen;Østfold;Fredrikstad;Borgeveien 48, 1653 Sellebakk;13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-20:00;59.230747;11.001963;http://valglokaler.no/valglokale/borgehallen/;2015-06-30
66318;Gressvikhallen;Østfold;Fredrikstad;Granliveien 18 B, 1621 Gressvik;13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-20:00;59.226310;10.900697;http://valglokaler.no/valglokale/gressvikhallen/;2015-06-30
66319;Lisleby Samfunnshus;Østfold;Fredrikstad;Ole Hansensvei 9, 1619 Fredrikstad;13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-20:00;59.232024;10.972291;http://valglokaler.no/valglokale/lisleby-samfunnshus/;2015-06-30
66320;Lunde skole;Østfold;Fredrikstad;Lundebuen 14, 1676 Kråkerøy;13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-20:00;59.161825;10.932277;http://valglokaler.no/valglokale/lunde-skole/;2015-06-30
