"parti";"kandidatnummer";"kandidatnavn";"fødselsår";"stemmetillegg";"personstemmer";"slengere";"totalt";"status"
"Det norske Arbeidarparti";"01 x";"Lunden, Olav";"1955";"124,25";"129";"17";"270.25";"VALGT"
"Det norske Arbeidarparti";"02 x";"Dokken, Janne";"1969";"124,25";"82";"15";"221.25";"VALGT"
"Det norske Arbeidarparti";"03 x";"Navarsete, Henny-Kristin A";"1981";"124,25";"32";"8";"164.25";"VALGT"
"Det norske Arbeidarparti";"7";"Andersen, Jarle";"1958";"0";"140";"20";"160.00";"VALGT"
"Det norske Arbeidarparti";"5";"Dahle, Jonn Tobias";"1961";"0";"50";"33";"83.00";"VALGT"
"Det norske Arbeidarparti";"13";"Røysum, Svein";"1965";"0";"69";"14";"83.00";"VALGT"
"Det norske Arbeidarparti";"9";"Sjøthun, Bjarne Asperanden";"1972";"0";"44";"14";"58.00";"VALGT"
"Det norske Arbeidarparti";"4";"Lunde, Erlend Fardal";"1988";"0";"47";"3";"50.00";"VARA"
"Det norske Arbeidarparti";"15";"Odd, Jon Håkon";"1977";"0";"32";"6";"38.00";"VARA"
"Det norske Arbeidarparti";"14";"Kåsa, Bente";"1967";"0";"20";"0";"20.00";"VARA"
"Det norske Arbeidarparti";"6";"Osland, Silje";"1988";"0";"17";"2";"19.00";"VARA"
"Det norske Arbeidarparti";"11";"Rydningen, Ronny";"1968";"0";"16";"1";"17.00";"VARA"
"Det norske Arbeidarparti";"10";"Molland, Alison M L F";"1973";"0";"13";"3";"16.00";"VARA"
"Det norske Arbeidarparti";"18";"Odd, Ruth May";"1947";"0";"16";"0";"16.00";"VARA"
"Det norske Arbeidarparti";"8";"Borlaug, Lene";"1981";"0";"11";"4";"15.00";"VARA"
"Det norske Arbeidarparti";"17";"Lilleby, Finn Olav";"1946";"0";"11";"1";"12.00";"VARA"
"Det norske Arbeidarparti";"12";"Kristiansen, Wenche K Aas";"1959";"0";"7";"0";"7.00";"VARA"
"Det norske Arbeidarparti";"16";"Bustad, Cecilie Astrup";"1981";"0";"5";"0";"5.00";""
"Sosialistisk Venstreparti";"01 x";"Haugen, Jan Sigurd Riple";"1955";"31";"26";"13";"70.00";"VALGT"
"Sosialistisk Venstreparti";"02 x";"Ulveseth, Herdis";"1975";"31";"27";"9";"67.00";"VALGT"
"Sosialistisk Venstreparti";"03 x";"Aall, Carlo Leandro";"1962";"31";"21";"9";"61.00";"VARA"
"Sosialistisk Venstreparti";"6";"Aardal, Elise";"1955";"0";"6";"1";"7.00";"VARA"
"Sosialistisk Venstreparti";"7";"Husabø, Nils";"1949";"0";"4";"2";"6.00";"VARA"
"Sosialistisk Venstreparti";"12";"Solheim, Inger Johanne";"1953";"0";"3";"2";"5.00";"VARA"
"Sosialistisk Venstreparti";"4";"Hamre, Anna Helen";"1985";"0";"3";"1";"4.00";"VARA"
"Sosialistisk Venstreparti";"11";"Bolstad, Astrid Hammer";"1953";"0";"2";"2";"4.00";""
"Sosialistisk Venstreparti";"5";"Aall, Ørjan Kongsvik";"1992";"0";"3";"0";"3.00";""
"Sosialistisk Venstreparti";"8";"Sterri, Nora Kristin Eggum";"1960";"0";"1";"1";"2.00";""
"Sosialistisk Venstreparti";"9";"Farstad, Merete";"1964";"0";"2";"0";"2.00";""
"Sosialistisk Venstreparti";"10";"Skar, Rino Rolf";"1955";"0";"1";"0";"1.00";""
"Sosialistisk Venstreparti";"13";"Bolstad, Magnar";"1952";"0";"0";"0";"0.00";""
"Senterpartiet";"1";"Nesdal, Ole Simen";"1970";"0";"82";"41";"123.00";"VALGT"
"Senterpartiet";"2";"Bøyum, Anne Katrin";"1980";"0";"20";"18";"38.00";"VALGT"
"Senterpartiet";"4";"Ruud, Astrid Hilde";"1950";"0";"24";"7";"31.00";"VALGT"
"Senterpartiet";"3";"Råsberg, Sigbjørn";"1988";"0";"19";"9";"28.00";"VARA"
"Senterpartiet";"7";"Halsnes, Sigurd Henjum";"1992";"0";"20";"4";"24.00";"VARA"
"Senterpartiet";"9";"Røen, Kurab";"1977";"0";"12";"8";"20.00";"VARA"
