aar,yrke_grovgruppe,yrke_fingruppe,yrkeskode,yrke,yrkesbetegnelse,isco_versjon,antall_arbeidssokere
2002,Ingen yrkesbakgrunn eller uoppgitt,Ingen yrkesbakgrunn eller uoppgitt,0000,Uoppgitt eller yrker som ikke kan identifiseres,"Hjelpearbeider (privat/offentlig virksomhet), Medarbeider (uoppgitt arbeidsområde), Uoppgitt eller yrker som ikke kan identifiseres",ISCO-88,2270
2002,Ingen yrkesbakgrunn eller uoppgitt,Ingen yrkesbakgrunn eller uoppgitt,0009,KONVERTERT,KONVERTERT,ISCO-88,3789
2002,Serviceyrker og annet arbeid,"Yrker innen politi, brannvesen, toll og forsvar",0111,Menige,Menig,ISCO-88,737
2002,Serviceyrker og annet arbeid,"Yrker innen politi, brannvesen, toll og forsvar",0112,Befal I,Befal I,ISCO-88,134
2002,Serviceyrker og annet arbeid,"Yrker innen politi, brannvesen, toll og forsvar",0113,Befal II,Befal II,ISCO-88,28
2002,Ingen yrkesbakgrunn eller uoppgitt,Ingen yrkesbakgrunn eller uoppgitt,-1,UKJENT,UKJENT,Ukjent,5887
2002,Ledere,Politikere og toppledere ,1110,Politikere,*,ISCO-88,13
2002,Ledere,Politikere og toppledere ,1120,Toppledere i offentlig administrasjon,*,ISCO-88,17
2002,Ledere,Politikere og toppledere ,1141,Ledere i partipolitiske organisasjoner,Leder (partipolitiske organisasjoner),ISCO-88,13
2002,Ledere,Politikere og toppledere ,1142,Ledere i arbeidsgiver-/arbeidstakerorganisasjoner og økonomiske interesseorg,Leder (arb.giv.-/arb.tak.- og øk.inter.org.),ISCO-88,152
2002,Ledere,Politikere og toppledere ,1143,Ledere i humanitære organisasjoner og andre interesseorganisasjoner,Leder (humanitære- og andre interesseorganisasjoner),ISCO-88,189
2002,Ledere,Politikere og toppledere ,1210,Administrerende direktører,Administrerende direktør,ISCO-88,176
2002,Ingen yrkesbakgrunn eller uoppgitt,Ingen yrkesbakgrunn eller uoppgitt,1220,Produksjonsdirektører innen ikke-spesifisert næringsområde,Leder (uoppgitt næringsområde),ISCO-88,884
2002,"Jordbruk, skogbruk og fiske","Jordbruk, skogbruk og fiske",1221,"Produksjonsdirektører innen jordbruk, skogbruk og fiske","Leder (fiske), Leder (jordbruk), Leder (skogbruk)",ISCO-88,82
2002,"Helse, pleie og omsorg",Sosionomer og barnevernspedagoger,1222,"Produksjonsdirektører innen olje- og gassutvinning, bergverksdrift, industri,","Leder (bergverk), Leder (elektrisitet/kraftverk), Leder (industri, produksjon og teknisk virksomhet), Leder (oljevirksomhet)",ISCO-88,402
2002,Bygg og anlegg,Mellomledere innen bygg og anlegg,1223,Produksjonsdirektører innen bygge- og anleggsvirksomhet,Leder (bygg og anlegg),ISCO-88,133
