aar,yrkekode,yrke,ostfold,akershus,oslo,hedmark,oppland,buskerud,vestfold,telemark,aust_agder,vest_agder,rogaland,hordaland,sogn_fjordane,more_og_romsdal,trondelag,nordland,troms,finnmark,norge
2017,2223,Sykepleiere,425,300,275,75,125,150,150,100,100,200,350,325,50,200,275,200,125,150,3600
2017,7115,Tømrere og snekkere,75,75,250,100,50,150,100,125,25,0,0,425,25,100,175,150,400,50,2300
2017,3259,Andre helseyrker,50,25,100,0,0,100,50,0,25,100,200,200,25,175,375,125,125,25,1700
2017,2512,Programvareutviklere,0,25,1 400,0,0,0,0,0,0,0,50,25,25,0,75,0,0,0,1650
2017,5321,Helsefagarbeidere,175,75,325,0,0,50,0,100,0,25,25,200,25,25,25,275,50,75,1400
2017,5244,Telefon- og nettselgere,0,0,650,25,0,75,100,25,50,25,25,100,50,50,50,25,75,25,1350
2017,2519,Andre programvare- og applikasjonsutviklere,0,0,950,0,0,0,0,0,0,0,50,25,0,0,50,0,0,0,1100
2017,5120,Kokker,50,100,200,25,25,25,0,0,25,25,25,100,25,25,75,75,50,25,850
2017,5249,Andre salgsmedarbeidere,0,0,375,25,0,50,50,25,25,0,25,75,25,25,50,25,50,25,850
2017,2341,Grunnskolelærere,25,50,50,0,0,25,25,0,25,25,50,50,25,75,75,150,75,25,750
2017,7126,Rørleggere og VVS-montører,25,25,100,25,25,50,25,25,0,0,0,125,0,25,50,50,125,0,700
2017,8332,Lastebil- og trailersjåfører,25,25,100,25,50,50,25,25,0,0,0,50,0,0,50,175,25,0,600
2017,2212,Legespesialister,125,25,25,0,25,25,25,25,25,25,50,50,25,25,50,25,25,25,550
2017,7411,Elektrikere,75,25,25,25,25,50,0,25,25,0,0,75,0,25,25,75,0,100,550
2017,2224,Vernepleiere,50,25,25,0,25,25,25,25,25,25,50,25,0,25,25,25,25,25,450
2017,5131,Servitører,25,50,100,0,25,25,0,0,0,0,0,50,0,0,50,50,25,25,450
2017,5141,Frisører,25,50,100,0,25,25,0,0,0,0,0,50,0,0,50,25,25,25,450
2017,5311,Barnehage- og skolefritidsassistenter mv.,50,25,150,0,0,0,0,25,0,0,0,50,0,0,0,75,25,25,450
2017,7549,Andre håndverkere,25,0,75,0,25,25,50,0,0,25,75,25,25,25,50,25,0,25,450
2017,8342,Anleggsmaskinførere,0,25,75,0,25,25,0,25,0,0,0,25,25,0,25,150,25,0,450
2017,2221,Spesialsykepleiere,50,25,50,0,0,25,0,0,0,25,50,25,0,25,25,25,0,25,400
2017,7114,Betongarbeidere,0,0,50,25,0,25,25,25,0,0,0,50,0,0,25,25,50,0,350
2017,8331,Bussjåfører og trikkeførere,0,0,100,0,25,25,0,0,0,0,0,25,0,0,25,100,25,0,350
2017,5223,Butikkmedarbeidere,0,0,125,0,0,25,25,0,0,0,0,25,25,0,25,0,25,0,300
2017,5246,Gatekjøkken- og kafémedarbeidere mv.,0,0,150,0,0,25,25,0,0,0,0,25,0,25,25,0,25,0,300
2017,7131,Malere og byggtapetserere,0,25,25,0,0,25,25,25,0,0,0,50,0,0,25,25,50,0,300
2017,2142,Sivilingeniører (bygg og anlegg),0,75,50,0,0,0,25,0,0,0,0,0,0,0,25,0,0,25,250
2017,2342,Førskolelærere,0,25,25,0,0,0,0,0,0,0,25,0,0,25,25,50,25,0,250
2017,5169,Andre personlige tjenesteytere,25,25,75,0,0,0,0,0,0,0,0,25,0,0,25,25,25,0,250
2017,7233,Anleggsmaskin- og industrimekanikere,25,25,25,0,0,25,0,0,0,0,0,25,25,0,75,25,25,0,250
2017,8322,"Bil-, drosje- og varebilførere",0,0,50,0,25,25,0,0,0,0,0,25,0,0,25,75,25,0,250
2017,9112,Renholdere i bedrifter,0,25,50,0,0,25,25,0,0,0,25,0,0,0,50,0,25,25,250
2017,2330,Lektorer mv. (videregående skole),0,0,25,0,0,0,0,0,0,0,25,0,0,25,25,50,25,0,200
2017,2352,Spesiallærere / spesialpedagoger,0,0,25,0,0,0,0,0,0,0,25,0,0,25,25,25,25,0,200
2017,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0,25,100,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,200
2017,2511,Systemanalytikere/-arkitekter,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
2017,3211,Radiografer mv.,0,0,0,0,0,0,0,0,0,0,25,25,0,25,50,25,0,0,200
2017,3513,"Nettverks- og systemteknikere, IKT",0,0,125,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,200
2017,7212,Sveisere,0,25,0,0,0,25,0,0,0,0,0,25,0,0,50,25,25,0,200
2017,7214,Platearbeidere,0,25,0,0,0,0,0,0,0,0,0,25,25,0,50,25,25,0,200
2017,7231,Bilmekanikere,25,25,0,0,0,25,0,0,0,0,0,25,0,0,50,25,25,0,200
2017,2310,Universitets- og høyskolelektorer/-lærere,0,0,25,0,0,0,0,0,0,0,25,25,0,25,25,25,25,0,150
2017,2320,Yrkesfaglærere,0,0,25,0,0,0,0,0,0,0,25,0,0,25,25,25,25,0,150
2017,2359,Andre lærere,0,0,25,0,0,0,0,0,0,0,0,0,0,25,25,25,25,0,150
2017,2411,"Revisorer, regnskapsrådgivere",0,0,75,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,150
2017,5242,Demonstrasjonsselgere,0,0,50,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,150
2017,5329,Andre pleiemedarbeidere,0,25,25,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,150
2017,7112,Murere,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,150
2017,7119,Andre bygningsarbeidere,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,150
2017,7123,Gips- og sparklingsarbeidere,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,150
2017,1219,Andre administrative ledere,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2017,1323,Ledere av bygge- og,0,0,25,0,0,0,0,0,0,0,0,25,25,0,0,25,0,0,100
2017,1345,Ledere av utdanning og undervisning,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2017,1412,Restaurantsjefer,0,0,25,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,100
2017,1439,Andre daglige ledere i tjenesteytende virksomheter,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,100
2017,2353,Andre språklærere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,100
2017,2514,Applikasjonsprogrammerere,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2017,3112,Bygningsingeniører,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,100
2017,3115,Maskiningeniører,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,100
2017,3119,Andre ingeniører,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,100
2017,3123,"Arbeidsleder, bygg og anlegg",0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,100
2017,3256,Helsesekretærer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,100
2017,3423,Sports- og aktivitetsinstruktører,0,25,0,0,0,0,50,0,0,0,0,0,0,0,25,0,25,0,100
2017,4110,Kontormedarbeidere,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,100
2017,4311,Regnskapsmedarbeidere,0,0,25,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,100
2017,5243,Dørselgere,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2017,7125,Glassarbeidere,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,100
2017,7132,Overflatebehandlere og lakkerere,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,100
2017,7213,Kopper- og blikkenslagere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,0,100
2017,7222,"Verktøymaker, låsesmeder mv.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,100
2017,7511,"Slaktere, fiskehandlere mv.",0,0,25,0,0,0,25,0,0,0,25,0,0,0,25,0,0,0,100
2017,7522,Møbelsnekkere,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,100
2017,9329,Andre hjelpearbeidere i industri,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,100
2017,9412,Kjøkkenassistenter,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,100
2017,1211,Finans- og økonomisjefer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,1221,Salgs- og markedssjefer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,1321,Ledere av industriproduksjon mv.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,1324,Ledere av logistikk og transport mv.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,1343,Ledere av eldreomsorg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,1349,Andre ledere av produksjon og tjenesteyting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,1431,"Sports-, rekreasjons- og kultursenterledere",0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,50
2017,2152,Sivilingeniører (elektronikk),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,2211,Allmennpraktiserende leger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,2351,Spesialister i pedagogikk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,2421,Organisasjonsrådgivere mv.,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,2431,Reklame- og markedsføringsrådgivere,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,2433,Salgskonsulenter innen tekniske og medisinske produkter,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,2529,Sikkerhetsanalytikere mv.,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,2632,"Rådgivere/forskere, samfunns-vitenskap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,2634,Psykologer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2017,3113,Elkraftingeniører,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
