shortname,name,content
aar,Årstall,
video_url,Nettadressen til videoklipp,
kommune,Kommune,
tittel,Tittel,
tema,Tema for innslaget,
hva_er_spesielt,Hva er spesielt,
folelse,Følelse i innslaget,
antrekk,Antrekk,
type_bygg_og_industri,Type bygg og industri,
type_historisk,Type historisk,
type_natur_og_idrett,Type natur og idrett,
type_kunst_og_haandverk,Type kunst og håndverk,
type_idrett_og_fysisk_aktivitet,Type idrett og fysisk aktivitet,
tema_samlere_entusiaster_og_oppfinnere,Tema samlere entusiaster og oppfinnere,
tema_vitenskap,Tema vitenskap,
relasjoner,Relasjoner,
type_musikere,Type musikere,
type_mat,Type mat,
type_dyr,Type dyr,
antall_menn,Antall menn,
antall_kvinner,Antall kvinner,
tema_natur_og_friluftsliv,Tema natur og friluftsliv,
tema_kjop_og_salg,Tema kjøp og salg,
type_landbruk_og_fiske,Type landbruk og fiske,
offentlige_tjenester_og_veldedighet,Offentlige tjenester og veldedighet,
hovedperson1_kjonn,Hovedperson1 kjønn,
hovedperson2_kjonn,Hovedperson2 kjønn,
hovedperson3_kjonn,Hovedperson3 kjønn,
hovedperson1_alder,Hovedperson1 alder,
hovedperson2_alder,Hovedperson2 alder,
hovedperson3_alder,Hovedperson3 alder,
tema_politikk_og_media,Tema politikk og media,
