aar,video_url,kommune,tittel,tema,hva_er_spesielt,folelse,antrekk,type_bygg_og_industri,type_historisk,type_natur_og_idrett,type_kunst_og_haandverk,type_idrett_og_fysisk_aktivitet,tema_samlere_entusiaster_og_oppfinnere,tema_vitenskap,relasjoner,type_musikere,type_mat,type_dyr,antall_menn,antall_kvinner,tema_natur_og_friluftsliv,tema_kjop_og_salg,type_landbruk_og_fiske,offentlige_tjenester_og_veldedighet,hovedperson1_kjonn,hovedperson2_kjonn,hovedperson3_kjonn,hovedperson1_alder,hovedperson2_alder,hovedperson3_alder,tema_politikk_og_media
1976,https://tv.nrk.no/serie/norge-rundt/FREP45004676/02-10-1976#t=2m7s,Bergen,Rypejakt,Natur og friluftsliv,,,Caps,,,,,,,,,,,,4,,Jakt,,,,Mann,Mann,,10 til 15,40 til 50,,
1976,https://tv.nrk.no/serie/norge-rundt/FREP45004676/02-10-1976#t=5m57s,Sirdal,Kraftutbygging,Bygg og industri,,,Hjelm,"Anlegg, Kraftproduksjon",,,,,,,,,,,1,,,,,,Mann,,,40 til 50,,,
1976,https://tv.nrk.no/serie/norge-rundt/FREP45004676/02-10-1976#t=10m14s,Øksnes,Fraflyttingstilskudd,Politikk,,,"Caps, Slips",,,,,,,,,,,,,,,,,,,,,,,,"Distriktspolitikk, Samferdselspolitikk"
1976,https://tv.nrk.no/serie/norge-rundt/FREP45004676/02-10-1976#t=18m14s,Orkdal,Trønderlån,Kunst og Håndverk,,,,,,,Restaurering og reparasjon,,,,,,,,,2,,,,,Kvinne,Kvinne,,40 til 50,40 til 50,,
1976,https://tv.nrk.no/serie/norge-rundt/FREP45004676/02-10-1976#t=22m29s,Finnøy,Dyrking av tomater,Landbruk og fiske,,,,,,,,,,,,,,,3,,,,"Grønnsaker og urter, Tomat",,Mann,Mann,,30 til 40,40 til 50,,
1976,https://tv.nrk.no/serie/norge-rundt/FREP45004676/02-10-1976#t=26m26s,Østre Toten,Nydyrking,Landbruk og fiske,,,Caps,,,,,,,,,,,,1,,,,Åker og jorder og nydyrking,,Mann,,,40 til 50,,,
1976,https://tv.nrk.no/serie/norge-rundt/FREP45004676/02-10-1976#t=30m29s,Stranda,Etter turistsesongen,Natur og friluftsliv,Spesiell latter,,"Caps, Hjelm",,,,,,,,,,,,3,,Turisme,,,,Mann,Mann,,30 til 40,80 til 90,,
1976,https://tv.nrk.no/serie/norge-rundt/FREP45004676/02-10-1976#t=34m51s,Bergen,Bomullsveveri,Bygg og industri,,,"Caps, Slips",Tekstilproduksjon,,,,,,,,,,,10,1,,,,,Mann,,,40 til 50,,,
1976,https://tv.nrk.no/serie/norge-rundt/FREP45004676/02-10-1976#t=38m41s,Øvre Eiker,Elgjakt,Natur og friluftsliv,,,Caps,,,,,,,,,,,,,1,Jakt,,,,Kvinne,,,40 til 50,,,
1976,https://tv.nrk.no/serie/norge-rundt/FREP45004776/16-10-1976#t=28s,Bodø,Havørner,Dyr,,,Hatt,,,,,,,,,,,"Fugl, Ørn",3,,,,,,,,,,,,
1976,https://tv.nrk.no/serie/norge-rundt/FREP45004776/16-10-1976#t=9m42s,Ullensvang,Eplehøsten,Landbruk og fiske,,,"Slips, Sydvest",,,,,,,,,,,,2,7,,,"Eple, Frukt",,Kvinne,,,40 til 50,,,
1976,https://tv.nrk.no/serie/norge-rundt/FREP45004776/16-10-1976#t=15m49s,Vardø,Rognebærtreet på Vardøhus festning,Natur og friluftsliv,,,"Hatt, Uniform",,,,,,,,,,,,3,,Trær,,,,Mann,,,50 til 60,,,
