navn,sum-operator,sum-myndighet,avvik-operator,avvik-myndighet,avklart,uavklart
A/S Norske Shell,34680,34680,,,,
BG Norge AS,34996,41967,-6971,,-6971,
BP Norge AS,47980,57940,-9960,,-9960,
ConocoPhillips Skandinavia AS,89220,109332,-20112,,-20112,
Det norske oljeselskap ASA,49621,49471,150,,150,
Det norske oljeselskap AS,14640,14640,,,,
Dong E&P Norge AS,62235,62237,-2,,-2,
Eni Norge AS,91875,133607,-41732,,-41732,
ExxonMobil Exploration and Production Norway AS,15660,15660,,,,
Hess Norge AS,2520,2520,,,,
Lundin Norway AS,70269,70247,22,,22,
Maersk Oil PL 018C Norway AS,960,960,,,,
Marathon Petroleum Norge AS,4376,,4376,,4376,
Marathon Petroleum Company Norway,20400,24776,-4376,,-4376,
RWE Dea Norge AS,,19786,-19786,,-19786,
Statoil ASA,632441,616408,16033,,16033,
Svenska Petroleum Exploration AS,4320,,4320,,4320,
Talisman Energy Norge AS,46654,46657,-3,,-3,
Total E&P Norge AS,101100,101100,,,,
VNG Norge AS,28920,57858,-28938,,-28938,
Wintershall Norge ASA,10098,10098,,,,
