navn,sum-rettighetshaver,sum-myndighet,avvik-rettighetshaver,avvik-myndighet,avklart,uavklart
Altinex Oil Norway,346494,346527,-33,,-33,
"AS Norske Shell"";6966186""",6966186,,,,
Bayerngas Norge AS,-137005,-137005,,,,
Bayerngas Produksjon Norge AS,-165548,-165548,,,,
BG Norge AS (inkl BG Norge Limited),-936421,-936421,,,,
BP Norge AS,735192,735193,-1,,-1,
Bridge Energy AS,-45935,-45935,,,,
Centrica Resources Norge AS (inkl Centrica Energi),477344,460971,16373,,16373,
Chevron Norge AS,473054,424427,48627,,48627,
Concedo ASA,-51111,-51111,,,,
ConocoPhillips Skandinavia AS,13519350,13519350,,,,
Dana Petroleum Norway AS,72025,84575,-12550,,-12550,
Det norske oljeselskap ASA,-199710,-199710,,,,
Det norske oljeselskap AS,-384014,-384014,,,,
Dong E&P Norge AS,573395,573395,,,,
E.ON Ruhrgas Norge AS,236805,234243,2562,,2562,
Edison International SpA Norway Branch,-42318,-42318,,,,
Eni Norge AS,7490676,7491173,-497,,-497,
Enterprise Oil Norge AS,792617,792617,,,,
Excel Expro Norge AS,-22282,-22282,,,,
ExxonMobil Exploration and Production Norway AS (inkl ExxonMobil Production Norway Inc),29570911,29570911,,,,
Faroe Petroleum Norge AS,-314886,-314886,,,,
Front Exploration AS,-252128,-252127,-1,,-1,
GDF SUEZ E&P Norge AS,-3085,-3085,,,,
Genesis Petroleum Norway AS,-82318,-82318,,,,
Hess Norge AS,-255026,-255008,-18,,-18,
Idemitsu Petroleum Norge AS,1529005,1529005,,,,
Lotos Exploration & Production Norge AS,-19415,-19415,,,,
Lundin Norway AS,-398699,-398699,,,,
Maersk Oil Norway AS,-354184,-354346,162,,162,
Maersk Oil PL 018C Norway AS,-406,-406,,,,
Marathon Petroleum Norge AS,-133563,-133563,,,,
Marathon Petroleum Company Norway,438000,438000,,,,
Nexen Exploration Norge AS,-404929,-404929,,,,
Norpipe Oil AS,164200,164200,,,,
Norsea Gas AS,374154,362688,11466,,11466,
Norske AEDC AS,,2380,-2380,,-2380,
North Energy ASA,-98221,-101087,2866,,2866,
Norwegian Energy Company AS - Noreco,-534622,-534622,,,,
OMV (Norge) AS,-155847,-155847,,,,
Petoro AS,,,,,,
Petro-Canada Norge AS,-158724,-163355,4631,,4631,
Petrofac Norge AS,,-217,217,,217,
PGNiG Norway AS,-35187,-35187,,,,
Premier Oil Norge AS,-65520,-65520,,,,
Repsol Exploration Norge AS (inkl Repsol Exploration SA),-56707,-56707,,,,
Rocksource ASA,-115032,-115032,,,,
RWE Dea Norge AS,32378,33378,-1000,,-1000,
Sagex Petroleum ASA,-64529,-64529,,,,
Skagen 44 AS,-7419,-7428,9,,9,
Skeie Energy AS,-135057,-135057,,,,
Skeie Oil&Gas AS,-43303,-43302,-1,,-1,
Spring Energy Norway AS,-131700,-131700,,,,
Spring Energy Exploration AS,-53138,-53138,,,,
Statoil Petroleum AS (inkl Statoil ASA),91824792,91824791,1,,1,
Svenska Petroleum Exploration AS,1713,-67437,69150,,69150,
Talisman Energy Norge AS,260721,260721,,,,
Total E&P Norge AS,15532499,15532499,,,,
VNG Norge AS,7856,2032,5824,,5824,
Wintershall Norge ASA,-447203,-447203,,,,
Wintershall Norge AS,,,,,,
Wintershall Norge NUF,-288446,-288446,,,,
Shell International Pipelines Inc,558615,558615,,,,
4Sea Energy AS,-5024,-5024,,,,
