navn;sum-rettighetshaver;sum-myndighet;avvik-rettighetshaver;avvik-myndighet;avklart;uavklart
Altinex Oil Norway;346494;346527;-33;;-33;
AS Norske Shell;7026377;7027638;792;-2054;-1262;
Bayerngas Norge AS;-137005;-137005;;;;
Bayerngas Produksjon Norge AS;-165548;-165548;;;;
BG Norge AS (inkl BG Norge Limited);-900219;-892962;-7257;;-7257;
BP Norge AS;851496;861457;-9961;;-9961;
Bridge Energy AS;-45735;-45935;200;;200;
Centrica Resources Norge AS (inkl Centrica Energi);477344;460971;16373;;16373;
Chevron Norge AS;473054;424427;48627;;48627;
Concedo ASA;-51111;-51111;;;;
ConocoPhillips Skandinavia AS;13818585;13833361;-14776;;-14776;
Dana Petroleum Norway AS;84301;84575;-274;;-274;
Det norske oljeselskap ASA;-150089;-150239;150;;150;
Det norske oljeselskap AS;-369374;-369374;;;;
Dong E&P Norge AS;638672;638886;-214;;-214;
E.ON Ruhrgas Norge AS;236805;234243;2562;;2562;
Edison International SpA Norway Branch;-42318;-42318;;;;
Eni Norge AS;7582551;7624780;-42229;;-42229;
Enterprise Oil Norge AS;792617;792617;;;;
Excel Expro Norge AS;-22282;-22282;;;;
ExxonMobil Exploration and Production Norway AS (inkl ExxonMobil Production Norway Inc);29613916;29626750;-12834;;-12834;
Faroe Petroleum Norge AS;-314886;-314886;;;;
Front Exploration AS;-252128;-252127;-1;;-1;
GDF SUEZ E&P Norge AS;-3085;-3085;;;;
Genesis Petroleum Norway AS;-82318;-82318;;;;
Hess Norge AS;-252506;-252488;-18;;-18;
Idemitsu Petroleum Norge AS;1529005;1529005;;;;
Lotos Exploration & Production Norge AS;-19415;-19415;;;;
Lundin Norway AS;-328430;-328452;22;;22;
Maersk Oil Norway AS;-354184;-354346;162;;162;
Maersk Oil PL 018C Norway AS;554;554;;;;
Marathon Petroleum Norge AS;-129187;-133563;4376;;4376;
Marathon Petroleum Company Norway;506161;513368;-7195;-12;-7207;
Nexen Exploration Norge AS;-404929;-404929;;;;
Norpipe Oil AS;164200;164200;;;;
Norsea Gas AS;374154;362688;11466;;11466;
Norske AEDC AS;;2380;-2380;;-2380;
North Energy ASA;-98221;-101087;2866;;2866;
Norwegian Energy Company AS - Noreco;-534622;-534622;;;;
OMV (Norge) AS;-155847;-155847;;;;
Petoro AS;96991752;96991752;;;;
Petro-Canada Norge AS;-157838;-163355;5517;;5517;
Petrofac Norge AS;;-217;;217;217;
PGNiG Norway AS;-35187;-35187;;;;
Premier Oil Norge AS;-65520;-65520;;;;
Repsol Exploration Norge AS (inkl Repsol Exploration SA);-56707;-56707;;;;
Rocksource ASA;-115032;-115032;;;;
RWE Dea Norge AS;32378;53164;-20786;;-20786;
Sagex Petroleum ASA;-64529;-64529;;;;
Skagen 44 AS;-7419;-7428;9;;9;
Skeie Energy AS;-135057;-135057;;;;
Skeie Oil&Gas AS;-43303;-43302;-1;;-1;
Spring Energy Norway AS;-131700;-131700;;;;
Spring Energy Exploration AS;-53138;-53138;;;;
Statoil Petroleum AS (inkl Statoil ASA);94523725;94294111;229978;-364;229614;
Svenska Petroleum Exploration AS;6033;-67437;73470;;73470;
Talisman Energy Norge AS;328435;328441;-6;;-6;
Total E&P Norge AS;15633599;15633599;;;;
VNG Norge AS;37774;60888;-23114;;-23114;
Wintershall Norge ASA;-449771;-443570;-6201;;-6201;
Wintershall Norge AS;;;;;;
Wintershall Norge NUF;-288446;-288446;;;;
Shell International Pipelines Inc;558615;558615;;;;
4Sea Energy AS;-5024;-5024;;;;
Ikke rettighetshavere - rapportert av Oljedirektoratet;;3385;;-3385;-3385;
