navn;sum-rettighetshaver;sum-myndighet;avvik-rettighetshaver;avvik-myndighet;avklart;uavklart
4Sea Energy AS;-3941;-5038;1097;0;1097;0
A/S Norske Shell;9368192;9368192;0;0;0;0
Agora Oil & Gas AS;-32092;-32092;0;0;0;0
Altinex Oil Norway AS;105173;105173;0;0;0;0
Bayerngas Norge AS;-545019;-545019;0;0;0;0
Bayerngas Produksjon Norge AS;0;0;0;0;0;0
BG Norge AS;-1220538;-1220538;0;0;0;0
BP Norge AS;541041;541041;0;0;0;0
Bridge Energy Norge AS;-141840;-141840;0;0;0;0
Centrica Resources (Norge) AS;353999;354000;-1;0;-1;0
Chevron Norge AS;246081;245726;355;0;355;0
Concedo ASA;-83429;-83429;0;0;0;0
ConocoPhillips Skandinavia AS;15157183;15158371;-1188;0;-1188;0
Dana Petroleum Norway AS;-68343;-67292;-1051;0;-1051;0
Det norske oljeselskap ASA;-2256144;-2300036;43892;0;43892;0
Det norske oljeselskap AS;-67427;-68739;1312;0;1312;0
DONG E&P Norge AS;1743717;1743717;0;0;0;0
E.ON E&P Norge AS;-242115;-242115;0;0;0;0
Edison International Norway Branch;-158298;-158298;0;0;0;0
Eni Norge AS;9309843;9309843;0;0;0;0
E&P Holding AS ;-32906;-32906;0;0;0;0
Enterprise Oil Norge AS;795364;795364;0;0;0;0
ExxonMobil Exploration & Production Norway AS;33610336;33655138;-44802;0;-44802;0
Faroe Petroleum Norge AS;-255316;-260282;4966;0;4966;0
Fortis Petroleum Norway AS ;-36135;-36135;0;0;0;0
Front Exploration AS;-96879;-98764;1885;0;1885;0
GDF SUEZ E&P Norge AS;677382;677382;0;0;0;0
Genesis Petroleum Norway AS;0;0;0;0;0;0
Hess Norge AS;98482;98482;0;0;0;0
Idemitsu Petroleum Norge AS;1345589;1345589;0;0;0;0
Lotos Exploration and Production Norge AS;-50759;-50759;0;0;0;0
Lundin Norway AS;833520;833520;0;0;0;0
Maersk Oil Norway AS;-351294;-351294;0;0;0;0
Maersk Oil PL 018C Norway AS;-292;-444;152;0;152;0
Marathon Oil Norge AS;9087221;9087221;0;0;0;0
Nexen Exploration Norge AS;-287164;-287164;0;0;0;0
Njord Gas Infrastructure AS;338510;338510;0;0;0;0
Norpipe Oil AS;103807;103807;0;0;0;0
Norsea Gas AS;279356;279039;317;0;317;0
Norske AEDC A/S;-61476;-61477;1;0;1;0
North Energy ASA ;-335309;-342576;7267;0;7267;0
Norwegian Energy Company ASA;-722075;-722075;0;0;0;0
OMV (Norge) AS;-207035;-207035;0;0;0;0
Petoro AS;0;0;0;0;0;0
PGNiG Norway AS;-416169;-416169;0;0;0;0
Premier Oil Norge AS;-169341;-169341;0;0;0;0
Repsol Exploration Norge AS;-131570;-131570;0;0;0;0
Rocksource ASA;-163289;-163289;0;0;0;0
RWE Dea Norge AS;261151;261151;0;0;0;0
Sagex Petroleum ASA;-27104;-27104;0;0;0;0
Skagen44 AS;-37932;-38670;738;0;738;0
Skeie Energy AS;-69759;-69759;0;0;0;0
Spring Energy Exploration AS;-32269;-32269;0;0;0;0
Spring Energy Norway AS;-365143;-365143;0;0;0;0
Statoil Petroleum AS;107598744;107598744;0;0;0;0
Suncor Energy Norge AS;-672656;-672656;0;0;0;0
Svenska Petroleum Exploration AS;-73788;-73788;0;0;0;0
Talisman Energy Norge AS;1477262;1491458;-14196;0;-14196;0
Total E&P Norge AS;22790130;22790131;-1;0;-1;0
VNG Norge AS;-153940;-153940;0;0;0;0
Wintershall Norge AS;-22655;-22655;0;0;0;0
Wintershall Norge ASA;-593471;-593471;0;0;0;0
Wintershall Norge NUF;0;0;0;0;0;0
Shell International Pipelines Inc.;0;0;0;0;0;0
