"navn";"sum-rettighetshaver";"sum-myndighet";"avvik-rettighetshaver";"avvik-myndighet";"avklart";"uavklart"
4Sea Energy AS;-3941;-5038;1097;0;1097;0
A/S Norske Shell;9448586;9444677;18836;-14927;3909;0
Agora Oil & Gas AS;-32092;-32092;0;0;0;0
Altinex Oil Norway AS;105173;105173;0;0;0;0
Bayerngas Norge AS;-545019;-545019;0;0;0;0
Bayerngas Produksjon Norge AS;0;0;0;0;0;0
BG Norge AS;-1177637;-1167734;-9760;-143;-9903;0
BP Norge AS;698209;700199;-1990;0;-1990;0
Bridge Energy Norge AS;-141395;-141840;445;0;445;0
Centrica Resources (Norge) AS;353999;354000;-1;0;-1;0
Chevron Norge AS;250282;245726;4556;0;4556;0
Concedo ASA;-82151;-83429;1278;0;1278;0
ConocoPhillips Skandinavia AS;15473593;15474759;-1166;0;-1166;0
Dana Petroleum Norway AS;-68343;-67292;-1051;0;-1051;0
Det norske oljeselskap ASA;-67427;-68739;1312;0;1312;0
Det norske oljeselskap AS;-2180937;-2224829;43892;0;43892;0
DONG E&P Norge AS;1760458;1758357;2101;0;2101;0
E.ON E&P Norge AS;-242115;-242115;0;0;0;0
Edison International Norway Branch;-158516;-158298;-218;0;-218;0
Eni Norge AS;9406804;9403727;0;3077;3077;0
E&P Holding AS ;-32906;-32906;0;0;0;0
Enterprise Oil Norge AS;795364;795364;0;0;0;0
ExxonMobil Exploration & Production Norway AS;33661878;33706600;-45442;720;-44722;0
Faroe Petroleum Norge AS;-255316;-260282;4966;0;4966;0
Fortis Petroleum Norway AS ;-36135;-36135;0;0;0;0
Front Exploration AS;-96879;-98764;1885;0;1885;0
GDF SUEZ E&P Norge AS;702840;703034;-194;0;-194;0
Genesis Petroleum Norway AS;0;0;0;0;0;0
Hess Norge AS;84551;84551;0;0;0;0
Idemitsu Petroleum Norge AS;1345589;1345589;0;0;0;0
Lotos Exploration and Production Norge AS;-50759;-50759;0;0;0;0
Lundin Norway AS;859104;857796;1308;0;1308;0
Maersk Oil Norway AS;-345054;-345054;0;0;0;0
Maersk Oil PL 018C Norway AS;-292;516;-808;0;-808;0
Marathon Oil Norge AS;9118102;9118102;0;0;0;0
Nexen Exploration Norge AS;-286575;-286575;0;0;0;0
Njord Gas Infrastructure AS;338510;338510;0;0;0;0
Norpipe Oil AS;103807;103807;0;0;0;0
Norsea Gas AS;279356;279039;317;0;317;0
Norske AEDC A/S;-61476;-61477;1;0;1;0
North Energy ASA ;-335309;-342576;7267;0;7267;0
Norwegian Energy Company ASA;-721834;-702772;-19062;0;-19062;0
OMV (Norge) AS;-206632;-206632;0;0;0;0
Petoro AS;128083414;128083414;0;0;0;0
PGNiG Norway AS;-416169;-416169;0;0;0;0
Premier Oil Norge AS;-169341;-169341;0;0;0;0
Repsol Exploration Norge AS;-131570;-131570;0;0;0;0
Rocksource ASA;-163289;-163044;-245;0;-245;0
RWE Dea Norge AS;337863;337862;1;0;1;0
Sagex Petroleum  ASA;-27104;-27104;0;0;0;0
Skagen44 AS;-37932;-38670;738;0;738;0
Skeie Energy AS;-69759;-69759;;;0;0
Spring Energy Exploration AS;-32269;-32269;0;0;0;0
Spring Energy Norway AS;-365143;-365143;0;0;0;0
Statoil Petroleum AS;110102289;110102520;-231;0;-231;0
Suncor Energy Norge AS;-664183;-664168;-15;0;-15;0
Svenska Petroleum Exploration AS;-73788;-73788;0;0;0;0
Talisman Energy Norge AS;1557916;1569445;-14196;2667;-11529;0
Total E&P Norge AS;22872201;22870651;-1;1551;1550;0
VNG Norge AS;-136360;-136321;-39;0;-39;0
Wintershall Norge AS;-548623;-548614;-9;0;-9;0
Wintershall Norge ASA;-22655;-22655;0;0;0;0
Wintershall Norge NUF;0;0;0;0;0;0
Shell International Pipelines Inc.;0;0;0;0;0;0
Non licensee – reported  by the Directorate of Customs and Excise;0;-544;0;544;544;0

