crude;date;nok_bbl;usd_bbl;differential_usd_bbl;last_changed
ALVHEIM;01.01.2019;498,84;57,75;2,45;24.04.2019
ALVHEIM;02.01.2019;506,78;58,9;2,45;24.04.2019
ALVHEIM;03.01.2019;515,85;60,35;2,45;24.04.2019
ALVHEIM;04.01.2019;520,36;61,15;2,45;24.04.2019
ALVHEIM;05.01.2019;520,36;61,15;2,45;24.04.2019
ALVHEIM;06.01.2019;520,36;61,15;2,45;24.04.2019
ALVHEIM;07.01.2019;523,4;61,55;2,45;24.04.2019
ALVHEIM;08.01.2019;526,38;61,9;2,45;24.04.2019
ALVHEIM;09.01.2019;527,5;62;2,45;24.04.2019
ALVHEIM;10.01.2019;527,6;61,85;2,45;24.04.2019
ALVHEIM;11.01.2019;532,68;62,35;2,45;24.04.2019
ALVHEIM;12.01.2019;532,68;62,35;2,45;24.04.2019
ALVHEIM;13.01.2019;532,68;62,35;2,45;24.04.2019
ALVHEIM;14.01.2019;538,75;63;2,45;24.04.2019
ALVHEIM;15.01.2019;543,28;63,45;2,45;24.04.2019
ALVHEIM;16.01.2019;545,86;63,7;2,45;24.04.2019
ALVHEIM;17.01.2019;548,2;63,95;2,45;24.04.2019
ALVHEIM;18.01.2019;547,68;63,85;2,45;24.04.2019
ALVHEIM;19.01.2019;547,68;63,85;2,45;24.04.2019
ALVHEIM;20.01.2019;547,68;63,85;2,45;24.04.2019
ALVHEIM;21.01.2019;542,3;63,3;2,45;24.04.2019
ALVHEIM;22.01.2019;541,85;63,4;2,45;24.04.2019
ALVHEIM;23.01.2019;542,7;63,65;2,45;24.04.2019
ALVHEIM;24.01.2019;542,7;63,9;2,45;24.04.2019
ALVHEIM;25.01.2019;541,95;64;2,45;24.04.2019
ALVHEIM;26.01.2019;541,95;64;2,45;24.04.2019
ALVHEIM;27.01.2019;541,95;64;2,45;24.04.2019
ALVHEIM;28.01.2019;546,02;64,55;2,45;24.04.2019
ALVHEIM;29.01.2019;546,15;64,6;2,45;24.04.2019
ALVHEIM;30.01.2019;546,46;64,6;2,45;24.04.2019
ALVHEIM;31.01.2019;546,43;64,35;2,45;24.04.2019
ALVHEIM;01.02.2019;546,63;64,1;2,25;24.04.2019
ALVHEIM;02.02.2019;546,63;64,1;2,25;24.04.2019
ALVHEIM;03.02.2019;546,63;64,1;2,25;24.04.2019
ALVHEIM;04.02.2019;547,55;63,9;2,25;24.04.2019
