konto;konto_tekst;ansvar;ansvar_tekst;tjeneste;tjeneste_tekst;rekneskap_2011;budsjett_2012;budsjett_2013
10100;Løn faste stillingar;100;Kultur;38500;Andre kulturaktivitetar og utg. til kulturbygg;405 778;205 575;0
10100;Løn faste stillingar;120;Bibliotek;37000;Bibliotek;1 456 538;1 548 850;1 635 543
10100;Løn faste stillingar;120;Bibliotek;37500;Musèum;115 075;112 128;122 083
10100;Løn faste stillingar;200;Plan og bygning;30100;Plansakshandsaming;416 357;124 182;806 958
10100;Løn faste stillingar;200;Plan og bygning;30200;Byggje- og delesakshandsaming og seksjonering;1 653 573;1 771 086;1 660 509
10100;Løn faste stillingar;200;Plan og bygning;30300;Kart og oppmåling;937 099;942 560;986 556
10100;Løn faste stillingar;210;Landbruk;32900;Landbruksforvalting og landbruksbasert næringsutvi;920 614;940 738;966 558
10100;Løn faste stillingar;290;Brann og ulykkesvern;33900;Beredskap mot brannar og andre ulykker;193 818;0;0
10100;Løn faste stillingar;300;Vedlikehaldsavdeling;19000;Interne serviceenheter;0;6 078 183;6 085 692
10100;Løn faste stillingar;312;Parkar, leikepl., badeplassar;33500;Rekreasjon i tettstad;0;2 834;0
10100;Løn faste stillingar;330;Løn - Administrasjon;12100;Forvaltningsutgifter i eigedomsforvalninga;34 242;0;0
10100;Løn faste stillingar;330;Løn - Administrasjon;26500;Kommunalt disponerte bustadar;346 602;473 736;493 633
10100;Løn faste stillingar;330;Løn - Administrasjon;30200;Byggje- og delesakshandsaming og seksjonering;0;17 288;18 014
10100;Løn faste stillingar;330;Løn - Administrasjon;33300;Kommunale vegarr, nyanlegg, drift og vedlikehald;107 305;110 766;115 418
10100;Løn faste stillingar;330;Løn - Administrasjon;34000;Produksjon av vatn;780 403;533 033;635 420
10100;Løn faste stillingar;330;Løn - Administrasjon;35000;Avlaupsrensing;444 780;492 700;513 393
10100;Løn faste stillingar;330;Løn - Administrasjon;35500;Innsamling av hushaldsavfall;185 050;188 104;196 004
10100;Løn faste stillingar;340;Kommunale vegar;33300;Kommunale vegarr, nyanlegg, drift og vedlikehald;1 583 079;4 803;0
10100;Løn faste stillingar;345;Parkering;33300;Kommunale vegarr, nyanlegg, drift og vedlikehald;1 120 789;875 281;895 002
10100;Løn faste stillingar;350;Vassforsyning;34000;Produksjon av vatn;470 433;8 351;0
