verdensdel;land;by;kost;administrativt_satt
Afrika;Øvrige områder;;580;
Afrika;Algerie;;550;
Afrika;Angola;;1320;
Afrika;Benin;;670;
Afrika;Botswana;;420;
Afrika;Burundi;;430;
Afrika;Den demokratiske republikken Kongo;;870;
Afrika;Egypt;;280;
Afrika;Elfenbenskysten;;710;
Afrika;Eritrea;;700;
Afrika;Etiopia;;450;
Afrika;Gabon;;940;
Afrika;Ghana;;630;
Afrika;Kamerun;;700;
Afrika;Kenya;;650;
Afrika;Kongo;;720;
Afrika;Lesotho;;340;
Afrika;Madagaskar;;350;
Afrika;Malawi;;340;
Afrika;Marokko;;540;
Afrika;Mauritius;;570;
Afrika;Mosambik;;410;
Afrika;Namibia;;420;
Afrika;Nigeria;;680;
Afrika;Seychellene;;750;
Afrika;Sudan;;660;
Afrika;Swaziland;;360;
Afrika;Sør-Afrika;;440;
Afrika;Sør-Sudan;;350;
Afrika;Tanzania;;520;
Afrika;Togo;;610;
Afrika;Zambia;;570;
Afrika;Zimbabwe;;740;
Amerika;Øvrige områder;;740;
Amerika;Argentina;;710;
Amerika;Bahamas;;1150;
Amerika;Barbados;;1070;
Amerika;Bolivia;;430;
Amerika;Brasil;;640;
Amerika;Brasil;Rio de Janeiro;720;
Amerika;Canada;;790;
Amerika;Chile;;590;
Amerika;Colombia;;550;
Amerika;Costa Rica;;650;
Amerika;Cuba;;570;
Amerika;El Salvador;;600;
Amerika;Guatemala;;720;
Amerika;Guyana;;690;
Amerika;Honduras;;490;
Amerika;Jamaica;;700;
Amerika;Mexico;;480;
Amerika;Nicaragua;;530;
Amerika;Panama;;650;
Amerika;Paraguay;;460;
Amerika;Peru;;680;
Amerika;Puerto Rico;;890;
Amerika;Surinam;;460;
Amerika;Uruguay;;750;
Amerika;USA;;870;
Amerika;USA;New York;1170;
Amerika;USA;San Francisco;980;
Amerika;USA;Washington DC;990;
Amerika;Venezuela;;1600;
Asia;Øvrige områder;;660;
Asia;Afghanistan;;500;
Asia;Armenia;;470;
Asia;Aserbajdsjan;;500;
Asia;Bahrain;;820;
Asia;Bangladesh;;560;
Asia;Brunei;;510;
Asia;Fillippinene;;580;
Asia;Forente arabiske emirater;;1000;
Asia;Georgia;;390;
Asia;India;;520;
Asia;Indonesia;;550;
Asia;Iran;;630;
Asia;Israel;;1170;
Asia;Japan;;770;
Asia;Jemen;;500;
Asia;Jordan;;910;
Asia;Kambodsja;;570;
Asia;Kasakhstan;;450;
Asia;Kina;;750;
Asia;Kina;Hong Kong;920;
Asia;Kina;Shanghai;810;
Asia;Kuwait;;900;
Asia;Laos;;470;
Asia;Libanon;;910;
Asia;Malaysia;;420;
Asia;Maldivene;;490;
Asia;Myanmar;;500;
Asia;Nord-Korea;;520;
Asia;Oman;;980;
Asia;Pakistan;;440;
Asia;Palestina;;800;
Asia;Qatar;;920;
Asia;Saudi-Arabia;;790;
Asia;Singapore;;810;
Asia;Sri Lanka;;440;
Asia;Sør-Korea;;880;
Asia;Taiwan;;680;
Asia;Thailand;;690;
Asia;Tyrkia;;460;
Asia;Tyrkia;Istanbul;530;
Asia;Uzbekistan;;390;
Asia;Vietnam;;480;
Asia;Øst-Timor;;630;
Australia/Oceania;Øvrige områder;;810;
Australia/Oceania;Australia;;960;
Australia/Oceania;New Zealand;;810;
Australia/Oceania;Papua New Guinea;;660;
Europa;Øvrige områder;;;
Europa;Albania;;330;
Europa;Andorra;;720;Spania
Europa;Belgia;;920;
Europa;Bosnia;;480;
Europa;Bulgaria;;520;
Europa;Danmark;;1190;
Europa;Færøyene;;1190;Danmark
Europa;Grønland;;1190;Danmark
Europa;Estland;;660;
Europa;Finland;;950;
Europa;Åland;;950;Finland
Europa;Frankrike;;750;
Europa;Frankrike;Paris;930;
Europa;Hellas;;770;
Europa;Hviterussland;;370;
Europa;Irland;;890;
Europa;Island;;1240;
Europa;Italia;;760;
Europa;Vatikanstaten;;760;Italia
Europa;Kosovo;;370;
Europa;Kroatia;;600;
Europa;Kypros;;740;
Europa;Latvia;;670;
Europa;Liechtenstein;;1290;
Europa;Litauen;;520;
Europa;Luxemburg;;920;
Europa;Makedonia;;450;
Europa;Malta;;690;
Europa;Moldova;;340;
Europa;Monaco;;1080;
Europa;Montenegro;;570;
Europa;Nederland;;770;
Europa;Polen;;600;
Europa;Portugal;;620;
Europa;Azorene;;620;Portugal
Europa;Madeira;;620;Portugal
Europa;Romania;;470;
Europa;Russland;;510;
Europa;Russland;Moskva;710;
Europa;Russland;St. Petersburg;590;
Europa;San Marino;;760;Italia
Europa;Serbia;;510;
Europa;Slovakia;;650;
Europa;Slovenia;;670;
Europa;Spania;;720;
Europa;Kanariøyene;;720;Spania
Europa;Storbritannia;;750;
Europa;Storbritannia;London;900;
Europa;Guernsey (inkl. Alderney og Sark);;750;Storbritannia
Europa;Jersey;;750;Storbritannia
Europa;Man;;750;Storbritannia
Europa;Nord-Irland;;750;Storbritannia
Europa;Sveits;;1170;
Europa;Sveits;Zürich;1290;
Europa;Sveits;Geneve;1270;
Europa;Sverige;;820;
Europa;Tsjekkiske republikk;;540;
Europa;Tyskland;;760;
Europa;Tyskland;Berlin;850;
Europa;Ukraina;;430;
Europa;Ungarn;;590;
Europa;Østerrike;;830;
Europa;Østerrike;Wien;810;
