longitude;latitude;name;adressenavn
5.748861878;58.97200224;Badedammen;Badehusgata
5.675432773;58.99616422;Dusavik;
5.756570296;58.95406809;Godalen;Østre Ring
5.738785187;58.98837544;Grønavik badeplass;Galeiveien
5.736624835;58.92289171;Hinnavågen;
5.753336987;58.99305538;Kuneset;
5.611492303;58.97508238;Kvernevik;Rødstilkveien
5.746628733;58.97814744;Kvidavigå Sølyst;
5.671312166;58.94234719;Møllebukta;Madlaveien
5.767687798;58.96129374;Rosenli;
5.733101782;59.00608126;Skeisvika;
5.616509706;58.95854092;Sundestranda;Nedre Malthaug
5.765810419;58.9586764;Vaisenhusstranda;
5.74598989;58.92532083;Vaulen badeplass;
5.679616;58.956475;Stokkavatnet;
5.750132;59.00467;Lundsvågen;
5.715292;59.003649;Breivik;
5.623894;58.955964;Hafrsfjord;
5.754426;58.935445;Mariero;
5.752568;58.951951;Strømvig;
5.677672;58.978718;Stokkavatnet;
5.59695;58.966333;Københavnbukta;
5.750049;58.891294;Forusstraen;
5.656632;58.967343;Speidermarka;
5.810912;58.987728;Lindøy;
5.736694;58.922905;Hinnastraen;
5.789023;58.991388;Peisaren, Vassøy;
5.768476;59.008224;Langøy;
5.772512;59.012755;Klubben, Langøy;
5.765122;59.006997;Langøy;
5.747254;58.983253;Porsvika, Engøy;
5.767183;58.996662;Dollevika;
5.751571;59.036105;Austre Åmøy;Vågholmveien
