nord;oest;breddegrad;lengdegrad;adresse;barnehagens_navn
6540041.30;308455.36;58.956982;5.669023;Longebakke 31;Ørnestein Gårdsbarnehage
6540521.00;305890.00;58.960194;5.624354;Malthaugsvingen 11;Aubeberget barnehage bygg Malthaug
6540627.97;305398.59;58.960797;5.615586;Skredbakka 55;Aubeberget barnehage bygg Skredbakka
6538679.00;311823.00;58.946324;5.728891;Haugåsstubben 1D;Auglend barnehage
6537924.50;311587.70;58.939420;5.725503;Auglendsdalen 64;Auglendsdalen barnehage
6548960.00;313652.00;59.039303;5.751954;Åmøyveien 659;Austre Åmøy barnehage
6544149.40;313209.00;58.995915;5.748438;Børesvingen 1;Børesvingen barnehage
6543777.00;308923.00;58.990747;5.674175;Dusavikhagen 2;Bamsebu barnehage
6533391.00;311196.00;58.898636;5.722516;Heddeveien 141;Bamsefaret Åpen barnehage
6533351.00;311399.00;58.898360;5.726062;Heddeveien 137;Bamsefaret Barnehage
6539177.00;311476.00;58.950637;5.722439;Hjalmar Johansensgt 5;Barnas Hus
6539198.99;311816.54;58.950984;5.728344;Svend foyns gate 1;Barnas Hus avd. Bekkefaret kirkes barnehage
6538399.20;309068.80;58.942788;5.681237;Madlamarkveien 135;Barnehagen Himmelblå
6542567.84;310566.28;58.981017;5.704093;Høystamveien 15;Barnehagen Tasta
6539360.00;309668.00;58.951473;5.690923;Ole Reistadsvei 2;Barnehagen Tjensvoll avd. Tjensås
6539043.30;309831.80;58.948623;5.694922;Hemmestveitbakken 11;Barnehagen Tjensvoll avd. Tjensvoll
6538716.00;310050.00;58.945874;5.698098;Åroliljastien 2;Barnehagene Haugtussa, Krabat og Våland avd. Haugtussa
6537956.00;309986.00;58.939028;5.697652;Kjell Arholmgt 26;Barnehagene Haugtussa, Krabat og Våland avd. Krabat
6539870.20;312340.70;58.957228;5.736867;Rogalandsgata 15;Barnehagene Haugtussa, Krabat og Våland avd. Våland
6541954.43;304996.78;58.972627;5.607706;Kvernevik Ring 40;Barnehagene Kvernevik og Havglimt
6541746.00;304853.00;58.970697;5.605281;Alkeveien 8;Barnehagene Kvernevik og Havglimt
6539156.00;311793.00;58.950585;5.727971;Svend Foyns gate 3;Bekketunet Barnehage
6539320.00;310898.00;58.951663;5.712302;Henrik Ibsensgate 13;Biå Steinerbarnehage
6540480.00;313166.00;58.963058;5.750672;Figgjo gata 11;Biå Steinerbarnehage
6541899.00;311383.00;58.974997;5.718520;Rosenberggata 51;Bjergsted barnehage
6534745.00;311634.00;58.910966;5.728946;Gauselvågen 3;Boganes Barnehage
6540146.00;311437.00;58.959305;5.720952;Rasmus Lølands vei 1;Bokkaskogen barnehage
6539820.60;306639.50;58.954253;5.637971;Storåkerveien 10;Bråde barnehage
6543391.00;312380.00;58.988816;5.734552;Styrmannsv. 21B;Buøy og Roaldsøy barnehage
6543641.40;313933.10;58.991709;5.761157;Roaldsøyveien 35;Buøy og Roaldsøy barnehage
6541877.00;310176.00;58.974267;5.697570;Fjellfaret 41;Byhaugen Barnehage SA
6538357.00;312639.00;58.945943;5.744277;Hillevågveien 70;Dansehagen Åpen Barnehage
6535163.00;311424.00;58.914614;5.724957;Ordfører Askelandsgate 4;Delfinen Barnehage AS
6533126.00;311096.00;58.896212;5.720999;Heddeveien 22;Djupamyrå barnehage
6543734.10;313147.20;58.992339;5.747692;Dragabergveien 2;Dragaberget Barnehage SA
6533470.00;311784.00;58.899658;5.732691;Husabergbakken 40;Dronningåsen barnehage
6544013.20;309106.70;58.992840;5.676918;Gjerdeveien 144;Dusavik Barnehage SA
6540688.00;310874.00;58.963913;5.710713;Bretlandsgt 31;Egenes Idrettsbarnehage
6540341.50;313761.00;58.961994;5.760991;Rosenli 7;Emmaus Barnehage
6533669.90;310112.99;58.900738;5.703281;Lagerveien 21;Forus åpen Barnehage
6533844.00;310100.00;58.903547;5.701508;Kontorveien 9;Forus Private Barnehage AS
6533388.00;312404.00;58.899139;5.743434;Strandsvingen 8;Frøystad Barnehage SA
6535798.50;311493.30;58.920298;5.725511;Boganesv. 14 A;Fredheim Barnehage
6534021.00;311637.00;58.904476;5.729610;Dronningåsen 1;Gauselbakken Barnehage
6533801.00;311091.00;58.902264;5.720345;Heddeveien 165;Gautesete Barnehage
6532327.50;312115.80;58.889729;5.739426;Geitastova 11;Geitastova barnehage SA
6538255.00;309569.00;58.941519;5.690146;Gosenlund 14;Gosen barnehage
6538530.00;308005.00;58.943289;5.662773;Regimentveien 30;Hafrsfjord åpen barnehage
6540767.00;309713.00;58.964104;5.690478;Chr. Skredsvigsvei 23;Hakkebakkeskogen Private Barnehage AS avd. Stokka
6539091.10;310022.80;58.949274;5.697138;Tellusveien 55;Hakkebakkeskogen Private Barnehage AS avd. Tjensvoll
6538933.00;308921.00;58.947314;5.678333;Sulkes gate 30;Hannes Lekestue avd. Madla
6539356.10;310093.40;58.951939;5.700808;Solborgveien 35;Hannes Lekestue avd. Tjensvoll
6537571.70;310329.60;58.935727;5.703923;Professor Olav Hanssens vei 12;Havhesten barnehage
6533659.00;311132.00;58.901007;5.721174;Ofolskroken 35;Heddeveien FUS barnehage
6539202.00;312167.00;58.951509;5.737048;Gerd-Ragna Bloch Thorsens gate 17;Hillevåg barnehage
6539157.00;312242.00;58.951509;5.737048;Gerd-Ragna Bloch Thorsens gate 19;Hillevåg barnehage
6544168.00;311841.00;58.995549;5.724527;Vestrikroken 1;Husebøstykket barnehage
6540039.00;310207.00;58.957833;5.699654;Eiganesveien 175 A;Husekestua Barnehage
6539772.00;310245.00;58.954958;5.699355;Gunnar Warebergsgate 15;IMI Åpen Barnehage
6539306.80;307547.20;58.949727;5.654776;Treskeveien 3;International Scool of Stavanger 
6534726.40;311173.60;58.910512;5.720986;Boremarkveien 2;Jåttå barnehage
6540941.00;313433.00;58.967160;5.755536;Haugesundsgata 27;Johannes Læringssenter Barnehage
6541301.20;310980.80;58.969448;5.712267;Bekkelundsgata 3;Kampen barnehage
6543882.00;309849.00;58.992103;5.690162;Dusavikveien 216;Kanutten Barnehage
6540611.30;312582.40;58.964445;5.741104;Sandsgt 1;Kløvereng barnehage avd. Storhaug
6540936.70;305699.60;58.963790;5.620685;Sundeveien 27 A;Kløvereng barnehage avd. Sunde
6536312.40;309977.40;58.924260;5.698856;Gamle Grannesveg 55;Knøttene familiebarnehage ANS
6538561.00;312886.00;58.945242;5.749492;Flintegata 2;Kvaleberg/Vannassen barnehage
6537696.00;311560.00;58.937388;5.725177;Vestvollveien 1;Kvaleberg/Vannassen barnehage
6544535.99;311665.99;58.998764;5.721175;Husabøåkeren 2;Kvitodden barnehage
6540800.60;314055.70;58.965915;5.764983;Lervigbrygga 188;Læringsverkstedet barnehage Lervig Brygge
6540291.00;309706.00;58.959838;5.690767;Adjunkt Hauglands gate 50;Lassa barnehage
6540037.00;310001.00;58.957696;5.696111;Rektor Berentsensgt 7;Lassamyra barnehage
6540549.00;313750.00;58.963928;5.760764;Bjerkreimsgata 4 A;Lilleputt Private Familiebarnehage
6538554.90;309628.50;58.945798;5.691670;Norvald Frafjords gate 42;Madlavoll barnehage
6533817.00;310664.00;58.902208;5.712940;Slettmyrveien 10;Mariamarka barnehage
6545004.95;311900.08;59.003071;5.724833;Ulabrands vei 28;Marihøna private familiebarnehage
6539461.00;312329.00;58.954725;5.738121;Rogalandsgata 47;Maurtua barnehage
6540404.00;309940.00;58.961059;5.694817;Lassaveien 6;Misjonsbarnehagen Lasse Liten
6540870.00;304806.00;58.962801;5.605237;Doneviksvei 27;Mjughaugskogen Barnehage SA
6539477.00;309306.00;58.952363;5.684526;Madlamarkveien 4;Molkeholen Barnehage
6540168.30;310146.20;58.958820;5.698395;Ytre Eiganesveien 3;Muldvarpen barnehage
6540981.00;313070.00;58.967455;5.748552;Nymansveien 67;Nymansveien Barnehage
6544081.00;312714.00;58.995146;5.739775;Austbøgeilen 39;Qmarkå FUS Barnehage A/S
6542307.00;309945.00;58.978015;5.693193;Myrveien 12;Rødknappen Barnehage
6540014.00;313666.00;58.959094;5.759743;Søre Ramsvigsvei 46;Ramsvigskoben barnehage
6532753.00;310968.00;58.892813;5.719114;Forusbeen 50;Regnbuen barnehage
6538369.10;309034.50;58.942463;5.680732;Åsta Kongsmors gate 22;Rognebærhagen Barnehage
6537945.30;311314.50;58.940462;5.722347;Sørmarkveien 22;Sørmarka Arena barnehage
6536386.00;311151.00;58.925468;5.719192;Øverliveien 3;Sørmarka familiebarnehage
6539747.00;309180.00;58.954725;5.682120;Fasanveien 19;Sandal barnehage
6538269.00;313001.00;58.943093;5.749664;Sandvikveien 13;Sandvikveien barnehage
6538800.00;310213.00;58.946641;5.700921;Jupiterveien 22;Satelitten barnehage
6543719.70;308731.80;58.990005;5.670683;Eskelandsvingene 18;Scalabarnehagene avd. Eskelandsgeilen
6544561.00;312889.00;58.999530;5.742404;Hundvåg Ring 100;Scalabarnehagene avd. Krosshaugloen
