virksomhetsomraade;art;art_tekst;ansvar;ansvar_tekst;tjeneste_nr;tjeneste_tekst;prosjekt;prosjekt_tekst;fri_dim;fri_dim_tekst;beloep
Alders- og sykehjem;16032;BETALING DAGSENTEROPPHOLD ELDRE;316000;ØYANE SYKEHJEM;23440;DAGTILBUD;;;;;-470000
Alders- og sykehjem;13710;TILSKUDD SYKEHJEM;316000;ØYANE SYKEHJEM;25300;HELSE- OG OMSORGSTJENESTER I INSTITUSJON;;;;;45737000
Alders- og sykehjem;16021;BETALING LANGTIDSOPPHOLD;316000;ØYANE SYKEHJEM;25300;HELSE- OG OMSORGSTJENESTER I INSTITUSJON;;;;;-7871000
Alders- og sykehjem;16022;BETALING KORTTIDSOPPHOLD;316000;ØYANE SYKEHJEM;25300;HELSE- OG OMSORGSTJENESTER I INSTITUSJON;;;;;-479000
Alders- og sykehjem;13710;TILSKUDD SYKEHJEM;316000;ØYANE SYKEHJEM;26100;INSTITUSJONSLOKALER;;;;;1786000
Alders- og sykehjem;13710;TILSKUDD SYKEHJEM;316000;ØYANE SYKEHJEM;26100;INSTITUSJONSLOKALER;;;S100;STRØM;777000
Alders- og sykehjem;16032;BETALING DAGSENTEROPPHOLD ELDRE;326000;TASTA SYKEHJEM;23440;DAGTILBUD;;;;;-906000
Alders- og sykehjem;13710;TILSKUDD SYKEHJEM;326000;TASTA SYKEHJEM;25300;HELSE- OG OMSORGSTJENESTER I INSTITUSJON;;;;;114244000
Alders- og sykehjem;16021;BETALING LANGTIDSOPPHOLD;326000;TASTA SYKEHJEM;25300;HELSE- OG OMSORGSTJENESTER I INSTITUSJON;;;;;-23037000
Alders- og sykehjem;16022;BETALING KORTTIDSOPPHOLD;326000;TASTA SYKEHJEM;25300;HELSE- OG OMSORGSTJENESTER I INSTITUSJON;;;;;-1329000
Alders- og sykehjem;13710;TILSKUDD SYKEHJEM;326000;TASTA SYKEHJEM;26100;INSTITUSJONSLOKALER;;;;;3660000
Alders- og sykehjem;13710;TILSKUDD SYKEHJEM;326000;TASTA SYKEHJEM;26100;INSTITUSJONSLOKALER;;;S100;STRØM;1250000
Alders- og sykehjem;16032;BETALING DAGSENTEROPPHOLD ELDRE;336000;VÅLANDSTUNET SYKEHJEM;23440;DAGTILBUD;;;;;-369000
Alders- og sykehjem;10100;LØNN FAST ANSATTE;336000;VÅLANDSTUNET SYKEHJEM;25300;HELSE- OG OMSORGSTJENESTER I INSTITUSJON;;;;;19108000
Alders- og sykehjem;10900;PENSJONSDEL  KOMMUNALT ANSATTE;336000;VÅLANDSTUNET SYKEHJEM;25300;HELSE- OG OMSORGSTJENESTER I INSTITUSJON;;;;;2018000
Alders- og sykehjem;10990;ARBEIDSGIVERAVGIFT;336000;VÅLANDSTUNET SYKEHJEM;25300;HELSE- OG OMSORGSTJENESTER I INSTITUSJON;;;;;2979000
Alders- og sykehjem;13812;RENHOLD UTFØRT AV FORETAK;336000;VÅLANDSTUNET SYKEHJEM;25300;HELSE- OG OMSORGSTJENESTER I INSTITUSJON;;;;;40000
Alders- og sykehjem;15900;AVSKRIVNINGER;336000;VÅLANDSTUNET SYKEHJEM;25300;HELSE- OG OMSORGSTJENESTER I INSTITUSJON;;;;;27000
Alders- og sykehjem;16022;BETALING KORTTIDSOPPHOLD;336000;VÅLANDSTUNET SYKEHJEM;25300;HELSE- OG OMSORGSTJENESTER I INSTITUSJON;;;;;-1701000
Alders- og sykehjem;13813;VAKTMESTERTJENESTE UTFØRT AV FORETAK;336000;VÅLANDSTUNET SYKEHJEM;25300;HELSE- OG OMSORGSTJENESTER I INSTITUSJON;;;;;41000
Alders- og sykehjem;10100;LØNN FAST ANSATTE;336000;VÅLANDSTUNET SYKEHJEM;25321;ANSATTE NATT;;;;;1271000
Alders- og sykehjem;10990;ARBEIDSGIVERAVGIFT;336000;VÅLANDSTUNET SYKEHJEM;25321;ANSATTE NATT;;;;;198000
Alders- og sykehjem;10900;PENSJONSDEL  KOMMUNALT ANSATTE;336000;VÅLANDSTUNET SYKEHJEM;25321;ANSATTE NATT;;;;;134000
Alders- og sykehjem;10100;LØNN FAST ANSATTE;336000;VÅLANDSTUNET SYKEHJEM;25333;INSTITUSJONSLEGE;;;;;831000
Alders- og sykehjem;10900;PENSJONSDEL  KOMMUNALT ANSATTE;336000;VÅLANDSTUNET SYKEHJEM;25333;INSTITUSJONSLEGE;;;;;88000
Alders- og sykehjem;10990;ARBEIDSGIVERAVGIFT;336000;VÅLANDSTUNET SYKEHJEM;25333;INSTITUSJONSLEGE;;;;;130000
Alders- og sykehjem;11901;INTERN LEIE AV LOKALER OG GRUNN;336000;VÅLANDSTUNET SYKEHJEM;26100;INSTITUSJONSLOKALER;;;;;2949000
Alders- og sykehjem;11950;KOMMUNALE AVGIFTER;336000;VÅLANDSTUNET SYKEHJEM;26100;INSTITUSJONSLOKALER;;;;;80000
Alders- og sykehjem;11801;STRØM;336000;VÅLANDSTUNET SYKEHJEM;26100;INSTITUSJONSLOKALER;;;S100;STRØM;498000
Alders- og sykehjem;11820;FYRINGSOLJE OG FYRINGSPARAFIN;336000;VÅLANDSTUNET SYKEHJEM;26100;INSTITUSJONSLOKALER;;;S100;STRØM;117000
Alders- og sykehjem;14290;MVA SOM GIR RETT TIL MOMSKOMPENSASJON;336000;VÅLANDSTUNET SYKEHJEM;26100;INSTITUSJONSLOKALER;;;S100;STRØM;154000
