art,art_tekst,inntekt_utgift,tjeneste_nr,tjeneste_tekst,beloep,virksomhetsomraade
10201,VIKAR V/SYKEFRAVÆR M/REF,Utgift,12000,ADMINISTRASJON,6000000,Rådmann
17101,REF. SYKEPENGER,Inntekt,12000,ADMINISTRASJON,-6000000,Rådmann
14290,MVA SOM GIR RETT TIL MOMSKOMPENSASJON,Utgift,12000,ADMINISTRASJON,1353000,Rådmann
17290,KOMPENSASJON FOR MERVERDIAVGIFT DRIFT,Inntekt,12000,ADMINISTRASJON,-1353000,Rådmann
10100,LØNN FAST ANSATTE,Utgift,12000,ADMINISTRASJON,6553000,Rådmann
10400,OVERTID,Utgift,12000,ADMINISTRASJON,17000,Rådmann
10900,PENSJONSDEL  KOMMUNALT ANSATTE,Utgift,12000,ADMINISTRASJON,481000,Rådmann
10990,ARBEIDSGIVERAVGIFT,Utgift,12000,ADMINISTRASJON,692000,Rådmann
10570,HONORAR,Utgift,12000,ADMINISTRASJON,50000,Rådmann
10591,FRI TELEFON TREKKPL.GODTGJ. (SJABLON),Utgift,12000,ADMINISTRASJON,15000,Rådmann
10900,PENSJONSDEL  KOMMUNALT ANSATTE,Utgift,12000,ADMINISTRASJON,170000,Rådmann
10990,ARBEIDSGIVERAVGIFT,Utgift,12000,ADMINISTRASJON,294000,Rådmann
11239,TILFELDIGE UTGIFTER,Utgift,12000,ADMINISTRASJON,20000,Rådmann
11403,REPRESENTASJON,Utgift,12000,ADMINISTRASJON,100000,Rådmann
11703,"BUSS, DROSJE, FERJE, TOG, FLY",Utgift,12000,ADMINISTRASJON,100000,Rådmann
12700,KONSULENTTJENESTER IKKE OPPLYSNINGSPLIKTIGE,Utgift,12000,ADMINISTRASJON,346000,Rådmann
14706,OVERFØRING ANDRE PRIVATE,Utgift,12000,ADMINISTRASJON,600000,Rådmann
14290,MVA SOM GIR RETT TIL MOMSKOMPENSASJON,Utgift,12000,ADMINISTRASJON,10000,Rådmann
17290,KOMPENSASJON FOR MERVERDIAVGIFT DRIFT,Inntekt,12000,ADMINISTRASJON,-10000,Rådmann
10100,LØNN FAST ANSATTE,Utgift,12000,ADMINISTRASJON,1912000,Personal og organisasjon
10500,ANNEN LØNN OG TREKKPLIKTIGE GODTGJØRELSER,Utgift,12000,ADMINISTRASJON,2194000,Personal og organisasjon
10570,HONORAR,Utgift,12000,ADMINISTRASJON,18000,Personal og organisasjon
10900,PENSJONSDEL  KOMMUNALT ANSATTE,Utgift,12000,ADMINISTRASJON,229000,Personal og organisasjon
10990,ARBEIDSGIVERAVGIFT,Utgift,12000,ADMINISTRASJON,156000,Personal og organisasjon
10990,ARBEIDSGIVERAVGIFT,Utgift,12000,ADMINISTRASJON,389000,Personal og organisasjon
10100,LØNN FAST ANSATTE,Utgift,12000,ADMINISTRASJON,482000,Personal og organisasjon
10900,PENSJONSDEL  KOMMUNALT ANSATTE,Utgift,12000,ADMINISTRASJON,44000,Personal og organisasjon
10990,ARBEIDSGIVERAVGIFT,Utgift,12000,ADMINISTRASJON,74000,Personal og organisasjon
11000,KONTORMATERIELL,Utgift,12000,ADMINISTRASJON,10000,Personal og organisasjon
11150,MATVARER,Utgift,12000,ADMINISTRASJON,98000,Personal og organisasjon
11200,ANDRE DRIFTSUTGIFTER,Utgift,12000,ADMINISTRASJON,884000,Personal og organisasjon
11221,VELFERDSTILTAK EGNE ANSATTE,Utgift,12000,ADMINISTRASJON,53000,Personal og organisasjon
11221,VELFERDSTILTAK EGNE ANSATTE,Utgift,12000,ADMINISTRASJON,1000000,Personal og organisasjon
11222,KANTINETJENESTER,Utgift,12000,ADMINISTRASJON,85000,Personal og organisasjon
11301,TELEFON-/TELEUTGIFTER,Utgift,12000,ADMINISTRASJON,20000,Personal og organisasjon
11400,TRYKNINGSUTGIFTER/KOPIERING,Utgift,12000,ADMINISTRASJON,50000,Personal og organisasjon
11401,ANNONSER/INFOTILTAK,Utgift,12000,ADMINISTRASJON,1250000,Personal og organisasjon
11401,ANNONSER/INFOTILTAK,Utgift,12000,ADMINISTRASJON,30000,Personal og organisasjon
10100,LØNN FAST ANSATTE,Utgift,12000,ADMINISTRASJON,243000,Personal og organisasjon
10900,PENSJONSDEL  KOMMUNALT ANSATTE,Utgift,12000,ADMINISTRASJON,21000,Personal og organisasjon
10990,ARBEIDSGIVERAVGIFT,Utgift,12000,ADMINISTRASJON,39000,Personal og organisasjon
11500,KURS/OPPLÆRINANNONSER/INFOTILTAK,Utgift,12000,ADMINISTRASJON,329000,Personal og organisasjon
11703,"BUSS, DROSJE, FERJE, TOG, FLY",Utgift,12000,ADMINISTRASJON,136000,Personal og organisasjon
11900,EKSTERN LEIE AV LOKALER OG GRUNN,Utgift,13000,ADMINISTRASJONSLOKALER,427000,Personal og organisasjon
12002,ANNET INVENTAR OG UTSTYR,Utgift,12000,ADMINISTRASJON,50000,Personal og organisasjon
12400,"SERVICE, REPARASJON, DRIFTSAVTALER",Utgift,12000,ADMINISTRASJON,50000,Personal og organisasjon
12700,KONSULENTTJENESTER IKKE OPPLYSNINGSPLIKTIGE,Utgift,12000,ADMINISTRASJON,629000,Personal og organisasjon
13500,KJØP FRA KOMMUNER,Utgift,12000,ADMINISTRASJON,5930000,Personal og organisasjon
14290,MVA SOM GIR RETT TIL MOMSKOMPENSASJON,Utgift,12000,ADMINISTRASJON,105000,Personal og organisasjon
14290,MVA SOM GIR RETT TIL MOMSKOMPENSASJON,Utgift,12000,ADMINISTRASJON,491000,Personal og organisasjon
14724,TILSKUDD DIVERSE,Utgift,12000,ADMINISTRASJON,224000,Personal og organisasjon
14724,TILSKUDD DIVERSE,Utgift,12000,ADMINISTRASJON,195000,Personal og organisasjon
14724,TILSKUDD DIVERSE,Utgift,12000,ADMINISTRASJON,350000,Personal og organisasjon
17103,FERIEPENGER AV SYKEPENGER,Inntekt,12000,ADMINISTRASJON,-3000,Personal og organisasjon
17290,KOMPENSASJON FOR MERVERDIAVGIFT DRIFT,Inntekt,12000,ADMINISTRASJON,-596000,Personal og organisasjon
10100,LØNN FAST ANSATTE,Utgift,12000,ADMINISTRASJON,4640000,Personal og organisasjon
10400,OVERTID,Utgift,12000,ADMINISTRASJON,12000,Personal og organisasjon
10900,PENSJONSDEL  KOMMUNALT ANSATTE,Utgift,12000,ADMINISTRASJON,497000,Personal og organisasjon
10990,ARBEIDSGIVERAVGIFT,Utgift,12000,ADMINISTRASJON,739000,Personal og organisasjon
11000,KONTORMATERIELL,Utgift,12000,ADMINISTRASJON,31000,Personal og organisasjon
11001,FAGLITTERATUR/TIDSSKRIFTER MV.,Utgift,12000,ADMINISTRASJON,20000,Personal og organisasjon
11150,MATVARER,Utgift,12000,ADMINISTRASJON,15000,Personal og organisasjon
11200,ANDRE DRIFTSUTGIFTER,Utgift,12000,ADMINISTRASJON,23000,Personal og organisasjon
11237,MØTEUTGIFTER,Utgift,12000,ADMINISTRASJON,26000,Personal og organisasjon
11301,TELEFON-/TELEUTGIFTER,Utgift,12000,ADMINISTRASJON,31000,Personal og organisasjon
11500,KURS/OPPLÆRINANNONSER/INFOTILTAK,Utgift,12000,ADMINISTRASJON,55000,Personal og organisasjon
11601,DIETTGODTGJØRELSE,Utgift,12000,ADMINISTRASJON,22000,Personal og organisasjon
11602,BILGODTGJØRELSE,Utgift,12000,ADMINISTRASJON,10000,Personal og organisasjon
17103,FERIEPENGER AV SYKEPENGER,Inntekt,12000,ADMINISTRASJON,-14000,Personal og organisasjon
11703,"BUSS, DROSJE, FERJE, TOG, FLY",Utgift,12000,ADMINISTRASJON,22000,Personal og organisasjon
11952,ANDRE AVGIFTER GEBYRER,Utgift,13000,ADMINISTRASJONSLOKALER,50000,Personal og organisasjon
12000,KONTORMØBLER,Utgift,12000,ADMINISTRASJON,12000,Personal og organisasjon
12001,"EDB-MASKINER, PC, KJØP/LEIE",Utgift,12000,ADMINISTRASJON,30000,Personal og organisasjon
12002,ANNET INVENTAR OG UTSTYR,Utgift,12000,ADMINISTRASJON,10000,Personal og organisasjon
12700,KONSULENTTJENESTER IKKE OPPLYSNINGSPLIKTIGE,Utgift,12000,ADMINISTRASJON,31000,Personal og organisasjon
14290,MVA SOM GIR RETT TIL MOMSKOMPENSASJON,Utgift,12000,ADMINISTRASJON,93000,Personal og organisasjon
15900,AVSKRIVNINGER,Utgift,12000,ADMINISTRASJON,11000,Personal og organisasjon
16900,FORDELTE UTGIFTER,Inntekt,12000,ADMINISTRASJON,-50000,Personal og organisasjon
16901,AVGIFTSFRIE FORDELTE UTGIFTER,Inntekt,12000,ADMINISTRASJON,-114000,Personal og organisasjon
17290,KOMPENSASJON FOR MERVERDIAVGIFT DRIFT,Inntekt,12000,ADMINISTRASJON,-93000,Personal og organisasjon
19900,MOTPOST AVSKRIVNINGER,Inntekt,86000,MOTPOST AVSKRIVNINGER,-11000,Personal og organisasjon
10100,LØNN FAST ANSATTE,Utgift,12000,ADMINISTRASJON,3574000,Personal og organisasjon
10400,OVERTID,Utgift,12000,ADMINISTRASJON,41000,Personal og organisasjon
10900,PENSJONSDEL  KOMMUNALT ANSATTE,Utgift,12000,ADMINISTRASJON,477000,Personal og organisasjon
10900,PENSJONSDEL  KOMMUNALT ANSATTE,Utgift,12000,ADMINISTRASJON,-94000,Personal og organisasjon
10990,ARBEIDSGIVERAVGIFT,Utgift,12000,ADMINISTRASJON,549000,Personal og organisasjon
10990,ARBEIDSGIVERAVGIFT,Utgift,12000,ADMINISTRASJON,-154000,Personal og organisasjon
11000,KONTORMATERIELL,Utgift,12000,ADMINISTRASJON,20000,Personal og organisasjon
11200,ANDRE DRIFTSUTGIFTER,Utgift,12000,ADMINISTRASJON,20000,Personal og organisasjon
11301,TELEFON-/TELEUTGIFTER,Utgift,12000,ADMINISTRASJON,22000,Personal og organisasjon
11500,KURS/OPPLÆRINANNONSER/INFOTILTAK,Utgift,12000,ADMINISTRASJON,-720000,Personal og organisasjon
11500,KURS/OPPLÆRINANNONSER/INFOTILTAK,Utgift,12000,ADMINISTRASJON,1800000,Personal og organisasjon
11652,STIPEND (OPPLYSNINGSPLIKTIG- MEN IKKE TREKKPLIKTIG),Utgift,12000,ADMINISTRASJON,456000,Personal og organisasjon
11601,DIETTGODTGJØRELSE,Utgift,12000,ADMINISTRASJON,35000,Personal og organisasjon
11703,"BUSS, DROSJE, FERJE, TOG, FLY",Utgift,12000,ADMINISTRASJON,25000,Personal og organisasjon
11801,STRØM,Utgift,12000,ADMINISTRASJON,65000,Personal og organisasjon
12000,KONTORMØBLER,Utgift,12000,ADMINISTRASJON,10000,Personal og organisasjon
12002,ANNET INVENTAR OG UTSTYR,Utgift,12000,ADMINISTRASJON,100000,Personal og organisasjon
12300,VEDLIKEHOLD AV BYGNINGER,Utgift,12000,ADMINISTRASJON,32000,Personal og organisasjon
13804,RENHOLD & VAKTMESTERTJ. UTFØRT AV FORETAK(TO NYE ARTER 13812 OG 13813),Utgift,12000,ADMINISTRASJON,86000,Personal og organisasjon
14290,MVA SOM GIR RETT TIL MOMSKOMPENSASJON,Utgift,12000,ADMINISTRASJON,98000,Personal og organisasjon
15900,AVSKRIVNINGER,Utgift,12000,ADMINISTRASJON,90000,Personal og organisasjon
16219,INNTEKTER VED KURS/ARRANGEMENTER,Inntekt,12000,ADMINISTRASJON,-31000,Personal og organisasjon
