longitude,latitude,name,adressenavn
5.756833507,59.03897877,Austre Åmøy gravlund,Åmøyveien
5.716739949,58.96844961,Eiganes gravlund,Steingata
5.740718101,58.96793265,Hetland gravlund,Storhaugveien 2
5.713195255,58.92217208,Hinna gravlund,Grannesveien
5.732522982,58.99675559,Hundvåg gravlund,Hundvågveien 77
5.71050504,58.90405635,Jåttå gravlund,Jåttåveien 207
5.750720436,58.96797762,Kvekerkirkegården,Øvre Haukeligate 39
5.738090578,58.96406469,Lagård gravlund,Kirkegårdsveien 6
5.643749916,58.95216836,Revheim gravlund,Revheimsveien 153
5.711593634,58.95342635,Tjensvoll gravlund,Henrik Ibsens gate 25
