art;art_tekst;ansvar;ansvar_tekst;tjeneste;tjeneste_tekst;prosjekt;prosjekt_tekst;virksomhetsomraade;beloep
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;38600;KOMMUNALE KULTURBYGG;4819;NYE TOU, REDUSERT 1.BYGGETRINN;Stavanger eiendom;30400000
32301;PÅKOSTNING/NYBYGG ANLEGG;606000;PARK OG VEI;33200;KOMMUNALE VEIER;391266091;KULVERT OVER MOTORVEIEN;Park og vei;108300000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400030;SE FORVALTNINGSAVD.;13000;ADMINISTRASJONSLOKALER;4700;UTBEDRING ADM.BYGG;Stavanger eiendom;1000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400030;SE FORVALTNINGSAVD.;18000;DIVERSE FELLESUTGIFTER;3844001;ENERGITILTAK KOMMUNALE BYGG;Stavanger eiendom;19000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400030;SE FORVALTNINGSAVD.;18000;DIVERSE FELLESUTGIFTER;3844044;ENERGITILTAK I KOMM.BYGG TRINN 2;Stavanger eiendom;7400000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;13000;ADMINISTRASJONSLOKALER;3844003;OLAV KYRRES GATE 19 REHABILITERING;Stavanger eiendom;50000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400020;SE PROSJEKT/ARKITEKTAVD.;38600;KOMMUNALE KULTURBYGG;3844029;VÅLANDSTÅRNET REHABILITERING;Stavanger eiendom;3000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400030;SE FORVALTNINGSAVD.;26100;INSTITUSJONSLOKALER;3844004;KONGSGATA 47/49, REHABILITERING;Stavanger eiendom;10000000
32300;PÅKOSTNING/NYBYGG BYGNINGER;400030;SE FORVALTNINGSAVD.;13000;ADMINISTRASJONSLOKALER;3844005;OLAV KYRRESGATE 23, TAKTEKKING;Stavanger eiendom;5000000
32850;KJØP AV BYGG/ANLEGG;400030;SE FORVALTNINGSAVD.;26500;KOMMUNALT DISPONERTE BOLIGER;4000;KJØP BOLIGER VANSKELIGST.;Stavanger eiendom;10000000
