longitude,latitude,name,adressenavn
5.7385433,58.9380151,Adventkirken,Timoteiveien 13
5.728757706,58.95091382,Bekkefaret kirke,Svend Foyns gate 1
5.740800672,58.96797967,Frue kirke,Storhaugveien 2
5.722578624,58.89854823,Gausel kirke,Heddeveien 141a
5.741131134,58.94421602,Hillevåg kirke,Veumveien 55
5.728521738,58.92403497,Hinna kirke,Gamleveien 30a
5.726487167,58.99318777,Hundvåg kirke,Ulsnesveien 9
5.712511875,58.97081381,Kampen kirke,Seehusens gate 47
5.681378039,58.94256106,Madlamark kirke,Madlamarkveien 135
5.737326952,58.96919528,Metodistkirken,Vaisenhusgata 7
5.64383406,58.95219751,Revheim kirke,Revheimveien 153
5.748931038,58.96849886,St.Johannes kirke,Høgsfjordgata 8
5.736838959,58.97030641,St.Petri kirke,Nytorget 3
5.732892294,58.96971246,Stavanger Domkirke,Haakon VII`s gate 2
5.690695471,58.96419073,Stokka kirke,Chr.Skredsvigs vei 23
5.610169299,58.96552037,Sunde kirke,Mjughøyden 9
5.69338937,58.98147108,Tasta kirke,Fagerstølveien 9b
5.702443307,58.95051498,Tjensvoll kirke,Tellusveien 41
5.750999301,58.95947349,Varden kirke,Egersundsgata 11
5.675179732,58.99337151,Vardeneset kirke,Dusavikkrossen 26
"5.7524223,17",59.0393647,Austre Åmøy kapell,Vågholmveien 1
5.733520,58.969400,Bispekapellet,Haakon VII`s gate 2
5.7364144,58.9656008,Døvekirken,Sandeidgata 10
5.7300767,58.996826,Hundvåg kapell,Hundvågveien 77
5.7362671,58.9466766,Jesu Kristi kirke SDH,Tonåsveien 2
5.7008408,58.9590027,Tjensvoll kapell,Henrik Ibsensgate 25
5.7787031,58.9972908,Vassøy kapell,Nordstrandveien 91
5.748189,58.9709745,"Eyupsultan Moské,Harald Hårfagres gate 4"
5.7404778,58.9705026,Mevlana Moské,Verksgaten 41
5.7401245,58.97045,Moske Masjid Hanafiya,Store Skippergate 4
5.7441916,58.9464713,Masjid Noor Moské,Bergsagelveien 9
5.8149472,58.9806372,Jehovas vitner Rikets Sal,Auglendsdalen 44
5.7277952,58.9659635,St.Svithun Katolske Kirke,St.Svithunsgate 8
5.690875,58.960496,Karismakirken,Adjunkt Hauglands gate 52
5.7033625,58.950713,Menigheten Apostolisk Tro,Tjensvollveien 56
5.6971712,58.9549636,IMI Kirken,Gunnar Warebergs gate 15
