longitude;latitude;navn;glass_metall;plast;tekstil_sko
5.701959134;58.96403044;Helgø Mat Stokka;J;J;J
5.691178138;58.95741267;Lassa, Sandal;J;J;J
5.714303294;58.96556319;P-plass, Stavanger Stadion;J;J;J
5.730416435;58.96278871;Prix, Storgata, Våland;J;J;J
5.729639528;58.96636625;St. Olav, sentrum;J;J;N
5.728378543;58.96979411;Straen Senter;J;J;J
5.719416266;58.97416174;P-plass, Bjergsted;J;J;N
5.71112004;58.97508978;Rimi Bragetunet;J;J;N
5.685560296;58.98340648;Rema 1000, Randabergveien;J;J;J
5.697528209;58.97786553;Prestveien, Tasta;J;J;J
5.683081014;58.98941334;Teinå skole;J;J;J
5.676046304;58.99300919;Shell, Vardeneset;J;J;N
5.69115321;58.98367341;Tasta senter;J;J;J
5.690348082;58.94336957;Prix, Madlamark;J;J;J
5.688239496;58.93932213;Kiwi, Gosen;J;J;N
5.676534418;58.95178061;Madla Amfi;J;J;J
5.649901144;58.9408755;Grenaderveien 2;J;J;N
5.631591453;58.94757625;Hestnes;J;J;N
5.656045492;58.95187345;Rimi Stormarked, Revheimsv, Ragbk;J;J;J
5.635983059;58.95604704;Rema 1000, Søra Bråde;J;J;J
5.630236216;58.96100212;Revheimsveien Servicesenter;J;J;J
5.611541351;58.96527204;Kverntorget, Mjughøyden;J;J;J
5.703514398;58.89496547;Rema Stormarked Forus;J;J;N
5.703514398;58.89496547;Rema Stormarked Forus;J;J;N
5.73345114;58.89176892;Shell, Forusbeen;J;J;J
5.724266882;58.89581468;Kiwi, Kviebakken;J;J;J
5.723082519;58.89966874;Gautesete skole;J;J;N
5.713498467;58.90012832;Godeset skole;J;J;N
5.717632302;58.90313379;Mariabakken;J;J;N
5.733218323;58.90537493;ICA, Gausel;J;J;N
5.7242867;58.9034677;Gausellia, Traktebergveien*;J;N;N
5.724604764;58.9182997;Hinna Skole;J;J;J
5.738790;58.915921; Jåttåvågen, Laberghagen*;J;J;N
5.728162469;58.91093941;Boganes Sykehjem;J;J;N
5.73213487;58.93545073;P-plass Hetlandshallen;J;J;J
5.742255689;58.94739287;Rema 1000 Bispeladegård;J;J;J
5.741190638;58.94836508;Kilden, Hillevåg torg;J;J;J
5.726369374;58.95081212;Bekkefaret;J;J;N
5.741620251;58.9427961;Øvre Sandvikveien:J;J;N
5.720149902;58.94629379;Saxemarka, Solsletteveien;J;J;N
5.7203312;58.94786017;Saxemarka, Coop Prix;J;J;N
5.697576095;58.95026339;P-plass, Tjensvolltorget;J;J;J
5.701431732;58.93497183;P-plass, Oljedirektoratet;J;J;N
5.6954631;58.9390339;p-plass Kjell Arholmsgate 26*;J;J;N
5.742567622;58.96823719;P-plass, Hetland kirke;J;J;J
5.748653553;58.95805635;Hjelmelandsgata/Hellelandsveien;J;J;N
5.752540838;58.95974301;Varden Nymansveien;J;J;J
5.761152;58.961602;Emmaus, Rasmus Risas gate*;J;J;N
5.749897261;58.97168485;P-plass. Rimi, Badedammen;J;J;J
5.74537096;58.97800229;Sølyst;J;J;J
5.728763763;58.99325173;Hundvågkrossen;J;J;J
5.742144157;59.00110283;Kiwi Hundvåg, Krosshaug;J;J;J
5.755516809;59.00405394;Lundsvågen naturskole;J;J;N
5.760446685;58.99160784;Roaldsøy v/kaien;J;J;N
5.782576923;58.99849165;Vassøyferja;J;J;J
5.74369127;58.99318094;Coop Prix. Austbøsletta;J;J;J
