dato,skole,elevdag,laererdag,sfodag,kommentar
2015-08-01,Auglend skole,Nei,Nei,Nei,Lørdag
2015-08-02,Auglend skole,Nei,Nei,Nei,Søndag
2015-08-03,Auglend skole,Nei,Nei,Ja,Sommerferie
2015-08-04,Auglend skole,Nei,Nei,Ja,Sommerferie
2015-08-05,Auglend skole,Nei,Nei,Ja,Sommerferie
2015-08-06,Auglend skole,Nei,Nei,Ja,Sommerferie
2015-08-07,Auglend skole,Nei,Nei,Ja,Sommerferie
2015-08-08,Auglend skole,Nei,Nei,Nei,Lørdag
2015-08-09,Auglend skole,Nei,Nei,Nei,Søndag
2015-08-10,Auglend skole,Nei,Ja,Nei,Planleggingsdag
2015-08-11,Auglend skole,Nei,Ja,Ja,Planleggingsdag
2015-08-12,Auglend skole,Nei,Ja,Ja,Planleggingsdag
2015-08-13,Auglend skole,Ja,Ja,Ja,
2015-08-14,Auglend skole,Ja,Ja,Ja,
2015-08-15,Auglend skole,Nei,Nei,Nei,Lørdag
2015-08-16,Auglend skole,Nei,Nei,Nei,Søndag
2015-08-17,Auglend skole,Ja,Ja,Ja,
2015-08-18,Auglend skole,Ja,Ja,Ja,
2015-08-19,Auglend skole,Ja,Ja,Ja,
2015-08-20,Auglend skole,Ja,Ja,Ja,
2015-08-21,Auglend skole,Ja,Ja,Ja,
2015-08-22,Auglend skole,Nei,Nei,Nei,Lørdag
2015-08-23,Auglend skole,Nei,Nei,Nei,Søndag
2015-08-24,Auglend skole,Ja,Ja,Ja,
2015-08-25,Auglend skole,Ja,Ja,Ja,
2015-08-26,Auglend skole,Ja,Ja,Ja,
2015-08-27,Auglend skole,Ja,Ja,Ja,
2015-08-28,Auglend skole,Ja,Ja,Ja,
2015-08-29,Auglend skole,Nei,Nei,Nei,Lørdag
2015-08-30,Auglend skole,Nei,Nei,Nei,Søndag
2015-08-31,Auglend skole,Ja,Ja,Ja,
2015-09-01,Auglend skole,Ja,Ja,Ja,
2015-09-02,Auglend skole,Ja,Ja,Ja,
2015-09-03,Auglend skole,Ja,Ja,Ja,
2015-09-04,Auglend skole,Ja,Ja,Ja,
2015-09-05,Auglend skole,Nei,Nei,Nei,Lørdag
2015-09-06,Auglend skole,Nei,Nei,Nei,Søndag
2015-09-07,Auglend skole,Ja,Ja,Ja,
2015-09-08,Auglend skole,Ja,Ja,Ja,
2015-09-09,Auglend skole,Ja,Ja,Ja,
2015-09-10,Auglend skole,Ja,Ja,Ja,
2015-09-11,Auglend skole,Ja,Ja,Ja,
2015-09-12,Auglend skole,Nei,Nei,Nei,Lørdag
2015-09-13,Auglend skole,Nei,Nei,Nei,Søndag
2015-09-14,Auglend skole,Ja,Ja,Ja,
2015-09-15,Auglend skole,Ja,Ja,Ja,
2015-09-16,Auglend skole,Ja,Ja,Ja,
2015-09-17,Auglend skole,Ja,Ja,Ja,
2015-09-18,Auglend skole,Ja,Ja,Ja,
2015-09-19,Auglend skole,Nei,Nei,Nei,Lørdag
2015-09-20,Auglend skole,Nei,Nei,Nei,Søndag
2015-09-21,Auglend skole,Ja,Ja,Ja,
2015-09-22,Auglend skole,Ja,Ja,Ja,
2015-09-23,Auglend skole,Ja,Ja,Ja,
2015-09-24,Auglend skole,Ja,Ja,Ja,
2015-09-25,Auglend skole,Ja,Ja,Ja,
2015-09-26,Auglend skole,Nei,Nei,Nei,Lørdag
2015-09-27,Auglend skole,Nei,Nei,Nei,Søndag
2015-09-28,Auglend skole,Ja,Ja,Ja,
2015-09-29,Auglend skole,Ja,Ja,Ja,
2015-09-30,Auglend skole,Ja,Ja,Ja,
2015-10-01,Auglend skole,Ja,Ja,Ja,
2015-10-02,Auglend skole,Ja,Ja,Ja,
2015-10-03,Auglend skole,Nei,Nei,Nei,Lørdag
2015-10-04,Auglend skole,Nei,Nei,Nei,Søndag
2015-10-05,Auglend skole,Nei,Nei,Ja,Høstferie
2015-10-06,Auglend skole,Nei,Nei,Ja,Høstferie
2015-10-07,Auglend skole,Nei,Nei,Ja,Høstferie
2015-10-08,Auglend skole,Nei,Nei,Ja,Høstferie
2015-10-09,Auglend skole,Nei,Nei,Ja,Høstferie
2015-10-10,Auglend skole,Nei,Nei,Nei,Lørdag
2015-10-11,Auglend skole,Nei,Nei,Nei,Søndag
2015-10-12,Auglend skole,Ja,Ja,Ja,
2015-10-13,Auglend skole,Ja,Ja,Ja,
2015-10-14,Auglend skole,Ja,Ja,Ja,
2015-10-15,Auglend skole,Ja,Ja,Ja,
2015-10-16,Auglend skole,Ja,Ja,Ja,
2015-10-17,Auglend skole,Nei,Nei,Nei,Lørdag
2015-10-18,Auglend skole,Nei,Nei,Nei,Søndag
2015-10-19,Auglend skole,Ja,Ja,Ja,
2015-10-20,Auglend skole,Ja,Ja,Ja,
2015-10-21,Auglend skole,Ja,Ja,Ja,
2015-10-22,Auglend skole,Ja,Ja,Ja,
2015-10-23,Auglend skole,Ja,Ja,Ja,
2015-10-24,Auglend skole,Nei,Nei,Nei,Lørdag
2015-10-25,Auglend skole,Nei,Nei,Nei,Søndag
2015-10-26,Auglend skole,Ja,Ja,Ja,
2015-10-27,Auglend skole,Ja,Ja,Ja,
2015-10-28,Auglend skole,Ja,Ja,Ja,
2015-10-29,Auglend skole,Ja,Ja,Ja,
2015-10-30,Auglend skole,Ja,Ja,Ja,
2015-10-31,Auglend skole,Nei,Nei,Nei,Lørdag
2015-11-01,Auglend skole,Nei,Nei,Nei,Søndag
2015-11-02,Auglend skole,Ja,Ja,Ja,
2015-11-03,Auglend skole,Ja,Ja,Ja,
2015-11-04,Auglend skole,Ja,Ja,Ja,
2015-11-05,Auglend skole,Ja,Ja,Ja,
2015-11-06,Auglend skole,Ja,Ja,Ja,
2015-11-07,Auglend skole,Nei,Nei,Nei,Lørdag
2015-11-08,Auglend skole,Nei,Nei,Nei,Søndag
2015-11-09,Auglend skole,Ja,Ja,Ja,
2015-11-10,Auglend skole,Ja,Ja,Ja,
2015-11-11,Auglend skole,Ja,Ja,Ja,
2015-11-12,Auglend skole,Ja,Ja,Ja,
2015-11-13,Auglend skole,Nei,Ja,Nei,Planleggingsdag
2015-11-14,Auglend skole,Nei,Nei,Nei,Lørdag
2015-11-15,Auglend skole,Nei,Nei,Nei,Søndag
2015-11-16,Auglend skole,Ja,Ja,Ja,
2015-11-17,Auglend skole,Ja,Ja,Ja,
2015-11-18,Auglend skole,Ja,Ja,Ja,
2015-11-19,Auglend skole,Ja,Ja,Ja,
2015-11-20,Auglend skole,Ja,Ja,Ja,
2015-11-21,Auglend skole,Nei,Nei,Nei,Lørdag
2015-11-22,Auglend skole,Nei,Nei,Nei,Søndag
2015-11-23,Auglend skole,Ja,Ja,Ja,
2015-11-24,Auglend skole,Ja,Ja,Ja,
2015-11-25,Auglend skole,Ja,Ja,Ja,
2015-11-26,Auglend skole,Ja,Ja,Ja,
2015-11-27,Auglend skole,Ja,Ja,Ja,
2015-11-28,Auglend skole,Nei,Nei,Nei,Lørdag
2015-11-29,Auglend skole,Nei,Nei,Nei,Søndag
2015-11-30,Auglend skole,Ja,Ja,Ja,
