longitude;latitude;name;adressenavn
5.700507617;58.97349203;Byhaugen;Carl Sundt Hansens gate 20
5.731022334;58.89778255;Eikeberget;
5.718161593;58.89860684;Heddå;Godeset
5.721179923;58.93180295;Hinnaberget;Hindalsbakken
5.660478936;58.98781593;Høye;
5.645477514;58.93260153;Håhammaren;
5.725365721;58.90047936;Kvieberget;
5.7428061;59.00847385;Lunde;
5.647422436;58.9376403;Madlatuå;
5.593566256;58.96799623;Smiodden;Kvernevik Ring
5.744534218;58.97912831;Sølyst;
5.679107153;58.98550923;Tastavarden;
5.699054942;58.98503109;Tastaveden;
5.706659864;58.94041246;Ullandhaugtårnet;Ullandhaugleitet 11
5.731200229;58.89424593;Ulsberget;
5.731290897;58.97191889;Valbergtårnet;Valbjerget 4
5.751612325;58.95665784;Varden;
5.728686362;58.9573561;Vålandstårnet;Vålandshaugen 18
5.606677474;58.97394949;Ørnaberget;Kvernevik Ring
5.70859;58.974832;Solhaugen;Almeveien
5.7486216;58.9914125;Klampen;
5.735763;58.985662;Vanntårnet Buøy;
5.715676;58.999058;Selhundveien;Selhundveien
5.729378;58.90136;Husaberget;
5.678569;58.999405;Vardenes fyr;
5.688305;58.974835;Vølstadveien;
5.681268;58.99216;Byåsen;
5.74598;58.979016;Kvidavigå;
5.789802;59.002306;Jektavigå, Vassøy;
5.786738;58.99032;Sørstrand, Vassøy;
5.773215;59.012516;Klubben, Langøy;
5.765558;59.008497;Kanonstilling, Langøy;
