"parti";"kandidatnummer";"kandidatnavn";"fødselsår";"stemmetillegg";"personstemmer";"slengere";"totalt";"status"
"Det norske Arbeiderparti";"01 x";"Nilssen, Magnar";"1963";"2,227.50";"1,34";"88";"3,653.50";"VALGT"
"Det norske Arbeiderparti";"02 x";"Røymo, Kristin";"1973";"2,227.50";"926";"113";"3,266.50";"VALGT"
"Det norske Arbeiderparti";"05 x";"Sollund, Brage Larsen";"1989";"2,227.50";"458";"59";"2,744.50";"VALGT"
"Det norske Arbeiderparti";"06 x";"Jaklin, Gunn Sissel";"1958";"2,227.50";"312";"28";"2,567.50";"VALGT"
"Det norske Arbeiderparti";"04 x";"Steen, Elisabeth";"1976";"2,227.50";"276";"11";"2,514.50";"VALGT"
"Det norske Arbeiderparti";"03 x";"Silva, Eduardo da";"1950";"2,227.50";"265";"18";"2,510.50";"VALGT"
"Det norske Arbeiderparti";"16 ";"Hofsøy, Marta";"1992";"0.00";"254";"44";"298.00";"VALGT"
"Det norske Arbeiderparti";"14 ";"Hansen, Lene";"1971";"0.00";"251";"28";"279.00";"VALGT"
"Det norske Arbeiderparti";"25 ";"Bondevik, Stein-Gunnar";"1967";"0.00";"180";"51";"231.00";"VALGT"
"Det norske Arbeiderparti";"45 ";"Ingebrigtsen, Roger";"1966";"0.00";"209";"21";"230.00";"VALGT"
"Det norske Arbeiderparti";"13 ";"Ellingsen, Martin L.";"1993";"0.00";"204";"20";"224.00";"VALGT"
"Det norske Arbeiderparti";"07 ";"Nielsen, Svenn A.";"1954";"0.00";"194";"27";"221.00";"VARA"
"Det norske Arbeiderparti";"08 ";"Myklevoll, Tone Marie";"1980";"0.00";"165";"19";"184.00";"VARA"
"Det norske Arbeiderparti";"17 ";"Sørensen, Kåre";"1946";"0.00";"125";"22";"147.00";"VARA"
"Det norske Arbeiderparti";"18 ";"Ramberg, Ragni Løkholm";"1983";"0.00";"119";"23";"142.00";"VARA"
"Det norske Arbeiderparti";"09 ";"Thunberg, Odd Arne";"1960";"0.00";"133";"4";"137.00";"VARA"
"Det norske Arbeiderparti";"12 ";"Larssen, Beate";"1967";"0.00";"121";"12";"133.00";"VARA"
"Det norske Arbeiderparti";"20 ";"Kleiven, Elise Mjølhus";"1987";"0.00";"122";"8";"130.00";"VARA"
"Det norske Arbeiderparti";"15 ";"Luther, Arne M.";"1940";"0.00";"103";"11";"114.00";"VARA"
"Det norske Arbeiderparti";"10 ";"Haldorsen, Sidsel";"1941";"0.00";"90";"23";"113.00";"VARA"
"Det norske Arbeiderparti";"19 ";"Nilsen, Odd";"1958";"0.00";"79";"8";"87.00";"VARA"
"Det norske Arbeiderparti";"28 ";"Robertsen, Karine";"1993";"0.00";"75";"7";"82.00";"VARA"
"Det norske Arbeiderparti";"23 ";"Bruvold, André W.";"1982";"0.00";"72";"8";"80.00";"VARA"
"Det norske Arbeiderparti";"22 ";"Ludvigsen, Sølvi";"1961";"0.00";"69";"1";"70.00";"VARA"
"Det norske Arbeiderparti";"31 ";"Sparboe, Lars Olav";"1968";"0.00";"53";"14";"67.00";"VARA"
"Det norske Arbeiderparti";"24 ";"Fyhn, Aud Overå";"1928";"0.00";"63";"3";"66.00";""
"Det norske Arbeiderparti";"27 ";"Berg, Vidar";"1981";"0.00";"55";"1";"56.00";""
"Det norske Arbeiderparti";"30 ";"Brock-Utne, Siri Gaarder";"1967";"0.00";"49";"5";"54.00";""
"Det norske Arbeiderparti";"36 ";"Gaard, Hilde";"1972";"0.00";"42";"5";"47.00";""
"Det norske Arbeiderparti";"11 ";"Kjersem, Odd Einar";"1953";"0.00";"42";"4";"46.00";""
"Det norske Arbeiderparti";"29 ";"Johnsen, Kjell";"1947";"0.00";"38";"7";"45.00";""
"Det norske Arbeiderparti";"46 ";"Henriksen, Therese";"1980";"0.00";"39";"6";"45.00";""
"Det norske Arbeiderparti";"47 ";"Østgård, Reidar";"1957";"0.00";"44";"1";"45.00";""
"Det norske Arbeiderparti";"35 ";"Winther, Roar";"1969";"0.00";"37";"4";"41.00";""
"Det norske Arbeiderparti";"34 ";"Falch, Aase";"1934";"0.00";"38";"2";"40.00";""
"Det norske Arbeiderparti";"38 ";"Jensen, Marita";"1974";"0.00";"36";"4";"40.00";""
"Det norske Arbeiderparti";"40 ";"Bergmo, Laila A.";"1945";"0.00";"36";"4";"40.00";""
"Det norske Arbeiderparti";"42 ";"Kasberg, Gørill";"1972";"0.00";"39";"1";"40.00";""
"Det norske Arbeiderparti";"41 ";"Berg, Bård A.";"1951";"0.00";"37";"2";"39.00";""
"Det norske Arbeiderparti";"44 ";"Bergli, Ellen";"1945";"0.00";"35";"4";"39.00";""
"Det norske Arbeiderparti";"32 ";"Hansen, Anne-Lise";"1965";"0.00";"30";"7";"37.00";""
"Det norske Arbeiderparti";"26 ";"Stenvold, Eva Lockertsen";"1952";"0.00";"36";"0";"36.00";""
"Det norske Arbeiderparti";"48 ";"Jensberg, Gunn";"1954";"0.00";"34";"2";"36.00";""
"Det norske Arbeiderparti";"39 ";"Fors, Ansgar";"1936";"0.00";"33";"2";"35.00";""
