county_id;county_name;municipality_id;municipality_name;borough_id;borough_name;polling_place_id;polling_place_name;address_line;postal_code;area;info_text;gps_coordinates;election_day_voting;opening_hours
1;Østfold;101;Halden;;;1;Konservativen;Øvre Bankegt 5;1771;Halden;Husk gyldig legitimasjon. Det er fint om du også har med dette valgkortet, men det er ikke legitimasjon.;59.12273755942663, 11.383713253967243;1;2017-09-10 16:00:00,2017-09-10 20:00:00,2017-09-11 09:00:00,2017-09-11 20:00:00
1;Østfold;101;Halden;;;1;Halden Rådhus URNE;Storgt 8;1771;Halden;Forhåndsstemmer kan avgis på Servicesenteret på Halden rådhus hverdager mellom klokka 09.00 og 14.30 i denne perioden.;59.122507,11.386748;0;
1;Østfold;101;Halden;;;2;Tistasenteret;Walkers gt 4;1771;Halden;Det vil bli mulig å avgi forhåndsstemme på Tistasenteret lørdag 26. august og lørdag 2. september.;59.121393,11.381;0;
1;Østfold;101;Halden;;;2;Hjortsberghallen;BRAvn 67;1784;Halden;For å få stemt må du ha med gyldig legitimasjon. Det er fint om du også har med dette valgkortet, men det er ikke legitimasjon.;59.141354,11.382329;1;2017-09-10 16:00:00,2017-09-10 20:00:00,2017-09-11 09:00:00,2017-09-11 20:00:00
1;Østfold;101;Halden;;;3;Låby skole - gymsalen;Likollvn 29;1781;Halden;For å få stemt må du ha med gyldig legitimasjon. Det er fint om du også har med dette valgkortet, men det er ikke legitimasjon;59.130709,11.364895;1;2017-09-10 16:00:00,2017-09-10 20:00:00,2017-09-11 09:00:00,2017-09-11 20:00:00
1;Østfold;101;Halden;;;4;Berg skole;Sørlivn 111;1788;Berg i Østfold;For å få stemt må du ha med gyldig legitimasjon. Det er fint om du også har med dette valgkortet, men det er ikke legitimasjon;59.12447545732127, 11.298757093254153;1;2017-09-10 16:00:00,2017-09-10 20:00:00,2017-09-11 09:00:00,2017-09-11 20:00:00
1;Østfold;101;Halden;;;5;Tistedal skole, Hovedinngangen;Stadionveien 8;1791;Tistedal;For å få stemt må du ha med gyldig legitimasjon. Det er fint om du også har med dette valgkortet, men det er ikke legitimasjon. NB! Nytt valglokale;59.132059740598024, 11.453525757347051;1;2017-09-10 16:00:00,2017-09-10 20:00:00,2017-09-11 09:00:00,2017-09-11 20:00:00
1;Østfold;101;Halden;;;6;Risum ungdomsskole - gymsalen;Kommandantvn 37;1769;Halden;For å få stemt må du ha med gyldig legitimasjon. Det er fint om du også har med dette valgkortet, men det er ikke legitimasjon;59.11481558610834, 11.40607272883608;1;2017-09-10 16:00:00,2017-09-10 20:00:00,2017-09-11 09:00:00,2017-09-11 20:00:00
1;Østfold;101;Halden;;;7;Prestebakke samfunnshus;Prestebakkeveien 240;1796;Kornsjø;For å få stemt må du ha med gyldig legitimasjon. Det er fint om du også har med dette valgkortet, men det er ikke legitimasjon.;58.990735,11.539872;1;2017-09-10 16:00:00,2017-09-10 20:00:00,2017-09-11 09:00:00,2017-09-11 20:00:00
1;Østfold;104;Moss;;;0;Rådhuset;Kirkegata 15;1531;Moss;Mandag til fredag fra kl 08.00 - 15.00, Utvidet åpningstid: Torsdag 31.08.17 fra kl. 08.00 - 18.00 Torsdag 07.09.17 fra kl. 08.00 – 18.00. Lørdag 26.08.17 fra kl. 10.00 - 13.00 Lørdag 02.09.17 fra kl. 10.00 – 13.00. ;59.43403349352976, 10.659646170639007;0;
1;Østfold;104;Moss;;;1;Samfunsshuset;Kirkegata 15;1531;Moss;Nytt av året er at du kan stemme ved det valglokale i Moss som passer deg best. Se mer på moss.kommune.no. Husk valgkort og legitimasjon med bilde!;59.434052783169285, 10.659651535057037;1;2017-09-11 08:00:00,2017-09-11 21:00:00
1;Østfold;104;Moss;;;2;Ramberg skole;Bjerkealleen 34;1512;Moss;Nytt av året er at du kan stemme ved det valglokale i Moss som passer deg best. Se mer på moss.kommune.no. Husk valgkort og legitimasjon med bilde!;59.44249013938442, 10.628639797622668;1;2017-09-11 08:00:00,2017-09-11 21:00:00
1;Østfold;104;Moss;;;3;Reier skole;Brageveien 9;1517;Moss;Nytt av året er at du kan stemme ved det valglokale i Moss som passer deg best. Se mer på moss.kommune.no. Husk valgkort og legitimasjon med bilde!;59.42978154527309, 10.63030272485355;1;2017-09-11 08:00:00,2017-09-11 21:00:00
1;Østfold;104;Moss;;;4;Refsnes skole;Refsnesalleen 36;1518;Moss;Nytt av året er at du kan stemme ved det valglokale i Moss som passer deg best. Se mer på moss.kommune.no. Husk valgkort og legitimasjon med bilde!;59.44018677379594, 10.619525566795346;1;2017-09-11 08:00:00,2017-09-11 21:00:00
1;Østfold;104;Moss;;;5;Krapfoss skole;Anton Krogsvoldsvei 4;1597;Moss;Nytt av året er at du kan stemme ved det valglokale i Moss som passer deg best. Se mer på moss.kommune.no. Husk valgkort og legitimasjon med bilde!;59.432987,10.681651;1;2017-09-11 08:00:00,2017-09-11 21:00:00
1;Østfold;104;Moss;;;6;Åvangen skole;Skredderveien 100;1537;Moss;Nytt av året er at du kan stemme ved det valglokale i Moss som passer deg best. Se mer på moss.kommune.no. Husk valgkort og legitimasjon med bilde!;59.459013,10.696692;1;2017-09-11 08:00:00,2017-09-11 21:00:00
1;Østfold;104;Moss;;;7;Melløs skole;Roald Amundsensgt. 2;1524;Moss;Nytt av året er at du kan stemme ved det valglokale i Moss som passer deg best. Se mer på moss.kommune.no. Husk valgkort og legitimasjon med bilde!;59.421721341717074, 10.667831425933855;1;2017-09-11 08:00:00,2017-09-11 21:00:00
1;Østfold;104;Moss;;;8;Verket skole;Osloveien 25;1534;Moss;Nytt av året er at du kan stemme ved det valglokale i Moss som passer deg best. Se mer på moss.kommune.no. Husk valgkort og legitimasjon med bilde!;59.44465437487236, 10.678710457672082;1;2017-09-11 08:00:00,2017-09-11 21:00:00
1;Østfold;105;Sarpsborg;;;2;Servicetorget;Glengsgata 38;1706;Sarpsborg;Mandag - fredag kl. 8.30 - 15 (fra 1. september kl. 15.30) Torsdag 7. september: kl. 8.30 - 17;59.281498,11.111609;0;
